Author;Project/Subproject;Reviewer;Change_Size;File Info;Subject;Closed At;status
3125580;EbookFoundation/free-programming-books;926513;2;['books/free-programming-books-langs.md', 'books/free-programming-books-subjects.md', 'courses/free-courses-en.md', 'books/free-programming-books-langs.md', 'books/free-programming-books-langs.md', 'books/free-programming-books-subjects.md', 'courses/free-courses-en.md', 'books/free-programming-books-langs.md'];EbookFoundation/free-programming-books;2022-04-02T18:26:50Z;closed
12895773;EbookFoundation/regluit;153266;31;['.gitignore', 'README.md', 'Vagrantfile', 'core/models/__init__.py', 'provisioning/ec2.ini', 'provisioning/ec2.py', 'provisioning/group_vars/production/vars.yml', 'provisioning/group_vars/production/vault.yml', 'provisioning/hosts', 'provisioning/roles/regluit_common/defaults/main.yml', 'provisioning/roles/regluit_common/files/celerybeat', 'provisioning/roles/regluit_common/files/celeryd', 'provisioning/roles/regluit_common/tasks/celery.yml', 'provisioning/roles/regluit_common/tasks/main.yml', 'provisioning/roles/regluit_common/tasks/mysql.yml', 'provisioning/roles/regluit_common/tasks/redis.yml', 'provisioning/roles/regluit_common/templates/celery/celerybeat.j2', 'provisioning/roles/regluit_common/templates/celery/celeryd.j2', 'provisioning/roles/regluit_common/templates/common.py.j2', 'provisioning/roles/regluit_common/templates/host.py.j2', 'provisioning/roles/regluit_common/templates/me.py.j2', 'provisioning/roles/regluit_common/templates/opt.pth.j2', 'provisioning/roles/regluit_common/templates/regluit.pth.j2', 'provisioning/roles/regluit_dev/defaults/main.yml', 'provisioning/roles/regluit_dev/tasks/main.yml', 'provisioning/roles/regluit_dev/templates/activate_venv.sh.j2', 'provisioning/roles/regluit_prod/files/celerybeat', 'provisioning/roles/regluit_prod/files/celeryd', 'provisioning/roles/regluit_prod/files/certs/STAR_unglue_it.ca-bundle', 'provisioning/roles/regluit_prod/files/certs/STAR_unglue_it.crt', 'provisioning/roles/regluit_prod/files/certs/server.key', 'provisioning/roles/regluit_prod/files/certs/unglue.it.wildcard.csr', 'provisioning/roles/regluit_prod/handlers/main.yml', 'provisioning/roles/regluit_prod/tasks/apache.yml', 'provisioning/roles/regluit_prod/tasks/celery.yml', 'provisioning/roles/regluit_prod/tasks/certs.yml', 'provisioning/roles/regluit_prod/tasks/main.yml', 'provisioning/roles/regluit_prod/tasks/mysql.yml', 'provisioning/roles/regluit_prod/tasks/redis.yml', 'provisioning/roles/regluit_prod/templates/apache.conf.j2', 'provisioning/roles/regluit_prod/templates/celery/celerybeat.j2', 'provisioning/roles/regluit_prod/templates/celery/celeryd.j2', 'provisioning/roles/regluit_prod/templates/common-old.py.j2', 'provisioning/roles/regluit_prod/templates/common.py.j2', 'provisioning/roles/regluit_prod/templates/host-old.py.j2', 'provisioning/roles/regluit_prod/templates/host.py.j2', 'provisioning/roles/regluit_prod/templates/opt.pth.j2', 'provisioning/roles/regluit_prod/templates/prod.py.j2', 'provisioning/roles/regluit_prod/templates/prod.wsgi.j2', 'provisioning/roles/regluit_prod/templates/regluit.pth.j2', 'provisioning/setup-prod.retry', 'provisioning/setup-prod.yml', 'provisioning/setup-regluit.yml', 'utils/encryption.py', 'vagrant/group_vars/all/misc.yml', 'vagrant/group_vars/all/secrets.yml', 'vagrant/host_vars/please/secrets.yml', 'vagrant/host_vars/prod/secrets.yml', 'provisioning/group_vars/production/vars.yml', 'provisioning/hosts', 'provisioning/roles/regluit_prod/tasks/apache.yml', 'provisioning/roles/regluit_prod/tasks/main.yml', 'requirements_versioned.pip'];EbookFoundation/regluit;2018-05-14T02:30:42Z;closed
12895773;EbookFoundation/regluit;926513;31;['.gitignore', 'README.md', 'Vagrantfile', 'core/models/__init__.py', 'provisioning/ec2.ini', 'provisioning/ec2.py', 'provisioning/group_vars/production/vars.yml', 'provisioning/group_vars/production/vault.yml', 'provisioning/hosts', 'provisioning/roles/regluit_common/defaults/main.yml', 'provisioning/roles/regluit_common/files/celerybeat', 'provisioning/roles/regluit_common/files/celeryd', 'provisioning/roles/regluit_common/tasks/celery.yml', 'provisioning/roles/regluit_common/tasks/main.yml', 'provisioning/roles/regluit_common/tasks/mysql.yml', 'provisioning/roles/regluit_common/tasks/redis.yml', 'provisioning/roles/regluit_common/templates/celery/celerybeat.j2', 'provisioning/roles/regluit_common/templates/celery/celeryd.j2', 'provisioning/roles/regluit_common/templates/common.py.j2', 'provisioning/roles/regluit_common/templates/host.py.j2', 'provisioning/roles/regluit_common/templates/me.py.j2', 'provisioning/roles/regluit_common/templates/opt.pth.j2', 'provisioning/roles/regluit_common/templates/regluit.pth.j2', 'provisioning/roles/regluit_dev/defaults/main.yml', 'provisioning/roles/regluit_dev/tasks/main.yml', 'provisioning/roles/regluit_dev/templates/activate_venv.sh.j2', 'provisioning/roles/regluit_prod/files/celerybeat', 'provisioning/roles/regluit_prod/files/celeryd', 'provisioning/roles/regluit_prod/files/certs/STAR_unglue_it.ca-bundle', 'provisioning/roles/regluit_prod/files/certs/STAR_unglue_it.crt', 'provisioning/roles/regluit_prod/files/certs/server.key', 'provisioning/roles/regluit_prod/files/certs/unglue.it.wildcard.csr', 'provisioning/roles/regluit_prod/handlers/main.yml', 'provisioning/roles/regluit_prod/tasks/apache.yml', 'provisioning/roles/regluit_prod/tasks/celery.yml', 'provisioning/roles/regluit_prod/tasks/certs.yml', 'provisioning/roles/regluit_prod/tasks/main.yml', 'provisioning/roles/regluit_prod/tasks/mysql.yml', 'provisioning/roles/regluit_prod/tasks/redis.yml', 'provisioning/roles/regluit_prod/templates/apache.conf.j2', 'provisioning/roles/regluit_prod/templates/celery/celerybeat.j2', 'provisioning/roles/regluit_prod/templates/celery/celeryd.j2', 'provisioning/roles/regluit_prod/templates/common-old.py.j2', 'provisioning/roles/regluit_prod/templates/common.py.j2', 'provisioning/roles/regluit_prod/templates/host-old.py.j2', 'provisioning/roles/regluit_prod/templates/host.py.j2', 'provisioning/roles/regluit_prod/templates/opt.pth.j2', 'provisioning/roles/regluit_prod/templates/prod.py.j2', 'provisioning/roles/regluit_prod/templates/prod.wsgi.j2', 'provisioning/roles/regluit_prod/templates/regluit.pth.j2', 'provisioning/setup-prod.retry', 'provisioning/setup-prod.yml', 'provisioning/setup-regluit.yml', 'utils/encryption.py', 'vagrant/group_vars/all/misc.yml', 'vagrant/group_vars/all/secrets.yml', 'vagrant/host_vars/please/secrets.yml', 'vagrant/host_vars/prod/secrets.yml', 'provisioning/group_vars/production/vars.yml', 'provisioning/hosts', 'provisioning/roles/regluit_prod/tasks/apache.yml', 'provisioning/roles/regluit_prod/tasks/main.yml', 'requirements_versioned.pip'];EbookFoundation/regluit;2018-05-14T02:30:42Z;closed
12895773;EbookFoundation/regluit;926513;924;['.gitignore', 'README.md', 'Vagrantfile', 'core/models/__init__.py', 'provisioning/host_vars/regluit-local', 'provisioning/roles/regluit_common/defaults/main.yml', 'provisioning/roles/regluit_common/files/celerybeat', 'provisioning/roles/regluit_common/files/celeryd', 'provisioning/roles/regluit_common/tasks/celery.yml', 'provisioning/roles/regluit_common/tasks/main.yml', 'provisioning/roles/regluit_common/tasks/mysql.yml', 'provisioning/roles/regluit_common/tasks/redis.yml', 'provisioning/roles/regluit_common/templates/celery/celerybeat.j2', 'provisioning/roles/regluit_common/templates/celery/celeryd.j2', 'provisioning/roles/regluit_common/templates/common.py.j2', 'provisioning/roles/regluit_common/templates/host.py.j2', 'provisioning/roles/regluit_common/templates/me.py.j2', 'provisioning/roles/regluit_common/templates/opt.pth.j2', 'provisioning/roles/regluit_common/templates/regluit.pth.j2', 'provisioning/roles/regluit_dev/defaults/main.yml', 'provisioning/roles/regluit_dev/tasks/main.yml', 'provisioning/roles/regluit_dev/templates/activate_venv.sh.j2', 'provisioning/setup-regluit.yml', 'requirements_versioned.pip', 'static/scss/book_list.css', 'static/scss/book_panel2.css', 'static/scss/campaign2.css', 'static/scss/landingpage4.css', 'static/scss/search.css', 'static/scss/searchandbrowse2.css', 'static/scss/sitewide4.css', 'utils/crypto.py'];EbookFoundation/regluit;2018-05-10T19:12:42Z;closed
3125580;EbookFoundation/free-programming-books;926513;4;['more/problem-sets-competitive-programming.md', 'more/problem-sets-competitive-programming.md'];EbookFoundation/free-programming-books;2022-03-15T00:47:30Z;closed
81493939;EbookFoundation/free-programming-books;926513;2;['books/free-programming-books-pt_BR.md', 'books/free-programming-books-pt_BR.md', 'books/free-programming-books-pt_BR.md', 'books/free-programming-books-pt_BR.md', 'books/free-programming-books-pt_BR.md', 'books/free-programming-books-pt_BR.md', 'books/free-programming-books-pt_BR.md', 'books/free-programming-books-pt_BR.md'];EbookFoundation/free-programming-books;2022-03-14T15:02:19Z;closed
72513532;EbookFoundation/free-programming-books;926513;2;['books/free-programming-books-subjects.md', 'books/free-programming-books-subjects.md', 'books/free-programming-books-subjects.md', 'books/free-programming-books-subjects.md', 'books/free-programming-books-subjects.md'];EbookFoundation/free-programming-books;2022-03-16T17:12:57Z;closed
64677612;EbookFoundation/free-programming-books;926513;2;['books/free-programming-books-langs.md', 'books/free-programming-books-langs.md', 'books/free-programming-books-langs.md'];EbookFoundation/free-programming-books;2022-03-07T21:41:15Z;closed
64677612;EbookFoundation/free-programming-books;78213164;2;['books/free-programming-books-langs.md', 'books/free-programming-books-langs.md', 'books/free-programming-books-langs.md'];EbookFoundation/free-programming-books;2022-03-07T21:41:15Z;closed
81493939;EbookFoundation/free-programming-books;59611597;3;['books/free-programming-books-pt_BR.md', 'books/free-programming-books-pt_BR.md', 'books/free-programming-books-pt_BR.md', 'books/free-programming-books-pt_BR.md', 'books/free-programming-books-pt_BR.md', 'books/free-programming-books-pt_BR.md'];EbookFoundation/free-programming-books;2022-03-09T13:21:45Z;closed
