Author;Project/Subproject;Reviewer;Change_Size;File Info;Subject;Status
267;vpp;193;2;['src/vnet/adj/adj_nbr.c'];vpp;closed
267;vpp;193;16;['src/plugins/mdata/mdata.c', 'src/vnet/buffer.h', 'src/vnet/interface_format.c'];vpp;closed
9;vpp;7;257;['src/plugins/dpdk/CMakeLists.txt', 'src/plugins/dpdk/device/cli.c', 'src/plugins/dpdk/device/dpdk.h', 'src/plugins/dpdk/device/dpdk_priv.h', 'src/plugins/dpdk/device/init.c', 'src/plugins/dpdk/thread.c', 'src/vlib/threads.c', 'src/vlib/threads.h'];vpp;closed
193;vpp;7;28;['src/plugins/http_static/static_server.c', 'src/svm/svm_fifo.h'];vpp;closed
193;vpp;2576;28;['src/plugins/http_static/static_server.c', 'src/svm/svm_fifo.h'];vpp;closed
2576;vpp;193;22;['src/plugins/http_static/static_server.c'];vpp;closed
2576;vpp;193;26;['src/svm/fifo_types.h', 'src/svm/svm_fifo.h'];vpp;closed
2633;vpp;5;12;['src/svm/fifo_types.h', 'src/svm/svm_fifo.h'];vpp;new
2576;vpp;5;16;['src/svm/fifo_types.h', 'src/svm/svm_fifo.h'];vpp;new
2576;vpp;2579;16;['src/svm/fifo_types.h', 'src/svm/svm_fifo.h'];vpp;new
2630;vpp;5;29;['src/svm/fifo_types.h', 'src/svm/svm_fifo.h'];vpp;new
180;csit;180;2;['VPP_STABLE_VER_UBUNTU_FOCAL'];csit;closed
9;vpp;7;98;['src/vnet/ip/ip4_mtrie.c', 'src/vnet/ip/ip4_mtrie.h'];vpp;closed
2625;vpp;193;1;['src/vnet/tcp/tcp.c'];vpp;closed
193;vpp;7;69;['src/svm/fifo_segment.c', 'src/svm/fifo_segment.h', 'src/vnet/session/application_local.c', 'src/vnet/session/segment_manager.c'];vpp;closed
193;vpp;2035;69;['src/svm/fifo_segment.c', 'src/svm/fifo_segment.h', 'src/vnet/session/application_local.c', 'src/vnet/session/segment_manager.c'];vpp;closed
180;csit;180;2;['VPP_STABLE_VER_UBUNTU_FOCAL'];csit;closed
9;vpp;193;34;['src/vppinfra/format.h', 'src/vppinfra/std-formats.c'];vpp;closed
193;vpp;9;195;['src/vnet/session/segment_manager.c', 'src/vnet/session/segment_manager.h'];vpp;closed
9;vpp;193;85;['src/vppinfra/CMakeLists.txt', 'src/vppinfra/bihash_12_4.h'];vpp;closed
2462;vpp;9;4;['src/vppinfra/linux/mem.c'];vpp;closed
9;vpp;680;634;['src/plugins/memif/memif.c', 'src/plugins/memif/node.c', 'src/plugins/memif/private.h'];vpp;closed
9;vpp;8;634;['src/plugins/memif/memif.c', 'src/plugins/memif/node.c', 'src/plugins/memif/private.h'];vpp;closed
9;vpp;8;2;['src/vlib/log.c'];vpp;closed
76;csit;76;75;['resources/libraries/bash/function/common.sh', 'resources/libraries/bash/function/per_patch.sh'];csit;closed
76;csit;76;163;['resources/templates/telemetry/vpp_clear_stats.yaml', 'resources/templates/telemetry/vpp_show_stats.yaml', 'resources/tools/telemetry/bundle_vpp.py', 'resources/templates/telemetry/vpp_test_teardown.yaml'];csit;closed
76;csit;76;7;['docs/model/current/schema/test_case.info.schema.json', 'docs/model/current/schema/test_case.info.schema.yaml', 'docs/model/current/schema/yaml2json.py'];csit;closed
2247;csit;76;1839;['resources/libraries/bash/function/common.sh', 'tests/vpp/perf/crypto/2n1l-10ge2p1x710-ethip4ipsec1000tnlhwasync-ip4base-int-aes128cbc-hmac512sha-udir-ndrpdr.robot', 'tests/vpp/perf/crypto/2n1l-10ge2p1x710-ethip4ipsec1000tnlhwasync-ip4base-int-aes128gcm-udir-ndrpdr.robot', 'tests/vpp/perf/crypto/2n1l-10ge2p1x710-ethip4ipsec1000tnlhwasync-ip4base-int-aes256gcm-udir-ndrpdr.robot', 'tests/vpp/perf/crypto/2n1l-10ge2p1x710-ethip4ipsec1000tnlhwasync-ip4base-policy-aes256gcm-udir-ndrpdr.robot', 'tests/vpp/perf/crypto/2n1l-10ge2p1x710-ethip4ipsec1tnlhwasync-ip4base-int-aes128cbc-hmac512sha-udir-ndrpdr.robot', 'tests/vpp/perf/crypto/2n1l-10ge2p1x710-ethip4ipsec1tnlhwasync-ip4base-int-aes128gcm-udir-ndrpdr.robot', 'tests/vpp/perf/crypto/2n1l-10ge2p1x710-ethip4ipsec1tnlhwasync-ip4base-int-aes256gcm-udir-ndrpdr.robot', 'tests/vpp/perf/crypto/2n1l-10ge2p1x710-ethip4ipsec1tnlhwasync-ip4base-policy-aes256gcm-udir-ndrpdr.robot', 'tests/vpp/perf/crypto/2n1l-10ge2p1x710-ethip4ipsec4tnlhwasync-ip4base-int-aes128cbc-hmac512sha-udir-ndrpdr.robot', 'tests/vpp/perf/crypto/2n1l-10ge2p1x710-ethip4ipsec4tnlhwasync-ip4base-int-aes128gcm-udir-ndrpdr.robot', 'tests/vpp/perf/crypto/2n1l-10ge2p1x710-ethip4ipsec4tnlhwasync-ip4base-int-aes256gcm-udir-ndrpdr.robot', 'topologies/available/lf_2n_dnv_testbed26.yaml'];csit;closed
2632;vpp;5;2;['resources/libraries/bash/function/common.sh', 'tests/vpp/perf/crypto/2n1l-10ge2p1x710-ethip4ipsec1000tnlhwasync-ip4base-int-aes128cbc-hmac512sha-udir-ndrpdr.robot', 'tests/vpp/perf/crypto/2n1l-10ge2p1x710-ethip4ipsec1000tnlhwasync-ip4base-int-aes128gcm-udir-ndrpdr.robot', 'tests/vpp/perf/crypto/2n1l-10ge2p1x710-ethip4ipsec1000tnlhwasync-ip4base-int-aes256gcm-udir-ndrpdr.robot', 'tests/vpp/perf/crypto/2n1l-10ge2p1x710-ethip4ipsec1000tnlhwasync-ip4base-policy-aes256gcm-udir-ndrpdr.robot', 'tests/vpp/perf/crypto/2n1l-10ge2p1x710-ethip4ipsec1tnlhwasync-ip4base-int-aes128cbc-hmac512sha-udir-ndrpdr.robot', 'tests/vpp/perf/crypto/2n1l-10ge2p1x710-ethip4ipsec1tnlhwasync-ip4base-int-aes128gcm-udir-ndrpdr.robot', 'tests/vpp/perf/crypto/2n1l-10ge2p1x710-ethip4ipsec1tnlhwasync-ip4base-int-aes256gcm-udir-ndrpdr.robot', 'tests/vpp/perf/crypto/2n1l-10ge2p1x710-ethip4ipsec1tnlhwasync-ip4base-policy-aes256gcm-udir-ndrpdr.robot', 'tests/vpp/perf/crypto/2n1l-10ge2p1x710-ethip4ipsec4tnlhwasync-ip4base-int-aes128cbc-hmac512sha-udir-ndrpdr.robot', 'tests/vpp/perf/crypto/2n1l-10ge2p1x710-ethip4ipsec4tnlhwasync-ip4base-int-aes128gcm-udir-ndrpdr.robot', 'tests/vpp/perf/crypto/2n1l-10ge2p1x710-ethip4ipsec4tnlhwasync-ip4base-int-aes256gcm-udir-ndrpdr.robot', 'topologies/available/lf_2n_dnv_testbed26.yaml'];vpp;new
193;vpp;7;458;['MAINTAINERS', 'src/plugins/hsi/CMakeLists.txt', 'src/plugins/hsi/FEATURE.yaml', 'src/plugins/hsi/hsi.c', 'src/plugins/hsi/hsi.h', 'src/plugins/hsi/hsi_error.def'];vpp;closed
189;vpp;193;1;['src/vnet/session/application.c', 'src/vnet/tls/tls.c'];vpp;closed
267;vpp;9;150;['src/vnet/fib/fib_entry_src.c', 'src/vnet/fib/fib_entry_src.h', 'src/vnet/fib/fib_path.c', 'src/vnet/fib/fib_path.h', 'src/vnet/fib/fib_path_ext.c', 'src/vnet/fib/fib_path_ext.h', 'src/vnet/fib/fib_path_list.c', 'src/vnet/mfib/mfib_entry.c', 'src/vnet/mpls/mpls_tunnel.c', 'test/test_mpls.py'];vpp;closed
576;csit;76;13;['fdio.infra.ansible/inventories/lf_inventory/host_vars/10.30.51.70.yaml', 'fdio.infra.ansible/inventories/lf_inventory/host_vars/10.30.51.71.yaml', 'fdio.infra.ansible/roles/vpp_device/tasks/main.yaml'];csit;closed
76;csit;76;4;['fdio.infra.ansible/roles/dpdk/defaults/main.yaml', 'resources/libraries/python/Constants.py'];csit;closed
76;csit;76;17;['fdio.infra.ansible/inventories/lf_inventory/host_vars/10.30.51.50.yaml', 'fdio.infra.ansible/inventories/lf_inventory/host_vars/10.30.51.51.yaml', 'fdio.infra.ansible/roles/intel/defaults/main.yaml'];csit;closed
576;csit;76;24;['fdio.infra.ansible/roles/kernel/tasks/ubuntu_bionic.yaml', 'fdio.infra.ansible/roles/kernel/tasks/ubuntu_focal.yaml', 'fdio.infra.ansible/vpp_device.yaml'];csit;closed
2409;vpp;366;1;['src/plugins/vrrp/vrrp.c'];vpp;closed
