Author;Project/Subproject;Reviewer;Change_Size;File Info;Subject;Status
16185;LineageOS/android_device_google_bonito;16185;3;['overlay-lineage/lineage-sdk/lineage/res/res/values/config.xml'];LineageOS/android_device_google_bonito;closed
16185;LineageOS/android_device_google_bonito;16185;3;['overlay-lineage/lineage-sdk/lineage/res/res/values/config.xml'];LineageOS/android_device_google_bonito;closed
16185;LineageOS/android_device_google_bonito;16185;3;['overlay-lineage/lineage-sdk/lineage/res/res/values/config.xml'];LineageOS/android_device_google_bonito;closed
16185;LineageOS/android_device_google_bonito;16185;3;['overlay-lineage/lineage-sdk/lineage/res/res/values/config.xml'];LineageOS/android_device_google_bonito;closed
13028;LineageOS/android_packages_apps_Seedvault;16185;19;['app/src/main/res/layout/fragment_recovery_code_output.xml', 'app/src/main/res/layout/list_item_recovery_code_output.xml'];LineageOS/android_packages_apps_Seedvault;closed
13028;LineageOS/android_packages_apps_Seedvault;13028;19;['app/src/main/res/layout/fragment_recovery_code_output.xml', 'app/src/main/res/layout/list_item_recovery_code_output.xml'];LineageOS/android_packages_apps_Seedvault;closed
16185;LineageOS/android_device_google_coral;16185;4;['overlay-lineage/lineage-sdk/lineage/res/res/values/config.xml'];LineageOS/android_device_google_coral;closed
16185;LineageOS/android_device_razer_aura;16185;3;['overlay-lineage/lineage-sdk/lineage/res/res/values/config.xml', 'overlay/lineage-sdk/lineage/res/res/values/config.xml'];LineageOS/android_device_razer_aura;closed
16185;LineageOS/android_device_google_coral;16185;4;['overlay-lineage/lineage-sdk/lineage/res/res/values/config.xml'];LineageOS/android_device_google_coral;closed
16185;LineageOS/android_device_asus_flox;16185;6;['overlay-lineage/lineage-sdk/lineage/res/res/values/config.xml'];LineageOS/android_device_asus_flox;closed
16185;LineageOS/android_device_moto_shamu;16185;4;['overlay/lineage-sdk/lineage/res/res/values/config.xml'];LineageOS/android_device_moto_shamu;closed
16185;LineageOS/android_device_motorola_nash;16185;4;['overlay/lineage-sdk/lineage/res/res/values/config.xml'];LineageOS/android_device_motorola_nash;closed
