Author,Project/Subproject,Change_Size,Final Reviewers,All Reviewers,File Info,Subject,Status
1472169,platform/cts,19,[1472174],"[1062513, 1472169, 1472174, 1757831]",['tests/accessibilityservice/src/android/accessibilityservice/cts/AccessibilityWindowQueryTest.java'],Corrects the classNameAndTextList of buttons in AccessibilityWindowQueryTest,closed
1903985,platform/build/soong,20,"[1903985, 1757831, 1066075, 1062513, 1514900, 1687194]","[1903985, 1757831, 1066075, 1062513, 1514900, 1687194]",['tests/accessibilityservice/src/android/accessibilityservice/cts/AccessibilityWindowQueryTest.java'],Use generalProperties as a memoization of GetProperties(); arch.go access properties via archProperties,new
1875587,platform/frameworks/base,138,"[1757831, 1087037, 1546552, 1085519, 1875587, 1730162, 1121403, 1003259, 1062513]","[1757831, 1087037, 1546552, 1085519, 1875587, 1730162, 1121403, 1003259, 1062513]",['tests/accessibilityservice/src/android/accessibilityservice/cts/AccessibilityWindowQueryTest.java'],Parse audio config codec capability for input LE devices(decode),new
1730162,platform/packages/modules/Bluetooth,232,"[1087037, 1757831, 1875587, 1085519, 1730162, 1121403, 1687135, 1062513]","[1087037, 1757831, 1875587, 1085519, 1730162, 1121403, 1687135, 1062513]",['tests/accessibilityservice/src/android/accessibilityservice/cts/AccessibilityWindowQueryTest.java'],LE audio hardware offload: audio configuration update,new
1730162,platform/packages/modules/Bluetooth,150,"[1087037, 1757831, 1875587, 1085519, 1121403, 1687135, 1062513]","[1087037, 1757831, 1875587, 1085519, 1121403, 1687135, 1062513]",['tests/accessibilityservice/src/android/accessibilityservice/cts/AccessibilityWindowQueryTest.java'],LE audio hardware offload: onAudioSuspend handling for encode direction,new
1730162,platform/hardware/interfaces,283,"[1757831, 1087037, 1875587, 1085519, 1730162, 1121403, 1120458, 1687135, 1062513, 1443525]","[1757831, 1087037, 1875587, 1085519, 1730162, 1121403, 1120458, 1687135, 1062513, 1443525]",['tests/accessibilityservice/src/android/accessibilityservice/cts/AccessibilityWindowQueryTest.java'],Add audio configuration API and the callback function for bluetooth.audo@2.2,new
1730162,platform/packages/modules/Bluetooth,540,"[1087037, 1757831, 1875587, 1085519, 1730162, 1121403, 1062513]","[1087037, 1757831, 1875587, 1085519, 1730162, 1121403, 1062513]",['tests/accessibilityservice/src/android/accessibilityservice/cts/AccessibilityWindowQueryTest.java'],LE audio hardware offload session swich for encode direction,new
1875587,platform/packages/modules/Bluetooth,72,"[1757831, 1087037, 1085519, 1730162, 1121403, 1062513]","[1757831, 1087037, 1085519, 1730162, 1121403, 1062513]",['tests/accessibilityservice/src/android/accessibilityservice/cts/AccessibilityWindowQueryTest.java'],Parse audio config codec capability for input LE devices(decode),new
1872738,platform/external/perfetto,119,"[1080238, 1872738, 1864212, 1017430, 1427935, 1386032]","[1080238, 1872738, 1864212, 1017430, 1427935, 1386032]",['tests/accessibilityservice/src/android/accessibilityservice/cts/AccessibilityWindowQueryTest.java'],metric: Add cpu loading statistic to network performance metrics,new
1566103,platform/frameworks/base,3,"[1348425, 1757831, 1381987, 1170688]","[1348425, 1757831, 1381987, 1170688]",['tests/accessibilityservice/src/android/accessibilityservice/cts/AccessibilityWindowQueryTest.java'],delete useless code ,new
1125653,kernel/common,0,[1125653],"[1062513, 1125653, 1757831]",[],Merge tag 'v5.16-rc8' into android-mainline,closed
1128729,device/generic/common,311,"[1757831, 1128729, 1062513, 1337669]","[1757831, 1128729, 1062513, 1337669]",[],Add targets for building boot.img with GKI,new
1889245,platform/frameworks/native,185,"[1757831, 1013030]","[1757831, 1013030]",[],Checking to confirm if the changes are okay.,new
1687135,platform/packages/modules/Bluetooth,16,"[1532219, 1757831, 1087037, 1085519, 1730162]","[1532219, 1757831, 1087037, 1085519, 1730162]",[],btm/iso: Set connecting state while issuing establish cis,new
1348424,platform/packages/modules/Connectivity,286,[1308504],"[1062513, 1308504, 1348424, 1757831]","['Tethering/tests/integration/src/android/net/TetheringTester.java', 'Tethering/tests/integration/src/android/net/EthernetTetheringTest.java']",Add tethering IPv4 UDP forwarding test,closed
