Author;Project/Subproject;Reviewer;Change_Size;File Info;Subject;Status
1472169;platform/cts;1472174;19;['tests/accessibilityservice/src/android/accessibilityservice/cts/AccessibilityWindowQueryTest.java'];platform/cts;closed
1903985;platform/build/soong;1903985;20;['tests/accessibilityservice/src/android/accessibilityservice/cts/AccessibilityWindowQueryTest.java'];platform/build/soong;new
1903985;platform/build/soong;1757831;20;['tests/accessibilityservice/src/android/accessibilityservice/cts/AccessibilityWindowQueryTest.java'];platform/build/soong;new
1903985;platform/build/soong;1066075;20;['tests/accessibilityservice/src/android/accessibilityservice/cts/AccessibilityWindowQueryTest.java'];platform/build/soong;new
1903985;platform/build/soong;1062513;20;['tests/accessibilityservice/src/android/accessibilityservice/cts/AccessibilityWindowQueryTest.java'];platform/build/soong;new
1903985;platform/build/soong;1514900;20;['tests/accessibilityservice/src/android/accessibilityservice/cts/AccessibilityWindowQueryTest.java'];platform/build/soong;new
1903985;platform/build/soong;1687194;20;['tests/accessibilityservice/src/android/accessibilityservice/cts/AccessibilityWindowQueryTest.java'];platform/build/soong;new
1875587;platform/frameworks/base;1757831;138;['tests/accessibilityservice/src/android/accessibilityservice/cts/AccessibilityWindowQueryTest.java'];platform/frameworks/base;new
1875587;platform/frameworks/base;1087037;138;['tests/accessibilityservice/src/android/accessibilityservice/cts/AccessibilityWindowQueryTest.java'];platform/frameworks/base;new
1875587;platform/frameworks/base;1546552;138;['tests/accessibilityservice/src/android/accessibilityservice/cts/AccessibilityWindowQueryTest.java'];platform/frameworks/base;new
1875587;platform/frameworks/base;1085519;138;['tests/accessibilityservice/src/android/accessibilityservice/cts/AccessibilityWindowQueryTest.java'];platform/frameworks/base;new
1875587;platform/frameworks/base;1875587;138;['tests/accessibilityservice/src/android/accessibilityservice/cts/AccessibilityWindowQueryTest.java'];platform/frameworks/base;new
1875587;platform/frameworks/base;1730162;138;['tests/accessibilityservice/src/android/accessibilityservice/cts/AccessibilityWindowQueryTest.java'];platform/frameworks/base;new
1875587;platform/frameworks/base;1121403;138;['tests/accessibilityservice/src/android/accessibilityservice/cts/AccessibilityWindowQueryTest.java'];platform/frameworks/base;new
1875587;platform/frameworks/base;1003259;138;['tests/accessibilityservice/src/android/accessibilityservice/cts/AccessibilityWindowQueryTest.java'];platform/frameworks/base;new
1875587;platform/frameworks/base;1062513;138;['tests/accessibilityservice/src/android/accessibilityservice/cts/AccessibilityWindowQueryTest.java'];platform/frameworks/base;new
1730162;platform/packages/modules/Bluetooth;1087037;232;['tests/accessibilityservice/src/android/accessibilityservice/cts/AccessibilityWindowQueryTest.java'];platform/packages/modules/Bluetooth;new
1730162;platform/packages/modules/Bluetooth;1757831;232;['tests/accessibilityservice/src/android/accessibilityservice/cts/AccessibilityWindowQueryTest.java'];platform/packages/modules/Bluetooth;new
1730162;platform/packages/modules/Bluetooth;1875587;232;['tests/accessibilityservice/src/android/accessibilityservice/cts/AccessibilityWindowQueryTest.java'];platform/packages/modules/Bluetooth;new
1730162;platform/packages/modules/Bluetooth;1085519;232;['tests/accessibilityservice/src/android/accessibilityservice/cts/AccessibilityWindowQueryTest.java'];platform/packages/modules/Bluetooth;new
1730162;platform/packages/modules/Bluetooth;1730162;232;['tests/accessibilityservice/src/android/accessibilityservice/cts/AccessibilityWindowQueryTest.java'];platform/packages/modules/Bluetooth;new
1730162;platform/packages/modules/Bluetooth;1121403;232;['tests/accessibilityservice/src/android/accessibilityservice/cts/AccessibilityWindowQueryTest.java'];platform/packages/modules/Bluetooth;new
1730162;platform/packages/modules/Bluetooth;1687135;232;['tests/accessibilityservice/src/android/accessibilityservice/cts/AccessibilityWindowQueryTest.java'];platform/packages/modules/Bluetooth;new
1730162;platform/packages/modules/Bluetooth;1062513;232;['tests/accessibilityservice/src/android/accessibilityservice/cts/AccessibilityWindowQueryTest.java'];platform/packages/modules/Bluetooth;new
1730162;platform/packages/modules/Bluetooth;1087037;150;['tests/accessibilityservice/src/android/accessibilityservice/cts/AccessibilityWindowQueryTest.java'];platform/packages/modules/Bluetooth;new
1730162;platform/packages/modules/Bluetooth;1757831;150;['tests/accessibilityservice/src/android/accessibilityservice/cts/AccessibilityWindowQueryTest.java'];platform/packages/modules/Bluetooth;new
1730162;platform/packages/modules/Bluetooth;1875587;150;['tests/accessibilityservice/src/android/accessibilityservice/cts/AccessibilityWindowQueryTest.java'];platform/packages/modules/Bluetooth;new
1730162;platform/packages/modules/Bluetooth;1085519;150;['tests/accessibilityservice/src/android/accessibilityservice/cts/AccessibilityWindowQueryTest.java'];platform/packages/modules/Bluetooth;new
1730162;platform/packages/modules/Bluetooth;1121403;150;['tests/accessibilityservice/src/android/accessibilityservice/cts/AccessibilityWindowQueryTest.java'];platform/packages/modules/Bluetooth;new
1730162;platform/packages/modules/Bluetooth;1687135;150;['tests/accessibilityservice/src/android/accessibilityservice/cts/AccessibilityWindowQueryTest.java'];platform/packages/modules/Bluetooth;new
1730162;platform/packages/modules/Bluetooth;1062513;150;['tests/accessibilityservice/src/android/accessibilityservice/cts/AccessibilityWindowQueryTest.java'];platform/packages/modules/Bluetooth;new
1730162;platform/hardware/interfaces;1757831;283;['tests/accessibilityservice/src/android/accessibilityservice/cts/AccessibilityWindowQueryTest.java'];platform/hardware/interfaces;new
1730162;platform/hardware/interfaces;1087037;283;['tests/accessibilityservice/src/android/accessibilityservice/cts/AccessibilityWindowQueryTest.java'];platform/hardware/interfaces;new
1730162;platform/hardware/interfaces;1875587;283;['tests/accessibilityservice/src/android/accessibilityservice/cts/AccessibilityWindowQueryTest.java'];platform/hardware/interfaces;new
1730162;platform/hardware/interfaces;1085519;283;['tests/accessibilityservice/src/android/accessibilityservice/cts/AccessibilityWindowQueryTest.java'];platform/hardware/interfaces;new
1730162;platform/hardware/interfaces;1730162;283;['tests/accessibilityservice/src/android/accessibilityservice/cts/AccessibilityWindowQueryTest.java'];platform/hardware/interfaces;new
1730162;platform/hardware/interfaces;1121403;283;['tests/accessibilityservice/src/android/accessibilityservice/cts/AccessibilityWindowQueryTest.java'];platform/hardware/interfaces;new
1730162;platform/hardware/interfaces;1120458;283;['tests/accessibilityservice/src/android/accessibilityservice/cts/AccessibilityWindowQueryTest.java'];platform/hardware/interfaces;new
1730162;platform/hardware/interfaces;1687135;283;['tests/accessibilityservice/src/android/accessibilityservice/cts/AccessibilityWindowQueryTest.java'];platform/hardware/interfaces;new
1730162;platform/hardware/interfaces;1062513;283;['tests/accessibilityservice/src/android/accessibilityservice/cts/AccessibilityWindowQueryTest.java'];platform/hardware/interfaces;new
1730162;platform/hardware/interfaces;1443525;283;['tests/accessibilityservice/src/android/accessibilityservice/cts/AccessibilityWindowQueryTest.java'];platform/hardware/interfaces;new
1730162;platform/packages/modules/Bluetooth;1087037;540;['tests/accessibilityservice/src/android/accessibilityservice/cts/AccessibilityWindowQueryTest.java'];platform/packages/modules/Bluetooth;new
1730162;platform/packages/modules/Bluetooth;1757831;540;['tests/accessibilityservice/src/android/accessibilityservice/cts/AccessibilityWindowQueryTest.java'];platform/packages/modules/Bluetooth;new
1730162;platform/packages/modules/Bluetooth;1875587;540;['tests/accessibilityservice/src/android/accessibilityservice/cts/AccessibilityWindowQueryTest.java'];platform/packages/modules/Bluetooth;new
1730162;platform/packages/modules/Bluetooth;1085519;540;['tests/accessibilityservice/src/android/accessibilityservice/cts/AccessibilityWindowQueryTest.java'];platform/packages/modules/Bluetooth;new
1730162;platform/packages/modules/Bluetooth;1730162;540;['tests/accessibilityservice/src/android/accessibilityservice/cts/AccessibilityWindowQueryTest.java'];platform/packages/modules/Bluetooth;new
1730162;platform/packages/modules/Bluetooth;1121403;540;['tests/accessibilityservice/src/android/accessibilityservice/cts/AccessibilityWindowQueryTest.java'];platform/packages/modules/Bluetooth;new
