Author;Project/Subproject;Reviewer;Change_Size;File Info;Subject;Closed At;status
65253296;betterscientificsoftware/bssw.io;768870;23;['Events/2021-12-RSE_Survey.md', 'Events/2021-12-RSE_Survey.md'];betterscientificsoftware/bssw.io;2021-12-17T01:04:20Z;closed
65253296;betterscientificsoftware/bssw.io;786325;23;['Events/2021-12-RSE_Survey.md', 'Events/2021-12-RSE_Survey.md'];betterscientificsoftware/bssw.io;2021-12-17T01:04:20Z;closed
23412709;betterscientificsoftware/bssw.io;786325;2;['Site/BSSwFellowshipProgram/FellowshipsApply.md'];betterscientificsoftware/bssw.io;2021-12-06T17:31:14Z;closed
65253296;betterscientificsoftware/bssw.io;786325;2;['CuratedContent/NationalRSEOrgs.md', 'CuratedContent/InclusiveTermsResources.md', 'CuratedContent/InclusiveTermsResources.md'];betterscientificsoftware/bssw.io;2021-11-30T16:34:23Z;closed
5720676;betterscientificsoftware/bssw.io;1959736;17;['CuratedContent/InclusiveLanguageResources.md', 'CuratedContent/InclusiveLanguageResources.md', 'CuratedContent/InclusiveLanguageResources.md', 'CuratedContent/InclusiveLanguageResources.md', 'CuratedContent/InclusiveLanguageResources.md', 'CuratedContent/InclusiveLanguageResources.md', 'CuratedContent/InclusiveLanguageResources.md', 'CuratedContent/InclusiveLanguageResources.md', 'CuratedContent/InclusiveLanguageResources.md', 'CuratedContent/InclusiveLanguageResources.md', 'CuratedContent/InclusiveLanguageResources.md', 'CuratedContent/InclusiveLanguageResources.md', 'CuratedContent/InclusiveLanguageResources.md', 'CuratedContent/InclusiveLanguageResources.md', 'CuratedContent/InclusiveLanguageResources.md', 'CuratedContent/InclusiveLanguageResources.md', 'CuratedContent/InclusiveLanguageResources.md', 'CuratedContent/InclusiveLanguageResources.md', 'CuratedContent/InclusiveLanguageResources.md', 'utils/wikize_refs.py'];betterscientificsoftware/bssw.io;2021-11-04T19:10:31Z;closed
5720676;betterscientificsoftware/bssw.io;768870;2;['Articles/Blog/ApolloGuidanceComputerPart2.md', 'Articles/Blog/ApolloGuidanceComputerPart3.md'];betterscientificsoftware/bssw.io;2021-12-02T17:16:17Z;closed
135808;betterscientificsoftware/PSIP-Tools;16179797;20;['PTCs/CoverageTestingPractice.pptx', 'PTCs/README.md', 'PTCs/SourceManagementPractice.pptx', 'PTCs/UnitTestingExample.pptx', 'interviews/IntroductoryLetterTemplate.md', 'interviews/IntroductoryLetterTemplate2.md', 'interviews/SoftwareTeamInterviewTemplate.md', 'interviews/SoftwareTeamInterviewerGuide.md', 'process/PSIP-Overview.md', 'process/PSIP-Timeline.md', 'process/SwPspWorkflow.jpg', 'process/SwPspWorkflow.pptx', 'interviews/PSIPInformationPolicy.md', 'PTCs/README.md', 'README.md', 'interviews/SoftwareTeamInterviewerGuide.md', 'process/PSIP-Timeline.md', 'PTCs/CoverageTestingPractice.md', 'PTCs/SourceManagementPractice.md', 'PTCs/UnitTestingExample.md', 'PTCs/CoverageTestingPractice.md'];betterscientificsoftware/PSIP-Tools;2019-01-18T15:57:19Z;closed
135808;betterscientificsoftware/PSIP-Tools;28600888;45;['PTCs/CoverageTestingPractice.pptx', 'PTCs/README.md', 'PTCs/SourceManagementPractice.pptx', 'PTCs/UnitTestingExample.pptx', 'interviews/IntroductoryLetterTemplate.md', 'interviews/IntroductoryLetterTemplate2.md', 'interviews/SoftwareTeamInterviewTemplate.md', 'interviews/SoftwareTeamInterviewerGuide.md', 'process/PSIP-Overview.md', 'process/PSIP-Timeline.md', 'process/SwPspWorkflow.jpg', 'process/SwPspWorkflow.pptx', 'interviews/PSIPInformationPolicy.md', 'PTCs/README.md', 'README.md', 'interviews/SoftwareTeamInterviewerGuide.md', 'process/PSIP-Timeline.md'];betterscientificsoftware/PSIP-Tools;2019-01-18T15:24:59Z;closed
5720676;betterscientificsoftware/images;786325;0;['Blog_TheGreatMigration_car.jpg', 'Blog_TheGreatMigration_table.png', 'Blog_TheGreatMigration_bikes.png'];betterscientificsoftware/images;2019-04-02T04:28:57Z;closed
5720676;betterscientificsoftware/images;1959736;0;['Blog_TheGreatMigration_car.jpg', 'Blog_TheGreatMigration_table.png', 'Blog_TheGreatMigration_bikes.png'];betterscientificsoftware/images;2019-04-02T04:28:57Z;closed
5720676;betterscientificsoftware/images;426409;0;['Blog_AGCPart1_CSM_and_LM.png', 'Blog_AGCPart1_RaytheonWorker.jpg', 'Blog_AGCPart1_computer.png', 'Blog_AGCPart1_profile.png', 'Blog_AGCPart1_profile_fullres.png', 'Blog_AGCPart1_profile_fullres.png', 'Blog_AGCPart1_profile_fullres.jpg', 'Blog_AGCPart1_CSM_and_LM.png', 'Blog_AGCPart1_RaytheonWorker.jpg', 'Blog_AGCPart1_profile.jpg', 'Blog_AGCPart1_profile.png', 'Blog_AGCPart1_profile_fullres.jpg', 'Blog_AGCPart2_MargaretHamilton.png', 'Blog_AGCPart1_CSM_and_LM2.png'];betterscientificsoftware/images;2020-03-13T20:53:00Z;closed
