Author,Project/Subproject,Change_Size,Final Reviewers,All Reviewers,File Info,Subject,Status
1341474,chromiumos/overlays/chromiumos-overlay,2,[],[1341474],['chromeos/binhost/target/amd64-generic-POSTSUBMIT_BINHOST.conf'],Set POSTSUBMIT_BINHOST=gs://staging-chromeos-prebuilt/board/amd64-generic/postsubmit-R99-14430.0.0-28966-8826307886156022593/packages.,closed
1118934,chromiumos/manifest-versions,1,[],[1118934],['full/build-name/arm-generic-full/pass/99/14430.0.0-rc2.xml'],Automatic checkin: status=pass build_version 14430.0.0-rc2 for arm-generic-full,closed
1118934,chromiumos/manifest-versions,322,[],[1118934],['android-LKGM-candidates/android-container-pi/buildspecs/99/14431.0.0-rc1.xml'],Automatic: Start master-pi-android-pfq main 14431.0.0-rc1 CrOS-Build-Id: 5079545,closed
1118934,chromiumos/manifest-versions,322,[],[1118934],['android-LKGM-candidates/android-vm-sc/buildspecs/99/14431.0.0-rc1.xml'],Automatic: Start master-vmsc-android-pfq main 14431.0.0-rc1 CrOS-Build-Id: 5079543,closed
1118934,chromiumos/overlays/board-overlays,2,[],[1118934],['overlay-arm-generic/prebuilt.conf'],prebuilt.conf: updating FULL_BINHOST,closed
1302612,chromium/src,2,[],"[1300008, 1302612, 1347153]",['DEPS'],Roll src-internal from 291fd7ab6d3e to a632f163c5f5 (1 revision),closed
1485243,chromiumos/third_party/kernel,8,"[1273086, 1485243, 1438826, 1000107, 1000313, 1000015]","[1273086, 1485243, 1438826, 1000107, 1000313, 1000015]",['DEPS'],FROMLIST: drm/panel: Update Boe-tv110c9m initial code,new
1347071,chromiumos/overlays/chromiumos-overlay,8,"[1507611, 1179631, 1115919, 1347071, 1130581]","[1507611, 1179631, 1115919, 1347071, 1130581]",['DEPS'],chromeos-lacros-parallel: Automatic uprev to 99.0.4798.0.,new
1359584,chromium/src,382,[1189880],"[1189880, 1347153, 1359584]","['ash/system/message_center/message_center_ui_controller_unittest.cc', 'ash/system/message_center/unified_message_center_view_unittest.cc', 'ash/system/message_center/unified_message_center_view.cc', 'ash/system/message_center/session_state_notification_blocker_unittest.cc', 'ash/system/message_center/ash_message_popup_collection_unittest.cc', 'ash/system/message_center/notification_swipe_control_view_unittest.cc', 'ash/system/message_center/unified_message_center_bubble_unittest.cc', 'ash/system/message_center/inactive_user_notification_blocker_unittest.cc']",NotificationRevamp: Parameterize tests for the new feature.,closed
1118934,chromiumos/manifest-versions,2,[],[1118934],['LKGM/lkgm.xml'],Automatic: master-pi-android-pfq promoting 14430.0.0-rc4 to LKGM,closed
1118934,chromium/src,2,[],"[1118934, 1228419, 1324920, 1347153, 1356022]","['chromeos/CHROMEOS_LKGM', 'DEPS']",Automated Commit: LKGM 14430.0.0 for chromeos.,closed
1305745,chromium/src,13,[],"[1305745, 1347153, 1471321]","['third_party/blink/web_tests/external/WPT_BASE_MANIFEST_8.json', 'third_party/blink/web_tests/TestExpectations', 'third_party/blink/web_tests/external/wpt/css/css-color/color-mix-percents-02.html', 'third_party/blink/web_tests/platform/mac/external/wpt/webmessaging/without-ports/020-expected.txt', 'third_party/blink/web_tests/android/WPTSmokeTestCases']",Import wpt@177fca12c217d38688c1e96cfa7fe27f6f34ea4c,closed
1347071,chromiumos/overlays/chromiumos-overlay,4,"[1513692, 1347071]","[1513692, 1347071]","['third_party/blink/web_tests/external/WPT_BASE_MANIFEST_8.json', 'third_party/blink/web_tests/TestExpectations', 'third_party/blink/web_tests/external/wpt/css/css-color/color-mix-percents-02.html', 'third_party/blink/web_tests/platform/mac/external/wpt/webmessaging/without-ports/020-expected.txt', 'third_party/blink/web_tests/android/WPTSmokeTestCases']",chromeos-chrome uprev dry-run with Chrome ToT,new
1002983,chromiumos/platform/tast-tests,8,"[1273836, 1186968]","[1273836, 1186968]","['third_party/blink/web_tests/external/WPT_BASE_MANIFEST_8.json', 'third_party/blink/web_tests/TestExpectations', 'third_party/blink/web_tests/external/wpt/css/css-color/color-mix-percents-02.html', 'third_party/blink/web_tests/platform/mac/external/wpt/webmessaging/without-ports/020-expected.txt', 'third_party/blink/web_tests/android/WPTSmokeTestCases']",Remove chirantan from test owners,new
1118934,chromiumos/manifest-versions,2,[],[1118934],['LKGM/lkgm.xml'],Automatic: master-vmsc-android-pfq promoting 14430.0.0-rc1 to LKGM,closed
1347071,chromiumos/overlays/chromiumos-overlay,4,"[1513692, 1347071]","[1513692, 1347071]",['LKGM/lkgm.xml'],chromeos-chrome uprev dry-run with Chrome ToT,new
1355869,chromium/src,4,[1003168],"[1003168, 1347153, 1355869]",['chrome/browser/ash/customization/customization_document.cc'],Allow Chrome JSON extensions in LoadManifestFromString.,closed
1302611,chromium/src,2,[],"[1302611, 1347153, 1492552]",['DEPS'],Roll Dawn from a8f5cfb81e8f to f069d5f3d6d0 (1 revision),closed
1399259,chromium/src,4,[1003168],[1003168],['DEPS'],login/users: Fix signed vs unsigned comparison warning,new
1118934,chromiumos/manifest-versions,1,[],[1118934],['full/build-name/tatl-full/pass/99/14430.0.0-rc2.xml'],Automatic checkin: status=pass build_version 14430.0.0-rc2 for tatl-full,closed
1399259,chromium/src,4,"[1399259, 1003168]","[1399259, 1003168]",['full/build-name/tatl-full/pass/99/14430.0.0-rc2.xml'],login: Fix ignored return type qualifier warning,new
1118934,chromiumos/manifest-versions,1,[],[1118934],['full/build-name/tael-full/pass/99/14430.0.0-rc2.xml'],Automatic checkin: status=pass build_version 14430.0.0-rc2 for tael-full,closed
1297197,angle/angle,25,"[1256237, 1297197, 1300114]","[1256237, 1297197, 1300114]",['full/build-name/tael-full/pass/99/14430.0.0-rc2.xml'],Vulkan: Use correct aspectMask,new
1118934,chromiumos/overlays/board-overlays,2,[],[1118934],['overlay-tatl/prebuilt.conf'],prebuilt.conf: updating FULL_BINHOST,closed
1118934,chromiumos/overlays/board-overlays,2,[],[1118934],['overlay-tael/prebuilt.conf'],prebuilt.conf: updating FULL_BINHOST,closed
1344621,chromium/src,20,[],"[1344621, 1347153]","['ios/google_internal/frameworks/remoting_dogfood_internal_dynamic_framework.iossimulator.zip.sha1', 'ios/google_internal/frameworks/chrome_sso_internal_dynamic_framework.ios.zip.sha1', 'ios/google_internal/frameworks/web_view_shell_internal_dynamic_framework.iossimulator.zip.sha1', 'ios/google_internal/frameworks/chrome_internal_dynamic_framework.iossimulator.zip.sha1', 'ios/google_internal/frameworks/chrome_sso_internal_dynamic_framework.iossimulator.zip.sha1', 'ios/google_internal/frameworks/remoting_dogfood_internal_dynamic_framework.ios.zip.sha1', 'ios/google_internal/frameworks/chrome_internal_dynamic_framework.ios.zip.sha1', 'ios/google_internal/frameworks/remoting_internal_dynamic_framework.iossimulator.zip.sha1', 'ios/google_internal/frameworks/remoting_internal_dynamic_framework.ios.zip.sha1', 'ios/google_internal/frameworks/web_view_shell_internal_dynamic_framework.ios.zip.sha1']",[Frameworks roll] Roll to 419122123 piper revision,closed
1399259,chromium/src,8,"[1399259, 1003168, 1000623]","[1399259, 1003168, 1000623]","['ios/google_internal/frameworks/remoting_dogfood_internal_dynamic_framework.iossimulator.zip.sha1', 'ios/google_internal/frameworks/chrome_sso_internal_dynamic_framework.ios.zip.sha1', 'ios/google_internal/frameworks/web_view_shell_internal_dynamic_framework.iossimulator.zip.sha1', 'ios/google_internal/frameworks/chrome_internal_dynamic_framework.iossimulator.zip.sha1', 'ios/google_internal/frameworks/chrome_sso_internal_dynamic_framework.iossimulator.zip.sha1', 'ios/google_internal/frameworks/remoting_dogfood_internal_dynamic_framework.ios.zip.sha1', 'ios/google_internal/frameworks/chrome_internal_dynamic_framework.ios.zip.sha1', 'ios/google_internal/frameworks/remoting_internal_dynamic_framework.iossimulator.zip.sha1', 'ios/google_internal/frameworks/remoting_internal_dynamic_framework.ios.zip.sha1', 'ios/google_internal/frameworks/web_view_shell_internal_dynamic_framework.ios.zip.sha1']",login/screens: Removed unused functions,new
1453272,chromium/src,586,[1453272],[1453272],"['ios/google_internal/frameworks/remoting_dogfood_internal_dynamic_framework.iossimulator.zip.sha1', 'ios/google_internal/frameworks/chrome_sso_internal_dynamic_framework.ios.zip.sha1', 'ios/google_internal/frameworks/web_view_shell_internal_dynamic_framework.iossimulator.zip.sha1', 'ios/google_internal/frameworks/chrome_internal_dynamic_framework.iossimulator.zip.sha1', 'ios/google_internal/frameworks/chrome_sso_internal_dynamic_framework.iossimulator.zip.sha1', 'ios/google_internal/frameworks/remoting_dogfood_internal_dynamic_framework.ios.zip.sha1', 'ios/google_internal/frameworks/chrome_internal_dynamic_framework.ios.zip.sha1', 'ios/google_internal/frameworks/remoting_internal_dynamic_framework.iossimulator.zip.sha1', 'ios/google_internal/frameworks/remoting_internal_dynamic_framework.ios.zip.sha1', 'ios/google_internal/frameworks/web_view_shell_internal_dynamic_framework.ios.zip.sha1']",very very tentative outline of CDM SQLite backend,new
1118934,chromiumos/manifest-versions,322,[],[1118934],['android-LKGM-candidates/android-vm-master/buildspecs/99/14430.0.0-rc2.xml'],Automatic: Start master-vmt-android-pfq main 14430.0.0-rc2 CrOS-Build-Id: 5079357,closed
1302612,chromium/src,2,[],"[1300008, 1302612, 1347153]",['DEPS'],Roll src-internal from 60aa9b78ed0c to 291fd7ab6d3e (1 revision),closed
