Author;Project/Subproject;Reviewer;Change_Size;File Info;Subject;Status
1485243;chromiumos/third_party/kernel;1273086;8;['DEPS'];chromiumos/third_party/kernel;new
1485243;chromiumos/third_party/kernel;1485243;8;['DEPS'];chromiumos/third_party/kernel;new
1485243;chromiumos/third_party/kernel;1438826;8;['DEPS'];chromiumos/third_party/kernel;new
1485243;chromiumos/third_party/kernel;1000107;8;['DEPS'];chromiumos/third_party/kernel;new
1485243;chromiumos/third_party/kernel;1000313;8;['DEPS'];chromiumos/third_party/kernel;new
1485243;chromiumos/third_party/kernel;1000015;8;['DEPS'];chromiumos/third_party/kernel;new
1347071;chromiumos/overlays/chromiumos-overlay;1507611;8;['DEPS'];chromiumos/overlays/chromiumos-overlay;new
1347071;chromiumos/overlays/chromiumos-overlay;1179631;8;['DEPS'];chromiumos/overlays/chromiumos-overlay;new
1347071;chromiumos/overlays/chromiumos-overlay;1115919;8;['DEPS'];chromiumos/overlays/chromiumos-overlay;new
1347071;chromiumos/overlays/chromiumos-overlay;1347071;8;['DEPS'];chromiumos/overlays/chromiumos-overlay;new
1347071;chromiumos/overlays/chromiumos-overlay;1130581;8;['DEPS'];chromiumos/overlays/chromiumos-overlay;new
1359584;chromium/src;1189880;382;['ash/system/message_center/message_center_ui_controller_unittest.cc', 'ash/system/message_center/unified_message_center_view_unittest.cc', 'ash/system/message_center/unified_message_center_view.cc', 'ash/system/message_center/session_state_notification_blocker_unittest.cc', 'ash/system/message_center/ash_message_popup_collection_unittest.cc', 'ash/system/message_center/notification_swipe_control_view_unittest.cc', 'ash/system/message_center/unified_message_center_bubble_unittest.cc', 'ash/system/message_center/inactive_user_notification_blocker_unittest.cc'];chromium/src;closed
1347071;chromiumos/overlays/chromiumos-overlay;1513692;4;['third_party/blink/web_tests/external/WPT_BASE_MANIFEST_8.json', 'third_party/blink/web_tests/TestExpectations', 'third_party/blink/web_tests/external/wpt/css/css-color/color-mix-percents-02.html', 'third_party/blink/web_tests/platform/mac/external/wpt/webmessaging/without-ports/020-expected.txt', 'third_party/blink/web_tests/android/WPTSmokeTestCases'];chromiumos/overlays/chromiumos-overlay;new
1347071;chromiumos/overlays/chromiumos-overlay;1347071;4;['third_party/blink/web_tests/external/WPT_BASE_MANIFEST_8.json', 'third_party/blink/web_tests/TestExpectations', 'third_party/blink/web_tests/external/wpt/css/css-color/color-mix-percents-02.html', 'third_party/blink/web_tests/platform/mac/external/wpt/webmessaging/without-ports/020-expected.txt', 'third_party/blink/web_tests/android/WPTSmokeTestCases'];chromiumos/overlays/chromiumos-overlay;new
1002983;chromiumos/platform/tast-tests;1273836;8;['third_party/blink/web_tests/external/WPT_BASE_MANIFEST_8.json', 'third_party/blink/web_tests/TestExpectations', 'third_party/blink/web_tests/external/wpt/css/css-color/color-mix-percents-02.html', 'third_party/blink/web_tests/platform/mac/external/wpt/webmessaging/without-ports/020-expected.txt', 'third_party/blink/web_tests/android/WPTSmokeTestCases'];chromiumos/platform/tast-tests;new
1002983;chromiumos/platform/tast-tests;1186968;8;['third_party/blink/web_tests/external/WPT_BASE_MANIFEST_8.json', 'third_party/blink/web_tests/TestExpectations', 'third_party/blink/web_tests/external/wpt/css/css-color/color-mix-percents-02.html', 'third_party/blink/web_tests/platform/mac/external/wpt/webmessaging/without-ports/020-expected.txt', 'third_party/blink/web_tests/android/WPTSmokeTestCases'];chromiumos/platform/tast-tests;new
1347071;chromiumos/overlays/chromiumos-overlay;1513692;4;['LKGM/lkgm.xml'];chromiumos/overlays/chromiumos-overlay;new
1347071;chromiumos/overlays/chromiumos-overlay;1347071;4;['LKGM/lkgm.xml'];chromiumos/overlays/chromiumos-overlay;new
1355869;chromium/src;1003168;4;['chrome/browser/ash/customization/customization_document.cc'];chromium/src;closed
1399259;chromium/src;1003168;4;['DEPS'];chromium/src;new
1399259;chromium/src;1399259;4;['full/build-name/tatl-full/pass/99/14430.0.0-rc2.xml'];chromium/src;new
1399259;chromium/src;1003168;4;['full/build-name/tatl-full/pass/99/14430.0.0-rc2.xml'];chromium/src;new
1297197;angle/angle;1256237;25;['full/build-name/tael-full/pass/99/14430.0.0-rc2.xml'];angle/angle;new
1297197;angle/angle;1297197;25;['full/build-name/tael-full/pass/99/14430.0.0-rc2.xml'];angle/angle;new
1297197;angle/angle;1300114;25;['full/build-name/tael-full/pass/99/14430.0.0-rc2.xml'];angle/angle;new
1399259;chromium/src;1399259;8;['ios/google_internal/frameworks/remoting_dogfood_internal_dynamic_framework.iossimulator.zip.sha1', 'ios/google_internal/frameworks/chrome_sso_internal_dynamic_framework.ios.zip.sha1', 'ios/google_internal/frameworks/web_view_shell_internal_dynamic_framework.iossimulator.zip.sha1', 'ios/google_internal/frameworks/chrome_internal_dynamic_framework.iossimulator.zip.sha1', 'ios/google_internal/frameworks/chrome_sso_internal_dynamic_framework.iossimulator.zip.sha1', 'ios/google_internal/frameworks/remoting_dogfood_internal_dynamic_framework.ios.zip.sha1', 'ios/google_internal/frameworks/chrome_internal_dynamic_framework.ios.zip.sha1', 'ios/google_internal/frameworks/remoting_internal_dynamic_framework.iossimulator.zip.sha1', 'ios/google_internal/frameworks/remoting_internal_dynamic_framework.ios.zip.sha1', 'ios/google_internal/frameworks/web_view_shell_internal_dynamic_framework.ios.zip.sha1'];chromium/src;new
