Author,Project/Subproject,Change_Size,Final Reviewers,All Reviewers,File Info,Subject,Status
422,kudu,113,[217],"[120, 217, 422]","['src/kudu/tools/kudu-admin-test.cc', 'src/kudu/tools/kudu-tool-test.cc', 'src/kudu/tools/master_rebuilder.cc', 'src/kudu/tools/tool_action_common.cc', 'src/kudu/tools/tool_action_master.cc', 'src/kudu/tserver/tablet_service.cc', 'src/kudu/tserver/tserver.proto']",[tools] Fix schema version incorrctly set to 0 bug after rebuilding master,closed
557,native-toolchain,169,"[217, 269, 557]","[217, 269, 557]","['src/kudu/tools/kudu-admin-test.cc', 'src/kudu/tools/kudu-tool-test.cc', 'src/kudu/tools/master_rebuilder.cc', 'src/kudu/tools/tool_action_common.cc', 'src/kudu/tools/tool_action_master.cc', 'src/kudu/tserver/tablet_service.cc', 'src/kudu/tserver/tserver.proto']",IMPALA-10951 (part 1): Upgrade protobuf library in toolchain,new
333,Impala-ASF,1351,"[336, 593, 467, 308, 203, 333, 255]","[336, 593, 467, 308, 203, 333, 255]","['src/kudu/tools/kudu-admin-test.cc', 'src/kudu/tools/kudu-tool-test.cc', 'src/kudu/tools/master_rebuilder.cc', 'src/kudu/tools/tool_action_common.cc', 'src/kudu/tools/tool_action_master.cc', 'src/kudu/tserver/tablet_service.cc', 'src/kudu/tserver/tserver.proto']",IMPALA-9498: Allow returning arrays in select list,new
654,Impala-ASF,593,"[336, 544, 654, 255]","[336, 544, 654, 255]","['src/kudu/tools/kudu-admin-test.cc', 'src/kudu/tools/kudu-tool-test.cc', 'src/kudu/tools/master_rebuilder.cc', 'src/kudu/tools/tool_action_common.cc', 'src/kudu/tools/tool_action_master.cc', 'src/kudu/tserver/tablet_service.cc', 'src/kudu/tserver/tserver.proto']",WiP: IMPALA-10798 : Prototype for JSON reader,new
190,Impala-ASF,511,"[416, 593, 515, 557, 190, 255]","[416, 593, 515, 557, 190, 255]","['src/kudu/tools/kudu-admin-test.cc', 'src/kudu/tools/kudu-tool-test.cc', 'src/kudu/tools/master_rebuilder.cc', 'src/kudu/tools/tool_action_common.cc', 'src/kudu/tools/tool_action_master.cc', 'src/kudu/tserver/tablet_service.cc', 'src/kudu/tserver/tserver.proto']",IMPALA-11033: Add support for specifying multiple executor group sets,new
643,kudu,4596,"[195, 643, 422, 120, 217]","[195, 643, 422, 120, 217]","['src/kudu/tools/kudu-admin-test.cc', 'src/kudu/tools/kudu-tool-test.cc', 'src/kudu/tools/master_rebuilder.cc', 'src/kudu/tools/tool_action_common.cc', 'src/kudu/tools/tool_action_master.cc', 'src/kudu/tserver/tablet_service.cc', 'src/kudu/tserver/tserver.proto']",KUDU-3197 [tserver] optimal Schema's memory used,new
643,kudu,155,[422],"[120, 215, 422, 460]","['src/kudu/client/schema.cc', 'src/kudu/client/schema.h', 'src/kudu/tools/kudu-tool-test.cc', 'src/kudu/tools/tool_action_table.cc']",KUDU-3339 [tool] CLI to add a column,closed
593,Impala-ASF,1141,"[593, 515, 557, 255]","[593, 515, 557, 255]","['src/kudu/client/schema.cc', 'src/kudu/client/schema.h', 'src/kudu/tools/kudu-tool-test.cc', 'src/kudu/tools/tool_action_table.cc']",[WIP] IMPALA-10992 Planner changes for estimate peak memory - v2,new
195,kudu,2,[215],"[120, 195, 215]",['java/gradle/dependencies.gradle'],[java] bump log4j up to 2.17.0 version,closed
195,kudu,2,[195],"[120, 195, 215]",['java/gradle/dependencies.gradle'],[java] bump log4j up to 2.17.0 version,closed
