Author;Project/Subproject;Reviewer;Change_Size;File Info;Subject;Status
422;kudu;217;113;['src/kudu/tools/kudu-admin-test.cc', 'src/kudu/tools/kudu-tool-test.cc', 'src/kudu/tools/master_rebuilder.cc', 'src/kudu/tools/tool_action_common.cc', 'src/kudu/tools/tool_action_master.cc', 'src/kudu/tserver/tablet_service.cc', 'src/kudu/tserver/tserver.proto'];kudu;closed
557;native-toolchain;217;169;['src/kudu/tools/kudu-admin-test.cc', 'src/kudu/tools/kudu-tool-test.cc', 'src/kudu/tools/master_rebuilder.cc', 'src/kudu/tools/tool_action_common.cc', 'src/kudu/tools/tool_action_master.cc', 'src/kudu/tserver/tablet_service.cc', 'src/kudu/tserver/tserver.proto'];native-toolchain;new
557;native-toolchain;269;169;['src/kudu/tools/kudu-admin-test.cc', 'src/kudu/tools/kudu-tool-test.cc', 'src/kudu/tools/master_rebuilder.cc', 'src/kudu/tools/tool_action_common.cc', 'src/kudu/tools/tool_action_master.cc', 'src/kudu/tserver/tablet_service.cc', 'src/kudu/tserver/tserver.proto'];native-toolchain;new
557;native-toolchain;557;169;['src/kudu/tools/kudu-admin-test.cc', 'src/kudu/tools/kudu-tool-test.cc', 'src/kudu/tools/master_rebuilder.cc', 'src/kudu/tools/tool_action_common.cc', 'src/kudu/tools/tool_action_master.cc', 'src/kudu/tserver/tablet_service.cc', 'src/kudu/tserver/tserver.proto'];native-toolchain;new
333;Impala-ASF;336;1351;['src/kudu/tools/kudu-admin-test.cc', 'src/kudu/tools/kudu-tool-test.cc', 'src/kudu/tools/master_rebuilder.cc', 'src/kudu/tools/tool_action_common.cc', 'src/kudu/tools/tool_action_master.cc', 'src/kudu/tserver/tablet_service.cc', 'src/kudu/tserver/tserver.proto'];Impala-ASF;new
333;Impala-ASF;593;1351;['src/kudu/tools/kudu-admin-test.cc', 'src/kudu/tools/kudu-tool-test.cc', 'src/kudu/tools/master_rebuilder.cc', 'src/kudu/tools/tool_action_common.cc', 'src/kudu/tools/tool_action_master.cc', 'src/kudu/tserver/tablet_service.cc', 'src/kudu/tserver/tserver.proto'];Impala-ASF;new
333;Impala-ASF;467;1351;['src/kudu/tools/kudu-admin-test.cc', 'src/kudu/tools/kudu-tool-test.cc', 'src/kudu/tools/master_rebuilder.cc', 'src/kudu/tools/tool_action_common.cc', 'src/kudu/tools/tool_action_master.cc', 'src/kudu/tserver/tablet_service.cc', 'src/kudu/tserver/tserver.proto'];Impala-ASF;new
333;Impala-ASF;308;1351;['src/kudu/tools/kudu-admin-test.cc', 'src/kudu/tools/kudu-tool-test.cc', 'src/kudu/tools/master_rebuilder.cc', 'src/kudu/tools/tool_action_common.cc', 'src/kudu/tools/tool_action_master.cc', 'src/kudu/tserver/tablet_service.cc', 'src/kudu/tserver/tserver.proto'];Impala-ASF;new
333;Impala-ASF;203;1351;['src/kudu/tools/kudu-admin-test.cc', 'src/kudu/tools/kudu-tool-test.cc', 'src/kudu/tools/master_rebuilder.cc', 'src/kudu/tools/tool_action_common.cc', 'src/kudu/tools/tool_action_master.cc', 'src/kudu/tserver/tablet_service.cc', 'src/kudu/tserver/tserver.proto'];Impala-ASF;new
333;Impala-ASF;333;1351;['src/kudu/tools/kudu-admin-test.cc', 'src/kudu/tools/kudu-tool-test.cc', 'src/kudu/tools/master_rebuilder.cc', 'src/kudu/tools/tool_action_common.cc', 'src/kudu/tools/tool_action_master.cc', 'src/kudu/tserver/tablet_service.cc', 'src/kudu/tserver/tserver.proto'];Impala-ASF;new
333;Impala-ASF;255;1351;['src/kudu/tools/kudu-admin-test.cc', 'src/kudu/tools/kudu-tool-test.cc', 'src/kudu/tools/master_rebuilder.cc', 'src/kudu/tools/tool_action_common.cc', 'src/kudu/tools/tool_action_master.cc', 'src/kudu/tserver/tablet_service.cc', 'src/kudu/tserver/tserver.proto'];Impala-ASF;new
654;Impala-ASF;336;593;['src/kudu/tools/kudu-admin-test.cc', 'src/kudu/tools/kudu-tool-test.cc', 'src/kudu/tools/master_rebuilder.cc', 'src/kudu/tools/tool_action_common.cc', 'src/kudu/tools/tool_action_master.cc', 'src/kudu/tserver/tablet_service.cc', 'src/kudu/tserver/tserver.proto'];Impala-ASF;new
654;Impala-ASF;544;593;['src/kudu/tools/kudu-admin-test.cc', 'src/kudu/tools/kudu-tool-test.cc', 'src/kudu/tools/master_rebuilder.cc', 'src/kudu/tools/tool_action_common.cc', 'src/kudu/tools/tool_action_master.cc', 'src/kudu/tserver/tablet_service.cc', 'src/kudu/tserver/tserver.proto'];Impala-ASF;new
654;Impala-ASF;654;593;['src/kudu/tools/kudu-admin-test.cc', 'src/kudu/tools/kudu-tool-test.cc', 'src/kudu/tools/master_rebuilder.cc', 'src/kudu/tools/tool_action_common.cc', 'src/kudu/tools/tool_action_master.cc', 'src/kudu/tserver/tablet_service.cc', 'src/kudu/tserver/tserver.proto'];Impala-ASF;new
654;Impala-ASF;255;593;['src/kudu/tools/kudu-admin-test.cc', 'src/kudu/tools/kudu-tool-test.cc', 'src/kudu/tools/master_rebuilder.cc', 'src/kudu/tools/tool_action_common.cc', 'src/kudu/tools/tool_action_master.cc', 'src/kudu/tserver/tablet_service.cc', 'src/kudu/tserver/tserver.proto'];Impala-ASF;new
190;Impala-ASF;416;511;['src/kudu/tools/kudu-admin-test.cc', 'src/kudu/tools/kudu-tool-test.cc', 'src/kudu/tools/master_rebuilder.cc', 'src/kudu/tools/tool_action_common.cc', 'src/kudu/tools/tool_action_master.cc', 'src/kudu/tserver/tablet_service.cc', 'src/kudu/tserver/tserver.proto'];Impala-ASF;new
190;Impala-ASF;593;511;['src/kudu/tools/kudu-admin-test.cc', 'src/kudu/tools/kudu-tool-test.cc', 'src/kudu/tools/master_rebuilder.cc', 'src/kudu/tools/tool_action_common.cc', 'src/kudu/tools/tool_action_master.cc', 'src/kudu/tserver/tablet_service.cc', 'src/kudu/tserver/tserver.proto'];Impala-ASF;new
190;Impala-ASF;515;511;['src/kudu/tools/kudu-admin-test.cc', 'src/kudu/tools/kudu-tool-test.cc', 'src/kudu/tools/master_rebuilder.cc', 'src/kudu/tools/tool_action_common.cc', 'src/kudu/tools/tool_action_master.cc', 'src/kudu/tserver/tablet_service.cc', 'src/kudu/tserver/tserver.proto'];Impala-ASF;new
190;Impala-ASF;557;511;['src/kudu/tools/kudu-admin-test.cc', 'src/kudu/tools/kudu-tool-test.cc', 'src/kudu/tools/master_rebuilder.cc', 'src/kudu/tools/tool_action_common.cc', 'src/kudu/tools/tool_action_master.cc', 'src/kudu/tserver/tablet_service.cc', 'src/kudu/tserver/tserver.proto'];Impala-ASF;new
