Author;Project/Subproject;Reviewer;Change_Size;File Info;Subject;Closed At;status
54862;fullstorydev/lucene-solr;1757100;13;['solr/core/src/java/org/apache/solr/core/CoreContainer.java', 'solr/core/src/java/org/apache/solr/request/SolrRequestInfo.java', 'solr/core/src/java/org/apache/solr/servlet/TimeOutPatrol.java', 'solr/core/src/java/org/apache/solr/servlet/TimeOutPatrol.java', 'solr/core/src/java/org/apache/solr/request/SolrRequestInfo.java', 'solr/core/src/java/org/apache/solr/servlet/TimeOutPatrol.java', 'solr/solrj/src/test/org/apache/solr/client/solrj/impl/CloudSolrClientTest.java', 'solr/core/src/java/org/apache/solr/request/SolrRequestInfo.java', 'solr/core/src/java/org/apache/solr/servlet/TimeOutPatrol.java', 'solr/solrj/src/test/org/apache/solr/client/solrj/impl/CloudSolrClientTest.java', 'solr/core/src/java/org/apache/solr/servlet/TimeOutPatrol.java', 'solr/core/src/java/org/apache/solr/request/SolrRequestInfo.java', 'solr/core/src/java/org/apache/solr/servlet/TimeOutPatrol.java', 'solr/core/src/java/org/apache/solr/servlet/TimeOutPatrol.java', 'solr/core/src/java/org/apache/solr/servlet/TimeOutPatrol.java', 'solr/core/src/java/org/apache/solr/servlet/TimeOutPatrol.java', 'solr/core/src/java/org/apache/solr/handler/component/ShardRequestor.java'];fullstorydev/lucene-solr;2021-10-28T23:55:47Z;closed
54862;fullstorydev/lucene-solr;4598004;13;['solr/core/src/java/org/apache/solr/core/CoreContainer.java', 'solr/core/src/java/org/apache/solr/request/SolrRequestInfo.java', 'solr/core/src/java/org/apache/solr/servlet/TimeOutPatrol.java', 'solr/core/src/java/org/apache/solr/servlet/TimeOutPatrol.java', 'solr/core/src/java/org/apache/solr/request/SolrRequestInfo.java', 'solr/core/src/java/org/apache/solr/servlet/TimeOutPatrol.java', 'solr/solrj/src/test/org/apache/solr/client/solrj/impl/CloudSolrClientTest.java', 'solr/core/src/java/org/apache/solr/request/SolrRequestInfo.java', 'solr/core/src/java/org/apache/solr/servlet/TimeOutPatrol.java', 'solr/solrj/src/test/org/apache/solr/client/solrj/impl/CloudSolrClientTest.java', 'solr/core/src/java/org/apache/solr/servlet/TimeOutPatrol.java', 'solr/core/src/java/org/apache/solr/request/SolrRequestInfo.java', 'solr/core/src/java/org/apache/solr/servlet/TimeOutPatrol.java', 'solr/core/src/java/org/apache/solr/servlet/TimeOutPatrol.java', 'solr/core/src/java/org/apache/solr/servlet/TimeOutPatrol.java', 'solr/core/src/java/org/apache/solr/servlet/TimeOutPatrol.java', 'solr/core/src/java/org/apache/solr/handler/component/ShardRequestor.java'];fullstorydev/lucene-solr;2021-10-28T23:55:47Z;closed
4598004;fullstorydev/lucene-solr;54862;5;['solr/core/src/test/org/apache/solr/core/SolrCoreProxyTest.java', 'solr/core/src/test/org/apache/solr/core/SolrCoreProxyTest.java', 'solr/core/src/test/org/apache/solr/core/FSPRSTest.java', 'solr/core/src/test/org/apache/solr/core/SolrCoreProxyTest.java', 'solr/core/src/test/org/apache/solr/core/FSPRSTest.java', 'solr/core/src/java/org/apache/solr/cloud/overseer/SliceMutator.java', 'solr/core/src/test/org/apache/solr/core/FSPRSTest.java', 'solr/core/src/test/org/apache/solr/core/FSPRSTest.java', 'solr/core/src/test/org/apache/solr/core/FSPRSTest.java', 'solr/core/src/test/org/apache/solr/core/FSPRSTest.java', 'solr/core/src/test/org/apache/solr/core/FSPRSTest.java', 'solr/core/src/test/org/apache/solr/search/function/AggValueSourceTest.java'];fullstorydev/lucene-solr;2021-10-19T21:33:39Z;closed
4598004;fullstorydev/lucene-solr;54862;12;['solr/FULLSTORY-CHANGES.txt', 'solr/core/src/java/org/apache/solr/handler/component/QueryComponent.java', 'solr/core/src/test/org/apache/solr/handler/component/DistributedQueryComponentCustomSortTest.java', 'solr/test-framework/src/java/org/apache/solr/BaseDistributedSearchTestCase.java', 'solr/core/src/test/org/apache/solr/handler/component/DistributedQueryComponentCustomSortTest.java'];fullstorydev/lucene-solr;2021-09-20T17:07:34Z;closed
4598004;fullstorydev/lucene-solr;2895902;12;['solr/FULLSTORY-CHANGES.txt', 'solr/core/src/java/org/apache/solr/handler/component/QueryComponent.java', 'solr/core/src/test/org/apache/solr/handler/component/DistributedQueryComponentCustomSortTest.java', 'solr/test-framework/src/java/org/apache/solr/BaseDistributedSearchTestCase.java', 'solr/core/src/test/org/apache/solr/handler/component/DistributedQueryComponentCustomSortTest.java'];fullstorydev/lucene-solr;2021-09-20T17:07:34Z;closed
4598004;fullstorydev/lucene-solr;9000965;12;['solr/FULLSTORY-CHANGES.txt', 'solr/core/src/java/org/apache/solr/handler/component/QueryComponent.java', 'solr/core/src/test/org/apache/solr/handler/component/DistributedQueryComponentCustomSortTest.java', 'solr/test-framework/src/java/org/apache/solr/BaseDistributedSearchTestCase.java', 'solr/core/src/test/org/apache/solr/handler/component/DistributedQueryComponentCustomSortTest.java'];fullstorydev/lucene-solr;2021-09-20T17:07:34Z;closed
4598004;fullstorydev/lucene-solr;53449908;12;['solr/FULLSTORY-CHANGES.txt', 'solr/core/src/java/org/apache/solr/handler/component/QueryComponent.java', 'solr/core/src/test/org/apache/solr/handler/component/DistributedQueryComponentCustomSortTest.java', 'solr/test-framework/src/java/org/apache/solr/BaseDistributedSearchTestCase.java', 'solr/core/src/test/org/apache/solr/handler/component/DistributedQueryComponentCustomSortTest.java'];fullstorydev/lucene-solr;2021-09-20T17:07:34Z;closed
54862;fullstorydev/lucene-solr;1757100;5;['solr/core/src/java/org/apache/solr/servlet/HttpSolrCall.java', 'solr/solrj/src/java/org/apache/solr/common/cloud/ZkStateReader.java', 'solr/solrj/src/java/org/apache/solr/common/cloud/ZkStateReader.java', 'solr/solrj/src/java/org/apache/solr/common/cloud/ZkStateReader.java'];fullstorydev/lucene-solr;2021-09-08T18:48:15Z;closed
54862;fullstorydev/lucene-solr;2895902;5;['solr/core/src/java/org/apache/solr/servlet/HttpSolrCall.java', 'solr/solrj/src/java/org/apache/solr/common/cloud/ZkStateReader.java', 'solr/solrj/src/java/org/apache/solr/common/cloud/ZkStateReader.java', 'solr/solrj/src/java/org/apache/solr/common/cloud/ZkStateReader.java'];fullstorydev/lucene-solr;2021-09-08T18:48:15Z;closed
54862;fullstorydev/lucene-solr;4598004;5;['solr/core/src/java/org/apache/solr/servlet/HttpSolrCall.java', 'solr/solrj/src/java/org/apache/solr/common/cloud/ZkStateReader.java', 'solr/solrj/src/java/org/apache/solr/common/cloud/ZkStateReader.java', 'solr/solrj/src/java/org/apache/solr/common/cloud/ZkStateReader.java'];fullstorydev/lucene-solr;2021-09-08T18:48:15Z;closed
54862;fullstorydev/lucene-solr;1757100;3;['solr/core/src/java/org/apache/solr/cloud/ZkController.java', 'solr/core/src/test/org/apache/solr/cloud/TestOverseerRoleSysProp.java', 'solr/core/src/java/org/apache/solr/cloud/ZkController.java', 'solr/core/src/java/org/apache/solr/cloud/api/collections/Assign.java', 'solr/core/src/test/org/apache/solr/cloud/TestOverseerRoleSysProp.java', 'solr/core/src/java/org/apache/solr/cloud/ZkController.java', 'solr/core/src/java/org/apache/solr/cloud/api/collections/Assign.java', 'solr/core/src/java/org/apache/solr/cloud/ZkController.java', 'solr/core/src/java/org/apache/solr/handler/admin/CoreAdminOperation.java', 'solr/core/src/java/org/apache/solr/cloud/ZkController.java', 'solr/core/src/java/org/apache/solr/cloud/ZkController.java', 'solr/core/src/java/org/apache/solr/handler/admin/CoreAdminOperation.java', 'solr/core/src/java/org/apache/solr/cloud/api/collections/Assign.java'];fullstorydev/lucene-solr;2021-09-23T21:58:53Z;closed
54862;fullstorydev/lucene-solr;2895902;3;['solr/core/src/java/org/apache/solr/cloud/ZkController.java', 'solr/core/src/test/org/apache/solr/cloud/TestOverseerRoleSysProp.java', 'solr/core/src/java/org/apache/solr/cloud/ZkController.java', 'solr/core/src/java/org/apache/solr/cloud/api/collections/Assign.java', 'solr/core/src/test/org/apache/solr/cloud/TestOverseerRoleSysProp.java', 'solr/core/src/java/org/apache/solr/cloud/ZkController.java', 'solr/core/src/java/org/apache/solr/cloud/api/collections/Assign.java', 'solr/core/src/java/org/apache/solr/cloud/ZkController.java', 'solr/core/src/java/org/apache/solr/handler/admin/CoreAdminOperation.java', 'solr/core/src/java/org/apache/solr/cloud/ZkController.java', 'solr/core/src/java/org/apache/solr/cloud/ZkController.java', 'solr/core/src/java/org/apache/solr/handler/admin/CoreAdminOperation.java', 'solr/core/src/java/org/apache/solr/cloud/api/collections/Assign.java'];fullstorydev/lucene-solr;2021-09-23T21:58:53Z;closed
54862;fullstorydev/lucene-solr;4598004;3;['solr/core/src/java/org/apache/solr/cloud/ZkController.java', 'solr/core/src/test/org/apache/solr/cloud/TestOverseerRoleSysProp.java', 'solr/core/src/java/org/apache/solr/cloud/ZkController.java', 'solr/core/src/java/org/apache/solr/cloud/api/collections/Assign.java', 'solr/core/src/test/org/apache/solr/cloud/TestOverseerRoleSysProp.java', 'solr/core/src/java/org/apache/solr/cloud/ZkController.java', 'solr/core/src/java/org/apache/solr/cloud/api/collections/Assign.java', 'solr/core/src/java/org/apache/solr/cloud/ZkController.java', 'solr/core/src/java/org/apache/solr/handler/admin/CoreAdminOperation.java', 'solr/core/src/java/org/apache/solr/cloud/ZkController.java', 'solr/core/src/java/org/apache/solr/cloud/ZkController.java', 'solr/core/src/java/org/apache/solr/handler/admin/CoreAdminOperation.java', 'solr/core/src/java/org/apache/solr/cloud/api/collections/Assign.java'];fullstorydev/lucene-solr;2021-09-23T21:58:53Z;closed
8356589;fullstorydev/gosolr;1919660;39;['solrmonitor/collectionstate.go', 'solrmonitor/replicastate.go', 'solrmonitor/solrmonitor.go', 'solrmonitor/collectionstate.go', 'solrmonitor/solrmonitor.go', 'solrmonitor/collectionstate.go', 'solrmonitor/shardstate.go', 'solrmonitor/solrmonitor.go', 'solrmonitor/solrmonitor_test.go', 'solrmonitor/util_test.go', 'solrmonitor/solrmonitor.go', 'solrmonitor/collectionstate.go', 'solrmonitor/replicastate.go', 'solrmonitor/shardstate.go', 'solrmonitor/solrmonitor.go', 'solrmonitor/solrmonitor.go', 'solrmonitor/solrmonitor_test.go', 'solrmonitor/solrmonitor.go', 'solrmonitor/collectionstate.go', 'solrmonitor/replicastate.go', 'solrmonitor/shardstate.go', 'solrmonitor/solrmonitor.go', 'solrmonitor/solrmonitor.go', 'solrmonitor/solrmonitor.go', 'solrmonitor/replicastate.go', 'solrmonitor/shardstate.go', 'solrmonitor/solrmonitor.go', 'solrmonitor/solrmonitor_test.go', 'solrmonitor/solrmonitor.go', 'solrmonitor/collectionstate.go', 'solrmonitor/mock.go', 'solrmonitor/solrmonitor.go', 'solrmonitor/solrmonitor_test.go', 'solrmonitor/util_test.go', 'solrmonitor/solrmonitor.go', 'solrmonitor/solrmonitor_test.go', 'solrmonitor/solrmonitor.go', 'solrmonitor/mock.go', 'solrcheck/problems_test.go', 'solrmonitor/solrmonitor.go'];fullstorydev/gosolr;2021-12-29T17:06:40Z;closed
230209;fullstorydev/hauser;662420;1;['.gitignore', 'client/client.go', 'client/export.go', 'config/config.go', 'go.mod', 'go.sum', 'internal/service.go', 'main.go', 'resources/resources.go', 'client/client.go', 'client/export.go', 'config/config.go', 'go.mod', 'go.sum', 'main.go', 'resources/resources.go', 'warehouse/redshift_test.go', 'client/export.go', 'internal/service_test.go', 'client/export.go', '.gitignore', 'cmd/hauser/main.go', 'hauser/resources.go', 'main.go', 'client/client.go', 'hauser/resources.go', 'core/core.go', 'main.go', 'warehouse/redshift_test.go', '.gitignore'];fullstorydev/hauser;2020-09-23T19:19:11Z;closed
5388965;fullstorydev/grpcurl;2035234;4;['format.go'];fullstorydev/grpcurl;2021-04-20T13:11:45Z;closed
958267;fullstorydev/pathing-utils;45576380;7;['postBuild', 'requirements.txt'];fullstorydev/pathing-utils;2020-04-17T15:58:51Z;closed
45576380;fullstorydev/pathing-utils;958267;2;['pathutils/utils.py', 'pathutils/utils.py'];fullstorydev/pathing-utils;2019-12-05T04:36:37Z;closed
45576380;fullstorydev/pathing-utils;958267;22;['pathing_demo.ipynb', 'pathing_demo.py'];fullstorydev/pathing-utils;2019-12-02T18:54:57Z;closed
45576380;fullstorydev/pathing-utils;958267;2489;['pathing_demo.ipynb', 'pathing_demo.py'];fullstorydev/pathing-utils;2019-11-04T19:28:55Z;closed
45576380;fullstorydev/pathing-utils;46005232;6;['pathing_demo.ipynb', 'pathing_demo.py', 'pathing_demo.ipynb', 'pathing_demo.ipynb', 'pathing_demo.ipynb', 'pathing_demo.py', 'pathing_demo.ipynb', 'pathing_demo.py'];fullstorydev/pathing-utils;2019-10-07T15:16:37Z;closed
958267;fullstorydev/pathing-utils;46005232;2308;['pathing_demo.ipynb', 'pathing_demo.py'];fullstorydev/pathing-utils;2019-10-02T15:05:30Z;closed
45576380;fullstorydev/pathing-utils;46005232;2;['pathing_demo.py'];fullstorydev/pathing-utils;2019-10-01T21:00:27Z;closed
45576380;fullstorydev/pathing-utils;48255739;2;['pathing_demo.py'];fullstorydev/pathing-utils;2019-10-01T21:00:27Z;closed
958267;fullstorydev/pathing-utils;46005232;40;['pathutils/manage_resolutions.py', 'setup.py', 'CODEOWNERS', 'pathutils/sankey_funnel.py'];fullstorydev/pathing-utils;2019-09-23T13:23:36Z;closed
45576380;fullstorydev/pathing-utils;46005232;2;['pathutils/funnel_in_outs.py', '.gitignore', '.gitignore'];fullstorydev/pathing-utils;2019-09-12T18:48:04Z;closed
958267;fullstorydev/pathing-utils;46005232;42;['pathutils/sankey_funnel.py', 'setup.py'];fullstorydev/pathing-utils;2019-09-13T20:57:14Z;closed
85847552;fullstorydev/ios-shoppe-demo;10367662;16;['swift/Podfile', 'swift/Podfile.lock', 'swift/ios-shoppe-demo.xcodeproj/project.pbxproj', 'swift/ios-shoppe-demo.xcodeproj/project.pbxproj', 'swift/ios-shoppe-demo.xcodeproj/project.xcworkspace/xcshareddata/swiftpm/Package.resolved'];fullstorydev/ios-shoppe-demo;2021-11-05T21:19:32Z;closed
