Author;Project/Subproject;Reviewer;Change_Size;File Info;Subject;Status
1011323;gerrit;1029953;1;['tools/bzl/BUILD'];gerrit;closed
1011323;gerrit;1022687;1073;['tools/bzl/BUILD'];gerrit;new
1011323;plugins/webhooks;1025452;2;['src/test/java/com/googlesource/gerrit/plugins/webhooks/PostTaskTest.java'];plugins/webhooks;closed
1011323;plugins/webhooks;1025452;7;['src/main/java/com/googlesource/gerrit/plugins/webhooks/PostTask.java'];plugins/webhooks;closed
1025452;gerrit;1006192;1006;['java/com/google/gerrit/server/events/EventGsonProvider.java', 'java/com/google/gerrit/server/notedb/ChangeNotes.java', 'tools/maven/gerrit-war_pom.xml', 'Documentation/dev-plugins.txt', 'tools/maven/gerrit-extension-api_pom.xml', 'java/com/google/gerrit/pgm/http/jetty/HttpLog.java', 'modules/jgit', 'Documentation/logs.txt', 'tools/maven/gerrit-plugin-api_pom.xml', 'tools/maven/gerrit-acceptance-framework_pom.xml', 'java/com/google/gerrit/server/notedb/AbstractChangeNotes.java', 'java/com/google/gerrit/pgm/http/jetty/HttpLogLayout.java', 'version.bzl', 'javatests/com/google/gerrit/integration/git/GitProtocolV2IT.java', 'polygerrit-ui/app/services/gr-rest-api/gr-rest-api.ts', 'polygerrit-ui/app/elements/core/gr-smart-search/gr-smart-search.ts', 'polygerrit-ui/app/elements/shared/gr-rest-api-interface/gr-rest-api-interface.ts', 'polygerrit-ui/app/elements/admin/gr-repo-plugin-config/gr-repo-plugin-config_html.ts', 'polygerrit-ui/app/services/services/gr-rest-api/gr-rest-api.ts', 'polygerrit-ui/app/elements/admin/gr-permission/gr-permission.ts'];gerrit;closed
1025452;gerrit;1096442;1006;['java/com/google/gerrit/server/events/EventGsonProvider.java', 'java/com/google/gerrit/server/notedb/ChangeNotes.java', 'tools/maven/gerrit-war_pom.xml', 'Documentation/dev-plugins.txt', 'tools/maven/gerrit-extension-api_pom.xml', 'java/com/google/gerrit/pgm/http/jetty/HttpLog.java', 'modules/jgit', 'Documentation/logs.txt', 'tools/maven/gerrit-plugin-api_pom.xml', 'tools/maven/gerrit-acceptance-framework_pom.xml', 'java/com/google/gerrit/server/notedb/AbstractChangeNotes.java', 'java/com/google/gerrit/pgm/http/jetty/HttpLogLayout.java', 'version.bzl', 'javatests/com/google/gerrit/integration/git/GitProtocolV2IT.java', 'polygerrit-ui/app/services/gr-rest-api/gr-rest-api.ts', 'polygerrit-ui/app/elements/core/gr-smart-search/gr-smart-search.ts', 'polygerrit-ui/app/elements/shared/gr-rest-api-interface/gr-rest-api-interface.ts', 'polygerrit-ui/app/elements/admin/gr-repo-plugin-config/gr-repo-plugin-config_html.ts', 'polygerrit-ui/app/services/services/gr-rest-api/gr-rest-api.ts', 'polygerrit-ui/app/elements/admin/gr-permission/gr-permission.ts'];gerrit;closed
1072905;plugins/github;1006192;16;['github-plugin/src/main/java/com/googlesource/gerrit/plugins/github/wizard/AccountController.java', 'github-plugin/src/main/java/com/googlesource/gerrit/plugins/github/git/PullRequestImportJob.java'];plugins/github;closed
1072905;plugins/multi-site;1011323;10;['src/test/java/com/googlesource/gerrit/plugins/multisite/http/ReplicationStatusServletIT.java', 'e2e-tests/test.sh'];plugins/multi-site;closed
1072905;plugins/multi-site;1006192;81;['src/test/java/com/googlesource/gerrit/plugins/multisite/consumer/IndexEventSubscriberTest.java', 'src/main/java/com/googlesource/gerrit/plugins/multisite/consumer/IndexEventSubscriber.java'];plugins/multi-site;closed
1006192;plugins/pull-replication;1011323;0;[];plugins/pull-replication;closed
