Author,Project/Subproject,Change_Size,Final Reviewers,All Reviewers,File Info,Subject,Status
1011323,gerrit,1,[1029953],"[1006192, 1011323, 1022687, 1029953]",['tools/bzl/BUILD'],Bazel: Add no_rbe tag to //tools/bzl:always_pass_test,closed
1011323,gerrit,1073,[1022687],[1022687],['tools/bzl/BUILD'],Bump Jetty version to 11.0.7,new
1011323,plugins/webhooks,2,[1025452],"[1004034, 1011323, 1025452, 1094198]",['src/test/java/com/googlesource/gerrit/plugins/webhooks/PostTaskTest.java'],Fix UnusedVariable bug pattern flagged by error prone,closed
1011323,plugins/webhooks,7,[1025452],"[1004034, 1011323, 1025452, 1094198]",['src/main/java/com/googlesource/gerrit/plugins/webhooks/PostTask.java'],Fix FloggerArgumentToString bug pattern flagged by error prone,closed
1025452,gerrit,1006,"[1006192, 1096442]","[1002666, 1003883, 1006192, 1022687, 1025452, 1096442]","['java/com/google/gerrit/server/events/EventGsonProvider.java', 'java/com/google/gerrit/server/notedb/ChangeNotes.java', 'tools/maven/gerrit-war_pom.xml', 'Documentation/dev-plugins.txt', 'tools/maven/gerrit-extension-api_pom.xml', 'java/com/google/gerrit/pgm/http/jetty/HttpLog.java', 'modules/jgit', 'Documentation/logs.txt', 'tools/maven/gerrit-plugin-api_pom.xml', 'tools/maven/gerrit-acceptance-framework_pom.xml', 'java/com/google/gerrit/server/notedb/AbstractChangeNotes.java', 'java/com/google/gerrit/pgm/http/jetty/HttpLogLayout.java', 'version.bzl', 'javatests/com/google/gerrit/integration/git/GitProtocolV2IT.java', 'polygerrit-ui/app/services/gr-rest-api/gr-rest-api.ts', 'polygerrit-ui/app/elements/core/gr-smart-search/gr-smart-search.ts', 'polygerrit-ui/app/elements/shared/gr-rest-api-interface/gr-rest-api-interface.ts', 'polygerrit-ui/app/elements/admin/gr-repo-plugin-config/gr-repo-plugin-config_html.ts', 'polygerrit-ui/app/services/services/gr-rest-api/gr-rest-api.ts', 'polygerrit-ui/app/elements/admin/gr-permission/gr-permission.ts']",Merge branch 'stable-3.3' into stable-3.4,closed
1072905,plugins/github,16,[1006192],"[1006192, 1025452, 1054778, 1083454]","['github-plugin/src/main/java/com/googlesource/gerrit/plugins/github/wizard/AccountController.java', 'github-plugin/src/main/java/com/googlesource/gerrit/plugins/github/git/PullRequestImportJob.java']",Honour `userNameCaseInsensitive` config,closed
1072905,plugins/multi-site,10,[1011323],"[1006192, 1011323, 1022687, 1054778, 1083454]","['src/test/java/com/googlesource/gerrit/plugins/multisite/http/ReplicationStatusServletIT.java', 'e2e-tests/test.sh']",Merge branch 'stable-3.4',closed
1072905,plugins/multi-site,81,[1006192],"[1006192, 1011323, 1022687, 1054778, 1072905, 1083454]","['src/test/java/com/googlesource/gerrit/plugins/multisite/consumer/IndexEventSubscriberTest.java', 'src/main/java/com/googlesource/gerrit/plugins/multisite/consumer/IndexEventSubscriber.java']",Fix exception when consuming index events of deleted changes,closed
1006192,plugins/pull-replication,0,[1011323],"[1006192, 1011323, 1022687]",[],Merge branch 'stable-3.4',closed
1006192,plugins/pull-replication,5,[1011323],"[1011323, 1022687]",['src/main/java/com/googlesource/gerrit/plugins/replication/pull/FetchOne.java'],Remove references to JSchException,closed
1006192,plugins/pull-replication,0,[1011323],"[1006192, 1011323, 1022687]",[],Merge branch 'stable-3.3' into stable-3.4,closed
1011323,gerrit-ci-scripts,15,"[1006192, 1003935]","[1003935, 1004034, 1006192, 1022687, 1065256]","['jenkins/gerrit-bazel-verifier-test.sh', 'jenkins/gerrit-bazel-build.sh']","Revert ""Disable change validation on RBE""",closed
1011323,gerrit-ci-scripts,4,"[1006192, 1003935]","[1003935, 1006192, 1022687]",['jenkins/gerrit-bazel-verifier-test.sh'],RBE: Exclude test rules that cannot be run on RBE,closed
1006192,gerrit,0,[1011323],"[1006192, 1011323, 1022687]",[],Merge branch 'stable-3.5',closed
1006192,gerrit,0,[1011323],"[1006192, 1011323, 1022687]",[],Merge branch 'stable-3.4' into stable-3.5,closed
1006192,gerrit,5,[1011323],"[1006192, 1011323, 1022687]",['javatests/com/google/gerrit/git/BUILD'],Bazel: tag no_rbe //javatests/com/google/gerrit/git:medium_tests,closed
1010008,gitiles,263,"[1001240, 1128225]","[1001240, 1128225]","['gitiles-dev/pom.xml', 'gitiles-dev/src/main/java/com/google/gitiles/dev/DevServer.java', 'pom.xml', 'gitiles-dev/src/main/java/com/google/gitiles/dev/Main.java']",Add a dev module to run Gitiles from an embedded Jetty server,closed
1006192,gerrit,13,[1029953],"[1003935, 1006192, 1011323, 1022687, 1029953]",['java/com/google/gerrit/server/git/MultiProgressMonitor.java'],Merge branch 'stable-3.5',closed
1006192,gerrit,666,[1011323],"[1003935, 1006192, 1011323, 1012457, 1022687]","['tools/maven/gerrit-war_pom.xml', 'tools/maven/gerrit-extension-api_pom.xml', 'javatests/com/google/gerrit/acceptance/ssh/ElasticIndexIT.java', 'javatests/com/google/gerrit/elasticsearch/ElasticContainer.java', 'javatests/com/google/gerrit/elasticsearch/ElasticV7QueryProjectsTest.java', 'javatests/com/google/gerrit/elasticsearch/ElasticV7QueryChangesTest.java', 'tools/maven/gerrit-plugin-api_pom.xml', 'java/com/google/gerrit/server/git/MultiProgressMonitor.java', 'javatests/com/google/gerrit/elasticsearch/ElasticVersionTest.java', 'tools/maven/gerrit-acceptance-framework_pom.xml', 'java/com/google/gerrit/elasticsearch/ElasticVersion.java', 'javatests/com/google/gerrit/acceptance/pgm/ElasticReindexIT.java', 'javatests/com/google/gerrit/elasticsearch/ElasticV7QueryGroupsTest.java', 'javatests/com/google/gerrit/elasticsearch/ElasticV7QueryAccountsTest.java', 'version.bzl', 'java/com/google/gerrit/server/index/change/AllChangesIndexer.java']",Merge branch 'stable-3.4' into stable-3.5,closed
1011323,gerrit,12,"[1029953, 1006192]","[1006192, 1022687, 1029953]","['javatests/com/google/gerrit/integration/git/BUILD', 'javatests/com/google/gerrit/pgm/BUILD', 'Documentation/dev-bazel.txt', 'javatests/com/google/gerrit/server/BUILD']",Bazel: Add no_rbe tag to test rules that cannot be run on RBE,closed
1091982,gerrit,413,[1022687],[1022687],"['javatests/com/google/gerrit/integration/git/BUILD', 'javatests/com/google/gerrit/pgm/BUILD', 'Documentation/dev-bazel.txt', 'javatests/com/google/gerrit/server/BUILD']","IntraLine cache: Add version number, key and value serializers",new
1091982,gerrit,343,[1022687],[1022687],"['javatests/com/google/gerrit/integration/git/BUILD', 'javatests/com/google/gerrit/pgm/BUILD', 'Documentation/dev-bazel.txt', 'javatests/com/google/gerrit/server/BUILD']","DiffSummary cache: Add version number, key and value serializers",new
1014252,plugins/rename-project,0,[1083195],"[1003883, 1014252, 1083195, 1094198, 1105741, 1135623]",[],Merge branch 'stable-3.3' into master,closed
1014252,plugins/rename-project,6,"[1083195, 1127770, 1135623]","[1003883, 1014252, 1083195, 1094198, 1105741, 1127770, 1135623]","['src/main/java/com/googlesource/gerrit/plugins/renameproject/LockUnlockProject.java', 'src/test/java/com/googlesource/gerrit/plugins/renameproject/SubmoduleUtil.java']",Adjust to broken ProjectCache API,closed
1140732,plugins/rate-limiter,0,"[1127770, 1083195]","[1083195, 1094198, 1127770, 1140732]",[],Merge branch 'stable-3.2',closed
1011323,gerrit,2,[1003935],"[1003935, 1011323, 1022687]",['java/com/google/gerrit/server/util/RequestScopePropagator.java'],Fix UnnecessaryMethodReference bug pattern flagged by error prone,closed
1011323,gerrit,2,[1003935],"[1003935, 1011323, 1022687]",['java/com/google/gerrit/server/util/RequestScopePropagator.java'],"Fix ""Redundant specification of type arguments"" warning",closed
1011323,gerrit,24,[1003935],"[1003935, 1011323, 1022687]","['java/com/google/gerrit/entities/EmailHeader.java', 'java/com/google/gerrit/extensions/client/Comment.java', 'java/com/google/gerrit/entities/Comment.java', 'java/com/google/gerrit/server/account/externalids/ExternalId.java']",Fix ObjectEqualsForPrimitives bug pattern flagged by error prone,closed
1011323,gerrit,4,[1003935],"[1003935, 1011323, 1022687]",['java/com/google/gerrit/entities/PatchSet.java'],Fix InlineMeSuggester bug pattern flagged by error prone,closed
1011323,gerrit,4,[1003935],"[1003935, 1011323, 1022687]",['tools/nongoogle.bzl'],Bump error-prone annotations version to 2.10.0,closed
1011323,gerrit,13,[1003935],"[1003935, 1022687]","['java/com/google/gerrit/server/notedb/CommitRewriter.java', 'java/com/google/gerrit/server/submit/MergeOp.java', 'java/com/google/gerrit/httpd/auth/oauth/OAuthSession.java', 'java/com/google/gerrit/httpd/restapi/RestApiServlet.java']",Fix FloggerArgumentToString bug pattern flagged by error prone,closed
1011323,gerrit,5,[1003935],"[1003935, 1011323, 1022687, 1029953]",['tools/bzl/plugin.bzl'],Bazel: Adapt gerrit_plugin rule to removal of resource_jars attribute,closed
