Author;Project/Subproject;Reviewer;Change_Size;File Info;Subject;Closed At;status
1400464;getsentry/sentry;6288560;4;['src/sentry/api/endpoints/team_all_unresolved_issues.py', 'tests/sentry/api/endpoints/test_team_all_unresolved_issues.py', 'src/sentry/api/endpoints/team_all_unresolved_issues.py'];getsentry/sentry;2022-01-06T17:39:42Z;closed
1400464;getsentry/sentry;1421724;50;['static/app/views/organizationStats/teamInsights/teamAlertsTriggered.tsx', 'static/app/views/organizationStats/teamInsights/teamIssuesBreakdown.tsx', 'static/app/views/organizationStats/teamInsights/teamIssuesReviewed.tsx', 'static/app/views/organizationStats/teamInsights/teamMisery.tsx', 'static/app/views/organizationStats/teamInsights/teamReleases.tsx', 'static/app/views/organizationStats/teamInsights/teamStability.tsx', 'static/app/views/organizationStats/teamInsights/teamUnresolvedIssues.tsx', 'static/app/views/organizationStats/teamInsights/utils.tsx', 'package.json', 'src/sentry/api/endpoints/group_events_latest.py', 'src/sentry/api/endpoints/organization_events_trends.py', 'src/sentry/api/endpoints/sentry_app_details.py', 'src/sentry/api/endpoints/team_all_unresolved_issues.py', 'src/sentry/api/serializers/rest_framework/doc_integration.py', 'src/sentry/api/serializers/rest_framework/sentry_app.py', 'src/sentry/mediators/sentry_apps/updater.py', 'src/sentry/models/integrationfeature.py', 'src/sentry/rules/conditions/event_attribute.py', 'static/app/components/dashboards/widgetQueriesForm.tsx', 'static/app/components/forms/selectControl.tsx', 'static/app/components/forms/selectOption.tsx', 'static/app/components/stacktracePreview.tsx', 'static/app/routes.tsx', 'static/app/utils/analytics/dashboardsAnalyticsEvents.tsx', 'static/app/views/dashboardsV2/create.tsx', 'static/app/views/dashboardsV2/dashboard.tsx', 'static/app/views/dashboardsV2/data.tsx', 'static/app/views/dashboardsV2/detail.tsx', 'static/app/views/dashboardsV2/manage/index.tsx', 'static/app/views/dashboardsV2/manage/templateCard.tsx', 'static/app/views/organizationStats/teamInsights/overview.tsx', 'static/app/views/organizationStats/teamInsights/teamAlertsTriggered.tsx', 'static/app/views/organizationStats/teamInsights/teamIssuesAge.tsx', 'static/app/views/organizationStats/teamInsights/teamIssuesReviewed.tsx', 'static/app/views/organizationStats/teamInsights/teamMisery.tsx', 'static/app/views/organizationStats/teamInsights/teamReleases.tsx', 'static/app/views/organizationStats/teamInsights/teamStability.tsx', 'static/app/views/settings/components/settingsPageHeader.tsx', 'stylelint.config.js', 'tests/js/spec/components/forms/selectCreatableField.spec.jsx', 'tests/js/spec/views/dashboardsV2/detail.spec.jsx', 'tests/js/spec/views/dashboardsV2/gridLayout/detail.spec.jsx', 'tests/js/spec/views/organizationStats/teamInsights/teamMisery.spec.jsx', 'tests/js/spec/views/organizationStats/teamInsights/teamStability.spec.jsx', 'tests/js/spec/views/ruleBuilder.spec.jsx', 'tests/sentry/api/endpoints/test_group_events_latest.py', 'tests/sentry/api/endpoints/test_sentry_app_details.py', 'tests/sentry/api/endpoints/test_team_all_unresolved_issues.py', 'tests/sentry/rules/conditions/test_event_attribute.py', 'yarn.lock', 'static/app/views/organizationStats/teamInsights/styles.tsx', 'static/app/views/organizationStats/teamInsights/teamAlertsTriggered.tsx', 'static/app/views/organizationStats/teamInsights/teamIssuesBreakdown.tsx', 'static/app/views/organizationStats/teamInsights/teamIssuesReviewed.tsx', 'static/app/views/organizationStats/teamInsights/teamMisery.tsx', 'static/app/views/organizationStats/teamInsights/teamReleases.tsx', 'static/app/views/organizationStats/teamInsights/teamStability.tsx', 'static/app/views/organizationStats/teamInsights/teamUnresolvedIssues.tsx', 'static/app/views/organizationStats/teamInsights/utils.tsx'];getsentry/sentry;2022-01-07T18:07:01Z;closed
85517732;getsentry/sentry;10491193;30;['src/sentry/middleware/ratelimit.py', 'tests/sentry/middleware/test_ratelimit_middleware.py', 'src/sentry/middleware/ratelimit.py', 'src/sentry/ratelimits/base.py', 'src/sentry/ratelimits/redis.py', 'src/sentry/ratelimits/utils.py', 'src/sentry/types/ratelimit.py', 'tests/sentry/middleware/test_ratelimit_middleware.py', 'tests/sentry/ratelimits/test_redis.py', 'tests/sentry/ratelimits/utils/test_above_rate_limit_check.py', 'tests/sentry/middleware/test_ratelimit_middleware.py', 'src/sentry/ratelimits/redis.py', 'tests/sentry/middleware/test_ratelimit_middleware.py'];getsentry/sentry;2022-01-07T18:02:23Z;closed
837573;getsentry/raven-python;7396;11;['README.rst'];getsentry/raven-python;2021-01-18T21:40:04Z;closed
837573;getsentry/raven-python;7396;4;['.travis.yml', 'ci/runtox.sh', 'tox.ini', '.travis.yml', 'tox.ini', '.travis.yml', 'tox.ini', '.travis.yml'];getsentry/raven-python;2018-09-28T14:17:05Z;closed
1433023;getsentry/raven-node;7396;18;['docs/coffeescript.rst', 'docs/index.rst', 'docs/integrations/connect.rst', 'docs/integrations/koa.rst', 'docs/usage.rst'];getsentry/raven-node;2018-04-05T10:48:51Z;closed
1433023;getsentry/raven-node;1523305;18;['docs/coffeescript.rst', 'docs/index.rst', 'docs/integrations/connect.rst', 'docs/integrations/koa.rst', 'docs/usage.rst'];getsentry/raven-node;2018-04-05T10:48:51Z;closed
23610;getsentry/raven-node;79684;9;['LICENSE'];getsentry/raven-node;2018-01-31T18:10:55Z;closed
79684;getsentry/raven-node;1523305;2;['LICENSE', 'LICENSE'];getsentry/raven-node;2018-01-31T19:01:39Z;closed
1090754;getsentry/sentry-php;6729988;2;['composer.json', 'CHANGELOG.md'];getsentry/sentry-php;2021-07-03T16:49:43Z;closed
