Author;Project/Subproject;Reviewer;Change_Size;File Info;Subject;Closed At;status
1212885;h5bp/html5please;441011;1;['.travis.yml'];h5bp/html5please;2019-12-18T08:26:06Z;closed
1212885;h5bp/html5please;441011;2;['posts/webgl.md'];h5bp/html5please;2019-10-15T05:38:51Z;closed
49699333;h5bp/html5please;1212885;2;['package.json'];h5bp/html5please;2019-12-18T08:21:40Z;closed
1212885;h5bp/html5please;441011;2;['src/template.html'];h5bp/html5please;2019-09-13T14:48:54Z;closed
1212885;h5bp/h5bp.github.io;361421;111;['assets/jquery-3.4.0.min.js', 'assets/jquery-3.4.1.min.js', 'index.html'];h5bp/h5bp.github.io;2019-05-02T11:40:18Z;closed
1212885;h5bp/h5bp.github.io;361421;1;['index.html'];h5bp/h5bp.github.io;2019-03-11T14:39:54Z;closed
846943;h5bp/server-configs-apache;349621;220;['CHANGELOG.md', 'dist/.htaccess', 'package.json'];h5bp/server-configs-apache;2021-07-31T17:21:02Z;closed
846943;h5bp/server-configs-apache;349621;4;['h5bp/security/cross-origin-policy.conf', 'h5bp/security/permissions-policy.conf', 'h5bp/cross-origin/requests.conf', 'h5bp/security/content-security-policy.conf', 'bin/htaccess.conf', 'test/build/htaccess_fixture.conf'];h5bp/server-configs-apache;2021-06-24T01:00:15Z;closed
769871;h5bp/server-configs-apache;81942;12;['dist/.htaccess', 'h5bp/cross-origin/images.conf', 'h5bp/media_types/media_types.conf', 'h5bp/web_performance/cache_expiration.conf', 'h5bp/web_performance/filename-based_cache_busting.conf', 'dist/.htaccess', 'h5bp/cross-origin/images.conf', 'h5bp/media_types/media_types.conf', 'h5bp/web_performance/cache_expiration.conf', 'h5bp/web_performance/filename-based_cache_busting.conf'];h5bp/server-configs-apache;2020-11-17T22:16:29Z;closed
2526939;h5bp/server-configs-apache;349621;11;['h5bp/web_performance/pre-compressed_content_brotli.conf', 'h5bp/web_performance/pre-compressed_content_brotli.conf'];h5bp/server-configs-apache;2020-11-03T16:57:16Z;closed
1212885;h5bp/main.css;361421;5;['.github/dependabot.yml'];h5bp/main.css;2022-01-17T16:09:53Z;closed
361421;h5bp/main.css;1212885;7;['CHANGELOG.md'];h5bp/main.css;2021-12-04T03:32:35Z;closed
