Author;Project/Subproject;Reviewer;Change_Size;File Info;Subject;Status
1000083;core;1000083;16;['sw/source/core/unocore/unobkm.cxx'];core;closed
1003163;infra/bookshelf;1000006;74;['sw/source/core/unocore/unobkm.cxx'];infra/bookshelf;new
1003163;infra/bookshelf;1000059;74;['sw/source/core/unocore/unobkm.cxx'];infra/bookshelf;new
1000446;core;1000855;10;['sw/source/core/unocore/unobkm.cxx'];core;new
1000562;core;1000562;46;['RepositoryModule_host.mk', 'bridges/Library_cpp_uno.mk', 'jurt/Library_jpipe.mk', 'sal/CppunitTest_sal_osl.mk', 'solenv/gbuild/CppunitTest.mk', 'solenv/gbuild/Executable.mk', 'solenv/gbuild/Extension.mk', 'solenv/gbuild/Library.mk', 'solenv/gbuild/LinkTarget.mk', 'solenv/gbuild/StaticLibrary.mk', 'solenv/gbuild/TargetLocations.mk', 'solenv/gbuild/extensions/post_Fuzzers.mk', 'solenv/gbuild/platform/com_MSC_class.mk', 'solenv/gbuild/platform/macosx.mk'];core;closed
1000083;core;1000083;17;['sw/source/core/unocore/unoparagraph.cxx'];core;closed
1000083;core;1000083;33;['sw/source/core/unocore/unorefmk.cxx'];core;closed
1000083;core;1000083;16;['sw/source/core/unocore/unoidx.cxx'];core;closed
1000083;core;1000083;16;['sw/source/core/unocore/unoftn.cxx'];core;closed
1000446;core;1000855;316;['sw/source/core/unocore/unoftn.cxx'];core;new
1000865;core;1002181;22;['sw/source/core/unocore/unoftn.cxx'];core;new
1000135;core;1000321;1;['sw/uiconfig/swriter/ui/gotopagedialog.ui'];core;closed
1000562;core;1000855;87;['sw/uiconfig/swriter/ui/gotopagedialog.ui'];core;new
1000562;core;1003375;87;['sw/uiconfig/swriter/ui/gotopagedialog.ui'];core;new
1000135;core;1000135;2;['cui/source/factory/dlgfact.hxx'];core;closed
1000059;help;1000023;9;['source/text/scalc/01/04060185.xhp', 'source/text/scalc/01/common_func.xhp'];help;closed
1000059;help;1000059;9;['source/text/scalc/01/04060185.xhp', 'source/text/scalc/01/common_func.xhp'];help;closed
1000135;core;1000321;1;['sw/uiconfig/swriter/ui/gotopagedialog.ui'];core;closed
1000562;core;1000179;1;['sw/uiconfig/swriter/ui/gotopagedialog.ui'];core;new
1000562;core;1000855;1;['sw/uiconfig/swriter/ui/gotopagedialog.ui'];core;new
1000562;core;1000027;1;['sw/uiconfig/swriter/ui/gotopagedialog.ui'];core;new
1000562;core;1001432;1;['sw/uiconfig/swriter/ui/gotopagedialog.ui'];core;new
1000043;core;1000135;1;['sw/uiconfig/swriter/ui/gotopagedialog.ui'];core;closed
1002115;core;1000855;17;['sw/uiconfig/swriter/ui/gotopagedialog.ui'];core;new
1002115;core;1000023;17;['sw/uiconfig/swriter/ui/gotopagedialog.ui'];core;new
1000179;core;1000179;53;['sc/qa/uitest/calc_tests3/tdf114995.py'];core;closed
1000083;core;1000083;102;['chart2/source/view/axes/VCartesianGrid.cxx', 'chart2/source/view/inc/ShapeFactory.hxx', 'chart2/source/view/main/ShapeFactory.cxx'];core;closed
1000083;core;1000083;154;['chart2/source/view/axes/VCartesianAxis.cxx', 'chart2/source/view/axes/VCartesianGrid.cxx', 'chart2/source/view/axes/VPolarAngleAxis.cxx', 'chart2/source/view/axes/VPolarGrid.cxx', 'chart2/source/view/charttypes/AreaChart.cxx', 'chart2/source/view/charttypes/BarChart.cxx', 'chart2/source/view/charttypes/CandleStickChart.cxx', 'chart2/source/view/charttypes/NetChart.cxx', 'chart2/source/view/charttypes/PieChart.cxx', 'chart2/source/view/charttypes/VSeriesPlotter.cxx', 'chart2/source/view/inc/ShapeFactory.hxx', 'chart2/source/view/main/ShapeFactory.cxx', 'chart2/source/view/main/VLegendSymbolFactory.cxx', 'chart2/source/view/inc/VSeriesPlotter.hxx'];core;closed
1000043;core;1001872;2;['icon-themes/elementary/links.txt'];core;closed
1000043;core;1000043;2;['icon-themes/elementary/links.txt'];core;closed
1002951;core;1000994;97;['icon-themes/elementary/links.txt'];core;new
1002951;core;1000855;97;['icon-themes/elementary/links.txt'];core;new
1003163;infra/bookshelf;1000059;15;['static/guideposition.css'];infra/bookshelf;closed
1003163;infra/bookshelf;1000059;3;['static/guideformats.css'];infra/bookshelf;closed
1002115;core;1000855;2;['static/guideformats.css'];core;new
1002115;core;1000023;2;['static/guideformats.css'];core;new
1003025;core;1001318;1;['static/guideformats.css'];core;new
1003025;core;1001613;1;['static/guideformats.css'];core;new
1003327;core;1002951;12;['cui/source/tabpages/swpossizetabpage.cxx'];core;closed
1000166;core;1000855;77;['cui/source/tabpages/swpossizetabpage.cxx'];core;new
1000166;core;1000023;77;['cui/source/tabpages/swpossizetabpage.cxx'];core;new
1000166;core;1000030;77;['cui/source/tabpages/swpossizetabpage.cxx'];core;new
1000179;core;1000179;82;['sc/qa/uitest/calc_tests3/tdf127484.py', 'sc/qa/uitest/data/tdf127484.html'];core;closed
1003374;core;1001264;15;['sc/qa/uitest/calc_tests3/tdf127484.py', 'sc/qa/uitest/data/tdf127484.html'];core;new
1003374;core;1000855;15;['sc/qa/uitest/calc_tests3/tdf127484.py', 'sc/qa/uitest/data/tdf127484.html'];core;new
1003374;core;1002951;15;['sc/qa/uitest/calc_tests3/tdf127484.py', 'sc/qa/uitest/data/tdf127484.html'];core;new
1000295;core;1000855;4;['sc/qa/uitest/calc_tests3/tdf127484.py', 'sc/qa/uitest/data/tdf127484.html'];core;new
1000295;core;1000855;253;['sc/qa/uitest/calc_tests3/tdf127484.py', 'sc/qa/uitest/data/tdf127484.html'];core;new
1000059;help;1000059;35;['source/text/swriter/01/04090003.xhp'];help;closed
1000295;core;1000855;20;['source/text/swriter/01/04090003.xhp'];core;new
1000179;core;1000179;3;['sc/qa/uitest/calc_tests3/tdf95217.py'];core;closed
1000994;core;1000994;41;['vcl/win/gdi/salnativewidgets-luna.cxx'];core;closed
1000880;core;1000855;56;['vcl/win/gdi/salnativewidgets-luna.cxx'];core;new
1000083;core;1000083;35;['chart2/source/view/charttypes/AreaChart.cxx', 'chart2/source/view/charttypes/NetChart.cxx', 'chart2/source/view/inc/ShapeFactory.hxx', 'chart2/source/view/main/ShapeFactory.cxx', 'chart2/source/view/main/VLegendSymbolFactory.cxx', 'include/svx/unoshape.hxx'];core;closed
1000179;core;1000179;73;['sc/qa/uitest/calc_tests3/tdf146048.py', 'sc/qa/uitest/calc_tests3/tdf95217.py', 'sc/qa/uitest/data/tdf146048.html', 'uitest/uitest/test.py'];core;closed
1000154;core;1000154;501;['vcl/headless/CairoCommon.cxx', 'vcl/headless/SvpGraphicsBackend.cxx', 'vcl/headless/svpgdi.cxx', 'vcl/inc/headless/CairoCommon.hxx', 'vcl/inc/headless/svpgdi.hxx'];core;closed
1000154;core;1000154;125;['vcl/headless/CairoCommon.cxx', 'vcl/headless/SvpGraphicsBackend.cxx', 'vcl/headless/svpgdi.cxx', 'vcl/inc/headless/CairoCommon.hxx', 'vcl/inc/headless/svpgdi.hxx'];core;closed
1000154;core;1000154;104;['vcl/headless/CairoCommon.cxx', 'vcl/headless/svpgdi.cxx', 'vcl/inc/headless/CairoCommon.hxx', 'vcl/inc/headless/svpgdi.hxx', 'vcl/unx/generic/gdi/salgdi.cxx'];core;closed
1001124;core;1001124;295;['include/svx/framelinkarray.hxx', 'svx/source/dialog/framelinkarray.cxx'];core;closed
1000562;core;1000562;22;['RepositoryExternal.mk', 'config_host.mk.in', 'config_host/config_eot.h.in', 'configure.ac', 'vcl/source/gdi/embeddedfontshelper.cxx', 'vcl/source/gdi/pdfwriter_impl.cxx'];core;closed
1003497;core;1002951;8;['drawinglayer/source/primitive2d/animatedprimitive2d.cxx', 'drawinglayer/source/primitive2d/markerarrayprimitive2d.cxx'];core;closed
1000083;core;1000083;97;['chart2/source/view/charttypes/AreaChart.cxx', 'chart2/source/view/diagram/VDiagram.cxx', 'chart2/source/view/inc/ShapeFactory.hxx', 'chart2/source/view/main/ShapeFactory.cxx', 'include/svx/unoshape.hxx', 'chart2/source/view/charttypes/BarChart.cxx', 'chart2/source/view/charttypes/BarChart.hxx'];core;closed
1000083;core;1000083;44;['chart2/source/view/charttypes/PieChart.cxx', 'chart2/source/view/inc/ShapeFactory.hxx', 'chart2/source/view/main/ShapeFactory.cxx'];core;closed
1000083;core;1000083;104;['chart2/source/view/charttypes/BarChart.cxx', 'chart2/source/view/inc/ShapeFactory.hxx', 'chart2/source/view/main/ShapeFactory.cxx', 'include/svx/unoshape.hxx'];core;closed
1000043;core;1000084;7;['connectivity/source/drivers/firebird/DatabaseMetaData.cxx'];core;closed
1000043;core;1000043;7;['connectivity/source/drivers/firebird/DatabaseMetaData.cxx'];core;closed
1000083;core;1000083;93;['chart2/source/view/axes/VCoordinateSystem.cxx', 'chart2/source/view/diagram/VDiagram.cxx', 'chart2/source/view/inc/ShapeFactory.hxx', 'chart2/source/view/main/PlotterBase.cxx', 'chart2/source/view/main/ShapeFactory.cxx', 'include/svx/unoshape.hxx'];core;closed
1000083;core;1000083;309;['chart2/source/view/axes/VCartesianAxis.cxx', 'chart2/source/view/axes/VPolarAngleAxis.cxx', 'chart2/source/view/charttypes/AreaChart.cxx', 'chart2/source/view/charttypes/BarChart.cxx', 'chart2/source/view/charttypes/BubbleChart.cxx', 'chart2/source/view/charttypes/NetChart.cxx', 'chart2/source/view/charttypes/PieChart.cxx', 'chart2/source/view/inc/LabelPositionHelper.hxx', 'chart2/source/view/inc/PlottingPositionHelper.hxx', 'chart2/source/view/inc/PolarLabelPositionHelper.hxx', 'chart2/source/view/inc/ShapeFactory.hxx', 'chart2/source/view/main/LabelPositionHelper.cxx', 'chart2/source/view/main/PlottingPositionHelper.cxx', 'chart2/source/view/main/PolarLabelPositionHelper.cxx', 'chart2/source/view/main/ShapeFactory.cxx', 'include/svx/unoshape.hxx'];core;closed
