Author;Project/Subproject;Reviewer;Change_Size;File Info;Subject;Status
1001625;osm/devops;1002507;4;['installers/charm/mysqld-exporter/src/charm.py'];osm/devops;closed
1001625;osm/devops;1002001;4;['installers/charm/mysqld-exporter/src/charm.py'];osm/devops;closed
1001624;osm/devops;1002001;4;['docker/RO/Dockerfile'];osm/devops;closed
1001624;osm/devops;1002001;4;['docker/RO/Dockerfile'];osm/devops;closed
1001624;osm/devops;1002001;4;['docker/RO/Dockerfile'];osm/devops;closed
1000057;osm/devops;1000074;4;['installers/full_install_osm.sh'];osm/devops;closed
1000057;osm/devops;1000057;4;['installers/full_install_osm.sh'];osm/devops;closed
1000057;osm/NBI;1000057;6;['osm_nbi/validation.py'];osm/NBI;closed
1000057;osm/NBI;1000057;6;['osm_nbi/validation.py'];osm/NBI;closed
1000057;osm/NBI;1000057;6;['osm_nbi/validation.py'];osm/NBI;closed
1002001;osm/devops;1001624;94;['installers/charmed_install.sh'];osm/devops;closed
1002001;osm/devops;1002001;94;['installers/charmed_install.sh'];osm/devops;closed
1002001;osm/devops;1001624;6;['installers/charmed_install.sh', 'installers/full_install_osm.sh'];osm/devops;closed
1002001;osm/devops;1002001;6;['installers/charmed_install.sh', 'installers/full_install_osm.sh'];osm/devops;closed
1002001;osm/devops;1001624;36;['installers/full_install_osm.sh'];osm/devops;closed
1002001;osm/devops;1002001;36;['installers/full_install_osm.sh'];osm/devops;closed
1000057;osm/devops;1002001;4;['installers/full_install_osm.sh'];osm/devops;closed
1002455;osm/devops;1002001;5;['tools/local-build.sh'];osm/devops;closed
1002455;osm/tests;1002001;30;['conformance-tests/requirements.txt', 'robot-systest/run_test.sh'];osm/tests;closed
1002002;osm/MON;1002002;112;['osm_mon/collector/vnf_collectors/juju.py'];osm/MON;closed
1002002;osm/POL;1002002;8;['docker/Dockerfile'];osm/POL;closed
1002002;osm/POL;1002002;8;['docker/Dockerfile'];osm/POL;closed
1002072;osm/POL;1002410;8;['docker/Dockerfile'];osm/POL;closed
1002072;osm/POL;1002002;8;['docker/Dockerfile'];osm/POL;closed
1001993;osm/MON;1001624;112;['osm_mon/collector/vnf_collectors/juju.py'];osm/MON;closed
1001993;osm/MON;1002002;112;['osm_mon/collector/vnf_collectors/juju.py'];osm/MON;closed
1001993;osm/MON;1002272;112;['osm_mon/collector/vnf_collectors/juju.py'];osm/MON;closed
1002002;osm/MON;1002507;112;['osm_mon/collector/vnf_collectors/juju.py'];osm/MON;closed
1002002;osm/MON;1002002;112;['osm_mon/collector/vnf_collectors/juju.py'];osm/MON;closed
1001624;osm/RO;1002507;451;['NG-RO/osm_ng_ro/ns.py', 'NG-RO/osm_ng_ro/tests/test_ns.py', 'releasenotes/notes/extracting_process_net_params-14ef4638caeb5f4c.yaml'];osm/RO;closed
1001624;osm/RO;1001624;451;['NG-RO/osm_ng_ro/ns.py', 'NG-RO/osm_ng_ro/tests/test_ns.py', 'releasenotes/notes/extracting_process_net_params-14ef4638caeb5f4c.yaml'];osm/RO;closed
1001624;osm/RO;1001624;295;['NG-RO/osm_ng_ro/ns.py', 'NG-RO/osm_ng_ro/tests/test_ns.py', 'releasenotes/notes/extracting_ip_profile_to_ro-974d5bbf91cb2c76.yaml'];osm/RO;closed
1001624;osm/RO;1002001;295;['NG-RO/osm_ng_ro/ns.py', 'NG-RO/osm_ng_ro/tests/test_ns.py', 'releasenotes/notes/extracting_ip_profile_to_ro-974d5bbf91cb2c76.yaml'];osm/RO;closed
1001624;osm/devops;1000638;133;['NG-RO/osm_ng_ro/ns.py', 'NG-RO/osm_ng_ro/tests/test_ns.py', 'releasenotes/notes/extracting_ip_profile_to_ro-974d5bbf91cb2c76.yaml'];osm/devops;new
