Author,Project/Subproject,Change_Size,Final Reviewers,All Reviewers,File Info,Subject,Status
1001625,osm/devops,4,"[1002507, 1002001]","[1000001, 1000057, 1000638, 1001609, 1001624, 1001788, 1002001, 1002002, 1002083, 1002168, 1002172, 1002507]",['installers/charm/mysqld-exporter/src/charm.py'],Fix bug 1833: fix DATA_SOURCE_NAME in mysqld-exporter,closed
1001624,osm/devops,4,[1002001],"[1000001, 1000057, 1000638, 1001609, 1001625, 1001788, 1002001, 1002002, 1002083, 1002168, 1002172]",['docker/RO/Dockerfile'],Removing Fog05 VIM RO Plugin,closed
1001624,osm/devops,4,[1002001],"[1000001, 1000057, 1000638, 1001609, 1001624, 1001625, 1001788, 1002001, 1002002, 1002083, 1002168, 1002172]",['docker/RO/Dockerfile'],Removing Fog05 VIM RO Plugin,closed
1001624,osm/devops,4,[1002001],"[1000001, 1000057, 1000638, 1001609, 1001624, 1001625, 1001788, 1002001, 1002002, 1002083, 1002168, 1002172]",['docker/RO/Dockerfile'],Removing Fog05 VIM RO Plugin,closed
1000057,osm/devops,4,"[1000074, 1000057]","[1000001, 1000057, 1000074, 1000638, 1001609, 1001624, 1001625, 1001788, 1002002, 1002083, 1002168, 1002172]",['installers/full_install_osm.sh'],Fix bug 1818 to report correctly osm_unhealthy,closed
1000057,osm/NBI,6,[1000057],"[1000001, 1000057, 1001624, 1002001]",['osm_nbi/validation.py'],Fix bug 1280 to support IPv6 schema for PDU IP address,closed
1000057,osm/NBI,6,[1000057],"[1000001, 1000057]",['osm_nbi/validation.py'],Fix bug 1816 to support IPv6 schema for PDU IP address,closed
1000057,osm/NBI,6,[1000057],"[1000001, 1000057, 1002001]",['osm_nbi/validation.py'],Fix bug 1723 to support IPv6 schema for PDU IP address,closed
1002001,osm/devops,94,"[1001624, 1002001]","[1000001, 1001624, 1002001]",['installers/charmed_install.sh'],Bug 1648: Update Microstack Installation,closed
1002001,osm/devops,6,"[1001624, 1002001]","[1000001, 1000057, 1000638, 1001609, 1001624, 1001625, 1001788, 1002001, 1002002, 1002083, 1002168, 1002172]","['installers/charmed_install.sh', 'installers/full_install_osm.sh']",Bug 1530: Limit IP addresses,closed
1002001,osm/devops,36,"[1001624, 1002001]","[1000001, 1000057, 1000638, 1001609, 1001624, 1001625, 1001788, 1002001, 1002002, 1002083, 1002168, 1002172]",['installers/full_install_osm.sh'],Bug 1531: Check for packages,closed
1000057,osm/devops,4,[1002001],"[1000001, 1000638, 1001609, 1001624, 1001625, 1001788, 1002001, 1002002, 1002083, 1002168, 1002172]",['installers/full_install_osm.sh'],Fix bug 1819 to report correctly osm_unhealthy,closed
1002455,osm/devops,5,[1002001],"[1000001, 1000057, 1000638, 1001609, 1001624, 1001625, 1001788, 1002001, 1002002, 1002083, 1002168, 1002172]",['tools/local-build.sh'],Reports now available on qhttpd server,closed
1002455,osm/tests,30,[1002001],"[1000001, 1000057, 1000638, 1001609, 1001624, 1001625, 1001788, 1002001, 1002002, 1002083, 1002168, 1002172]","['conformance-tests/requirements.txt', 'robot-systest/run_test.sh']",Quick fix of pip dependencies,closed
1002002,osm/MON,112,[1002002],"[1000001, 1001993, 1002002]",['osm_mon/collector/vnf_collectors/juju.py'],Bug 1651 fix,closed
1002002,osm/POL,8,[1002002],"[1000001, 1002002]",['docker/Dockerfile'],Resolved Bug 1728 - Dockerfile not working when local building,closed
1002002,osm/POL,8,[1002002],"[1000001, 1002002]",['docker/Dockerfile'],Resolved Bug 1728 - Dockerfile not working when local building,closed
1002072,osm/POL,8,"[1002410, 1002002]","[1000001, 1002002, 1002410]",['docker/Dockerfile'],Resolved Bug 1728 - Dockerfile not working when local building,closed
1001993,osm/MON,112,"[1001624, 1002002, 1002272]","[1000001, 1001624, 1002002, 1002272]",['osm_mon/collector/vnf_collectors/juju.py'],Bug 1651 fix,closed
1002002,osm/MON,112,"[1002507, 1002002]","[1000001, 1001993, 1002002, 1002507]",['osm_mon/collector/vnf_collectors/juju.py'],Bug 1651 fix,closed
1001624,osm/RO,451,"[1002507, 1001624]","[1000001, 1001624, 1002507]","['NG-RO/osm_ng_ro/ns.py', 'NG-RO/osm_ng_ro/tests/test_ns.py', 'releasenotes/notes/extracting_process_net_params-14ef4638caeb5f4c.yaml']",Extracting Ns._process_net_params() and creating unit test,closed
