Author;Project/Subproject;Reviewer;Change_Size;File Info;Subject;Closed At;status
392720;nix-community/pypi2nix;4805746;2;['src/pypi2nix/python_version.py'];nix-community/pypi2nix;2020-01-18T16:20:15Z;closed
3507;nix-community/bundix;143982;14;['lib/bundix.rb', 'test/bundix.rb', 'test/data/path with space/gemset.nix'];nix-community/bundix;2019-05-01T12:53:58Z;closed
3507;nix-community/bundix;3248;2;['lib/bundix/source.rb'];nix-community/bundix;2019-04-05T16:29:39Z;closed
3507;nix-community/bundix;143982;2;['lib/bundix/source.rb'];nix-community/bundix;2019-04-05T16:29:39Z;closed
3507;nix-community/bundix;2768870;2;['lib/bundix/source.rb'];nix-community/bundix;2019-04-05T16:29:39Z;closed
124475;nix-community/home-manager;798147;9;['modules/programs/skim.nix'];nix-community/home-manager;2022-01-09T03:53:50Z;closed
510553;nix-community/home-manager;798147;184;['.github/CODEOWNERS', 'modules/misc/news.nix', 'modules/modules.nix', 'modules/services/swayidle.nix', 'tests/default.nix', 'tests/modules/services/swayidle/basic-configuration.nix', 'tests/modules/services/swayidle/default.nix'];nix-community/home-manager;2022-01-03T19:03:20Z;closed
1607653;nix-community/home-manager;798147;6;['home-manager/po/es.po', 'modules/po/es.po', 'home-manager/po/es.po', 'home-manager/po/fr.po', 'home-manager/po/nb_NO.po', 'home-manager/po/pl.po', 'home-manager/po/ru.po', 'home-manager/po/sv.po', 'home-manager/po/zh_Hans.po', 'home-manager/po/zh_Hant.po', 'modules/po/es.po', 'modules/po/fr.po', 'modules/po/nb_NO.po', 'modules/po/pl.po', 'modules/po/ru.po', 'modules/po/sv.po', 'modules/po/zh_Hans.po', 'modules/po/zh_Hant.po', 'modules/po/sv.po', 'modules/po/nb_NO.po', 'modules/po/zh_Hans.po'];nix-community/home-manager;2022-01-06T08:58:48Z;closed
10353047;nix-community/home-manager;798147;19;['modules/programs/bash.nix', 'tests/modules/programs/bash/logout.nix', 'tests/modules/programs/bash/session-variables.nix'];nix-community/home-manager;2022-01-01T17:06:56Z;closed
6264882;nix-community/home-manager;798147;2;['modules/programs/alacritty.nix'];nix-community/home-manager;2021-12-29T08:48:55Z;closed
1607653;nix-community/home-manager;798147;213;['home-manager/po/zh_Hans.po', 'home-manager/po/zh_Hant.po', 'modules/po/pl.po', 'modules/po/zh_Hans.po', 'modules/po/zh_Hant.po', 'home-manager/po/zh_Hant.po', 'modules/po/zh_Hans.po', 'modules/po/zh_Hant.po', 'home-manager/po/pl.po', 'modules/po/pl.po'];nix-community/home-manager;2021-12-30T23:38:05Z;closed
798147;nix-community/home-manager;16734772;34;['modules/programs/hexchat.nix', 'modules/programs/lf.nix', 'modules/programs/mbsync.nix', 'modules/programs/neovim.nix', 'modules/programs/vim.nix', 'modules/services/fnott.nix', 'modules/services/window-managers/i3-sway/lib/functions.nix'];nix-community/home-manager;2021-12-27T23:02:29Z;closed
782440;nix-community/home-manager;798147;12;['modules/misc/xdg-desktop-entries.nix', 'modules/lib/maintainers.nix', 'modules/programs/broot.nix', 'modules/programs/exa.nix', 'modules/programs/lazygit.nix', '.github/CODEOWNERS', 'modules/programs/hexchat.nix', 'modules/programs/htop.nix', 'modules/programs/ncmpcpp.nix', 'modules/lib/maintainers.nix', 'modules/programs/xmobar.nix', 'modules/lib/maintainers.nix', 'modules/services/kanshi.nix', 'modules/lib/maintainers.nix', 'modules/services/pasystray.nix', 'modules/services/status-notifier-watcher.nix', 'modules/services/playerctld.nix', 'modules/services/trayer.nix', 'modules/services/wlsunset.nix', '.github/workflows/test.yml', 'default.nix', 'docs/default.nix'];nix-community/home-manager;2021-12-29T09:40:18Z;closed
782440;nix-community/home-manager;798147;4;['.github/CODEOWNERS', 'modules/misc/dconf.nix'];nix-community/home-manager;2021-12-25T07:28:37Z;closed
757752;nix-community/home-manager;798147;19;['modules/misc/gtk.nix'];nix-community/home-manager;2021-12-21T19:55:44Z;closed
1607653;nix-community/home-manager;798147;22;['home-manager/po/ru.po', 'modules/po/ru.po', 'modules/po/ru.po'];nix-community/home-manager;2021-12-25T00:21:17Z;closed
1607653;nix-community/home-manager;798147;25;['home-manager/po/fr.po'];nix-community/home-manager;2021-12-20T21:34:47Z;closed
1607653;nix-community/home-manager;798147;21;['home-manager/po/sv.po'];nix-community/home-manager;2021-12-17T22:54:49Z;closed
4323933;nix-community/home-manager;798147;28;['modules/programs/gpg.nix', 'tests/modules/programs/gpg/immutable-keyfiles.nix'];nix-community/home-manager;2021-12-16T18:21:44Z;closed
16734772;nix-community/home-manager;17208985;43;['modules/services/window-managers/i3-sway/sway.nix', 'tests/modules/services/window-managers/sway/default.nix', 'tests/modules/services/window-managers/sway/sway-bar-focused-colors.conf', 'tests/modules/services/window-managers/sway/sway-bindkeys-to-code.conf', 'tests/modules/services/window-managers/sway/sway-default.conf', 'tests/modules/services/window-managers/sway/sway-followmouse-expected.conf', 'tests/modules/services/window-managers/sway/sway-followmouse-legacy-expected.conf', 'tests/modules/services/window-managers/sway/sway-modules.conf', 'tests/modules/services/window-managers/sway/sway-no-xwayland.nix', 'tests/modules/services/window-managers/sway/sway-null-config.nix', 'tests/modules/services/window-managers/sway/sway-null-package.conf', 'tests/modules/services/window-managers/sway/sway-workspace-default-expected.conf', 'tests/modules/services/window-managers/sway/sway-workspace-output-expected.conf'];nix-community/home-manager;2021-12-16T08:56:03Z;closed
1607653;nix-community/home-manager;798147;21;['home-manager/po/fr.po', 'home-manager/po/sv.po', 'home-manager/po/fr.po', 'modules/po/fr.po'];nix-community/home-manager;2021-12-16T17:36:28Z;closed
1607653;nix-community/home-manager;798147;41;['home-manager/po/fr.po', 'modules/po/fr.po'];nix-community/home-manager;2021-12-14T07:55:13Z;closed
1607653;nix-community/home-manager;798147;18;['home-manager/po/sv.po'];nix-community/home-manager;2021-12-13T23:18:28Z;closed
3612514;nix-community/home-manager;798147;277;['.github/CODEOWNERS', 'modules/misc/news.nix', 'modules/modules.nix', 'modules/services/window-managers/herbstluftwm.nix', 'tests/default.nix', 'tests/modules/services/window-managers/herbstluftwm/autostart', 'tests/modules/services/window-managers/herbstluftwm/default.nix', 'tests/modules/services/window-managers/herbstluftwm/herbstluftwm-simple-config.nix'];nix-community/home-manager;2021-12-31T10:01:24Z;closed
1607653;nix-community/home-manager;798147;133;['home-manager/default.nix', 'home-manager/home-manager', 'home-manager/po/home-manager.pot', 'home-manager/po/sv.po', 'lib/bash/color-echo', 'lib/bash/home-manager.sh', 'modules/files.nix', 'modules/home-environment.nix', 'modules/lib-bash/activation-init.sh', 'modules/po/hm-modules.pot', 'modules/po/sv.po', 'xgettext', 'modules/po/nb_NO.po', 'home-manager/po/nb_NO.po'];nix-community/home-manager;2021-12-13T20:49:48Z;closed
81340136;nix-community/home-manager;798147;60;['docs/man-home-manager.xml', 'modules/misc/gtk.nix', 'modules/programs/alacritty.nix', 'modules/programs/atuin.nix', 'modules/programs/beets.nix', 'modules/programs/direnv.nix', 'modules/programs/hexchat.nix', 'modules/programs/htop.nix', 'modules/programs/kakoune.nix', 'modules/programs/kitty.nix', 'modules/programs/lazygit.nix', 'modules/programs/lsd.nix', 'modules/programs/mangohud.nix', 'modules/programs/mpv.nix', 'modules/programs/ncspot.nix', 'modules/programs/noti.nix', 'modules/programs/nushell.nix', 'modules/programs/rtorrent.nix', 'modules/programs/sm64ex.nix', 'modules/programs/starship.nix', 'modules/programs/topgrade.nix', 'modules/services/grobi.nix'];nix-community/home-manager;2021-12-10T23:10:24Z;closed
65531;nix-community/home-manager;16734772;92;['.github/CODEOWNERS', 'modules/misc/news.nix', 'modules/modules.nix', 'modules/programs/navi.nix'];nix-community/home-manager;2021-12-11T11:56:37Z;closed
