Author;Project/Subproject;Reviewer;Change_Size;File Info;Subject;Status
5562;sdc/sdc-helm-validator;6310;8;['releases/1.3.0-container.yaml'];sdc/sdc-helm-validator;closed
5072;ccsdk/oran;87;346;['docs/offeredapis/swagger/pms-api.json', 'docs/offeredapis/swagger/pms-api.yaml'];ccsdk/oran;closed
5275;vfc/nfvo/lcm;39;234;['lcm/ns/biz/create_subscription.py', 'lcm/ns/biz/ns_create.py', 'lcm/ns/biz/ns_delete.py', 'lcm/ns/biz/ns_get.py', 'lcm/ns/biz/ns_heal.py', 'lcm/ns/biz/ns_instant.py', 'lcm/ns/biz/ns_manual_scale.py', 'lcm/ns/biz/ns_terminate.py', 'lcm/ns/biz/ns_update.py', 'lcm/ns/biz/query_subscription.py', 'lcm/ns/views/sol/heal_ns_view.py'];vfc/nfvo/lcm;closed
3759;modeling/modelspec;4093;212;['docs/ONAP Model Spec/im/Runtime/K8sResource.png', 'docs/ONAP Model Spec/im/Runtime/K8sResource.rst', 'docs/ONAP Model Spec/im/index.rst', 'docs/Release-notes/release-notes.rst'];modeling/modelspec;closed
3759;modeling/modelspec;4093;212;['docs/ONAP Model Spec/im/Runtime/K8sResource.png', 'docs/ONAP Model Spec/im/Runtime/K8sResource.rst', 'docs/ONAP Model Spec/im/index.rst', 'docs/Release-notes/release-notes.rst'];modeling/modelspec;closed
3759;modeling/modelspec;3759;212;['docs/ONAP Model Spec/im/Runtime/K8sResource.png', 'docs/ONAP Model Spec/im/Runtime/K8sResource.rst', 'docs/ONAP Model Spec/im/index.rst', 'docs/Release-notes/release-notes.rst'];modeling/modelspec;closed
3091;doc;269;32;['.readthedocs.yaml', 'docs/index.rst', 'etc/requirements-docs.txt', 'examples/sphinx/README.md', 'tox.ini'];doc;closed
3759;modeling/modelspec;4093;23;['docs/conf.py', 'docs/requirements-docs.txt', 'docs/tox.ini'];modeling/modelspec;closed
3759;modeling/modelspec;3091;23;['docs/conf.py', 'docs/requirements-docs.txt', 'docs/tox.ini'];modeling/modelspec;closed
5275;modeling/etsicatalog;1809;157;['catalog/packages/biz/sdc_ns_package.py', 'catalog/packages/const.py', 'catalog/packages/views/health_check_views.py', 'catalog/packages/views/ns_descriptor_views.py', 'catalog/packages/views/nsdm_subscription_views.py', 'catalog/packages/views/vnf_package_artifact_views.py', 'catalog/packages/views/vnf_package_subscription_views.py', 'catalog/packages/views/vnf_package_views.py', 'catalog/pub/utils/fileutil.py'];modeling/etsicatalog;closed
5275;vfc/nfvo/lcm;2363;163;['lcm/ns/views/deprecated/create_ns_view.py', 'lcm/ns/views/deprecated/get_del_ns_view.py', 'lcm/ns/views/deprecated/heal_ns_view.py', 'lcm/ns/views/deprecated/inst_ns_view.py', 'lcm/ns/views/deprecated/scale_ns_views.py', 'lcm/ns/views/deprecated/term_ns_view.py', 'lcm/ns/views/deprecated/update_ns_view.py', 'lcm/ns/views/sol/heal_ns_view.py', 'lcm/ns/views/sol/instantiate_ns_views.py', 'lcm/ns/views/sol/lcm_op_occs_view.py', 'lcm/ns/views/sol/ns_instances_views.py', 'lcm/ns/views/sol/scale_ns_views.py', 'lcm/ns/views/sol/subscriptions_view.py', 'lcm/ns/views/sol/terminate_ns_view.py', 'lcm/ns/views/sol/update_ns_view.py'];vfc/nfvo/lcm;closed
6891;modeling/modelspec;4093;2901;['ONAP_Information_Model/Common.notation', 'ONAP_Information_Model/License.notation', 'ONAP_Information_Model/Nf.notation', 'ONAP_Information_Model/Ns.notation', 'ONAP_Information_Model/OpenModel_Profile.profile.notation', 'ONAP_Information_Model/Resource.notation', 'ONAP_Information_Model/Service.di', 'ONAP_Information_Model/Service.notation', 'ONAP_Information_Model/Vnf.notation', 'ONAP_Information_Model/Vnf.uml', 'ONAP_Information_Model/Common.di', 'ONAP_Information_Model/License.di', 'ONAP_Information_Model/Nf.di', 'ONAP_Information_Model/Ns.di', 'ONAP_Information_Model/OpenModel_Profile.profile.di', 'ONAP_Information_Model/Resource.di'];modeling/modelspec;closed
6891;modeling/modelspec;3759;2901;['ONAP_Information_Model/Common.notation', 'ONAP_Information_Model/License.notation', 'ONAP_Information_Model/Nf.notation', 'ONAP_Information_Model/Ns.notation', 'ONAP_Information_Model/OpenModel_Profile.profile.notation', 'ONAP_Information_Model/Resource.notation', 'ONAP_Information_Model/Service.di', 'ONAP_Information_Model/Service.notation', 'ONAP_Information_Model/Vnf.notation', 'ONAP_Information_Model/Vnf.uml', 'ONAP_Information_Model/Common.di', 'ONAP_Information_Model/License.di', 'ONAP_Information_Model/Nf.di', 'ONAP_Information_Model/Ns.di', 'ONAP_Information_Model/OpenModel_Profile.profile.di', 'ONAP_Information_Model/Resource.di'];modeling/modelspec;closed
6891;modeling/modelspec;2085;2901;['ONAP_Information_Model/Common.notation', 'ONAP_Information_Model/License.notation', 'ONAP_Information_Model/Nf.notation', 'ONAP_Information_Model/Ns.notation', 'ONAP_Information_Model/OpenModel_Profile.profile.notation', 'ONAP_Information_Model/Resource.notation', 'ONAP_Information_Model/Service.di', 'ONAP_Information_Model/Service.notation', 'ONAP_Information_Model/Vnf.notation', 'ONAP_Information_Model/Vnf.uml', 'ONAP_Information_Model/Common.di', 'ONAP_Information_Model/License.di', 'ONAP_Information_Model/Nf.di', 'ONAP_Information_Model/Ns.di', 'ONAP_Information_Model/OpenModel_Profile.profile.di', 'ONAP_Information_Model/Resource.di'];modeling/modelspec;closed
6218;so;2789;375;['bpmn/so-bpmn-tasks/src/main/java/org/onap/so/bpmn/infrastructure/workflow/tasks/Resource.java', 'bpmn/so-bpmn-tasks/src/main/java/org/onap/so/bpmn/infrastructure/workflow/tasks/ebb/loader/ServiceEBBLoader.java', 'bpmn/so-bpmn-tasks/src/main/java/org/onap/so/bpmn/infrastructure/workflow/tasks/ebb/loader/UserParamsServiceTraversal.java', 'bpmn/so-bpmn-tasks/src/main/java/org/onap/so/bpmn/infrastructure/workflow/tasks/ebb/loader/VnfEBBLoader.java', 'bpmn/so-bpmn-tasks/src/main/java/org/onap/so/bpmn/infrastructure/workflow/tasks/listeners/SkipCDSBuildingBlockListener.java', 'bpmn/so-bpmn-tasks/src/test/java/org/onap/so/bpmn/infrastructure/workflow/tasks/WorkflowActionTest.java', 'bpmn/so-bpmn-tasks/src/test/java/org/onap/so/bpmn/infrastructure/workflow/tasks/ebb/loader/ServiceEBBLoaderTest.java', 'bpmn/so-bpmn-tasks/src/test/java/org/onap/so/bpmn/infrastructure/workflow/tasks/ebb/loader/VnfEBBLoaderTest.java', 'bpmn/so-bpmn-tasks/src/test/java/org/onap/so/bpmn/infrastructure/workflow/tasks/listeners/SkipCDSBuildingBlockListenerTest.java'];so;closed
6841;cps/ncmp-dmi-plugin;6639;4;['pom.xml', 'version.properties'];cps/ncmp-dmi-plugin;closed
7929;oom/offline-installer;5097;20;['ansible/roles/dns/molecule/default/molecule.yml', 'ansible/roles/dns/molecule/default/tests/test_default.py', 'ansible/roles/dns/molecule/ubuntu/molecule.yml'];oom/offline-installer;closed
7929;oom/offline-installer;5097;20;['ansible/roles/dns/molecule/default/molecule.yml', 'ansible/roles/dns/molecule/default/tests/test_default.py', 'ansible/roles/dns/molecule/ubuntu/molecule.yml'];oom/offline-installer;closed
5275;modeling/etsicatalog;1809;391;['catalog/packages/biz/notificationsutil.py', 'catalog/packages/biz/ns_descriptor.py', 'catalog/packages/biz/pnf_descriptor.py', 'catalog/packages/biz/sdc_ns_package.py', 'catalog/packages/biz/sdc_service_package.py', 'catalog/packages/biz/sdc_vnf_package.py', 'catalog/packages/biz/service_descriptor.py', 'catalog/packages/biz/vnf_package.py', 'catalog/packages/biz/vnf_pkg_artifacts.py', 'catalog/packages/biz/vnf_pkg_subscription.py', 'catalog/pub/msapi/sdc.py'];modeling/etsicatalog;closed
6841;cps/ncmp-dmi-plugin;6639;9;['releases/1.0.2-container.yaml'];cps/ncmp-dmi-plugin;closed
6841;cps/ncmp-dmi-plugin;7744;9;['releases/1.0.2-container.yaml'];cps/ncmp-dmi-plugin;closed
87;sdnc/oam;87;19;['releases/2.2.4-container.yaml'];sdnc/oam;closed
87;sdnc/oam;4931;19;['releases/2.2.4-container.yaml'];sdnc/oam;closed
87;sdnc/oam;4931;43;['data-migrator/pom.xml', 'installation/ansible-server/pom.xml', 'installation/dmaap-listener/pom.xml', 'installation/pom.xml', 'installation/sdnc-web/pom.xml', 'installation/sdnc/pom.xml', 'installation/ueb-listener/pom.xml', 'platform-logic/datachange/pom.xml', 'platform-logic/generic-resource-api/pom.xml', 'platform-logic/installer/pom.xml', 'platform-logic/lcm/pom.xml', 'platform-logic/optical-service/pom.xml', 'platform-logic/pom.xml', 'platform-logic/restapi-templates/pom.xml', 'platform-logic/restconfapi-yang/pom.xml', 'platform-logic/setup/pom.xml', 'platform-logic/vnfapi/pom.xml', 'pom.xml', 'releases/2.2.4.yaml', 'version.properties'];sdnc/oam;closed
105;dcaegen2/utils;93;23;['dcaeapplib/ChangeLog.md', 'scripts/mvn-phase-lib.sh', 'mvn-phase-script.sh'];dcaegen2/utils;closed
6841;cps/ncmp-dmi-plugin;6639;4;['releases/1.0.2.yaml'];cps/ncmp-dmi-plugin;closed
6841;cps/ncmp-dmi-plugin;7744;4;['releases/1.0.2.yaml'];cps/ncmp-dmi-plugin;closed
7957;cps;6639;12;['cps-ncmp-rest/src/main/java/org/onap/cps/ncmp/rest/controller/NetworkCmProxyController.java', 'cps-ncmp-service/src/main/java/org/onap/cps/ncmp/api/impl/operations/DmiModelOperations.java', 'cps-service/src/main/java/org/onap/cps/spi/exceptions/DataspaceInUseException.java'];cps;closed
7957;cps;6841;12;['cps-ncmp-rest/src/main/java/org/onap/cps/ncmp/rest/controller/NetworkCmProxyController.java', 'cps-ncmp-service/src/main/java/org/onap/cps/ncmp/api/impl/operations/DmiModelOperations.java', 'cps-service/src/main/java/org/onap/cps/spi/exceptions/DataspaceInUseException.java'];cps;closed
7957;cps;7830;12;['cps-ncmp-rest/src/main/java/org/onap/cps/ncmp/rest/controller/NetworkCmProxyController.java', 'cps-ncmp-service/src/main/java/org/onap/cps/ncmp/api/impl/operations/DmiModelOperations.java', 'cps-service/src/main/java/org/onap/cps/spi/exceptions/DataspaceInUseException.java'];cps;closed
7957;cps/ncmp-dmi-plugin;6639;6;['src/main/java/org/onap/cps/ncmp/dmi/service/DmiServiceImpl.java', 'src/main/java/org/onap/cps/ncmp/dmi/service/YangResourceExtractor.java'];cps/ncmp-dmi-plugin;closed
7957;cps/ncmp-dmi-plugin;7743;6;['src/main/java/org/onap/cps/ncmp/dmi/service/DmiServiceImpl.java', 'src/main/java/org/onap/cps/ncmp/dmi/service/YangResourceExtractor.java'];cps/ncmp-dmi-plugin;closed
7957;cps/ncmp-dmi-plugin;7744;6;['src/main/java/org/onap/cps/ncmp/dmi/service/DmiServiceImpl.java', 'src/main/java/org/onap/cps/ncmp/dmi/service/YangResourceExtractor.java'];cps/ncmp-dmi-plugin;closed
