Author;Project/Subproject;Reviewer;Change_Size;File Info;Subject;Status
1001202;openbmc/estoraged;1000593;336;['include/estoraged.hpp', 'meson.build', 'src/erase/erase.cpp', 'src/erase/meson.build', 'src/erase/verifyDriveGeometry.cpp', 'src/estoraged.cpp', 'src/meson.build', 'src/test/erase/verifyGeometry_test.cpp', 'src/test/estoraged_test.cpp', 'xyz/openbmc_project/eStoraged.errors.yaml', 'xyz/openbmc_project/eStoraged.interface.yaml', 'xyz/openbmc_project/eStoraged/meson.build'];openbmc/estoraged;closed
1001202;openbmc/estoraged;1000388;336;['include/estoraged.hpp', 'meson.build', 'src/erase/erase.cpp', 'src/erase/meson.build', 'src/erase/verifyDriveGeometry.cpp', 'src/estoraged.cpp', 'src/meson.build', 'src/test/erase/verifyGeometry_test.cpp', 'src/test/estoraged_test.cpp', 'xyz/openbmc_project/eStoraged.errors.yaml', 'xyz/openbmc_project/eStoraged.interface.yaml', 'xyz/openbmc_project/eStoraged/meson.build'];openbmc/estoraged;closed
1000869;openbmc/dbus-sensors;1001049;216;['include/sensor.hpp', 'src/Thresholds.cpp', 'include/Thresholds.hpp'];openbmc/dbus-sensors;closed
1000869;openbmc/dbus-sensors;1000153;216;['include/sensor.hpp', 'src/Thresholds.cpp', 'include/Thresholds.hpp'];openbmc/dbus-sensors;closed
1000000;openbmc/openbmc;1000000;1;['meta-facebook/conf/machine/include/facebook.inc'];openbmc/openbmc;closed
1000940;openbmc/openbmc;1000940;27;['meta-ampere/meta-common/recipes-ac01/packagegroups/packagegroup-ampere-apps.bb', 'meta-ampere/meta-jade/conf/machine/mtjade.conf', 'meta-ampere/meta-jade/recipes-phosphor/gpio/phosphor-gpio-monitor/obmc/gpio/phosphor-power-supply-0.conf', 'meta-ampere/meta-jade/recipes-phosphor/gpio/phosphor-gpio-monitor/obmc/gpio/phosphor-power-supply-1.conf', 'meta-ampere/meta-jade/recipes-phosphor/gpio/phosphor-gpio-monitor_%.bbappend'];openbmc/openbmc;closed
1000940;openbmc/openbmc;1000994;92;['meta-ampere/meta-common/recipes-phosphor/inventory/inventory-cleanup.bb', 'meta-ampere/meta-common/recipes-phosphor/inventory/inventory-cleanup/inventory-cleanup.yaml', 'meta-ampere/meta-jade/recipes-phosphor/inventory/phosphor-inventory-manager/associations.json', 'meta-ampere/meta-jade/recipes-phosphor/inventory/phosphor-inventory-manager_%.bbappend'];openbmc/openbmc;closed
1000940;openbmc/openbmc;1000940;92;['meta-ampere/meta-common/recipes-phosphor/inventory/inventory-cleanup.bb', 'meta-ampere/meta-common/recipes-phosphor/inventory/inventory-cleanup/inventory-cleanup.yaml', 'meta-ampere/meta-jade/recipes-phosphor/inventory/phosphor-inventory-manager/associations.json', 'meta-ampere/meta-jade/recipes-phosphor/inventory/phosphor-inventory-manager_%.bbappend'];openbmc/openbmc;closed
1000900;openbmc/bmcweb;1000153;1688;['redfish-core/include/event_service_manager.hpp', 'redfish-core/include/utils/fw_utils.hpp', 'redfish-core/lib/account_service.hpp', 'redfish-core/lib/chassis.hpp', 'redfish-core/lib/health.hpp', 'redfish-core/lib/hypervisor_system.hpp', 'redfish-core/lib/led.hpp', 'redfish-core/lib/log_services.hpp', 'redfish-core/lib/managers.hpp', 'redfish-core/lib/metric_report.hpp', 'redfish-core/lib/network_protocol.hpp', 'redfish-core/lib/power.hpp', 'redfish-core/lib/processor.hpp', 'redfish-core/lib/redfish_util.hpp', 'redfish-core/lib/roles.hpp', 'redfish-core/lib/sensors.hpp', 'redfish-core/lib/storage.hpp', 'redfish-core/lib/systems.hpp', 'redfish-core/lib/update_service.hpp'];openbmc/bmcweb;closed
1000206;openbmc/phosphor-post-code-manager;1000218;26;['README.md'];openbmc/phosphor-post-code-manager;closed
1000397;openbmc/bmcweb;1000163;361;['README.md'];openbmc/bmcweb;new
1000397;openbmc/bmcweb;1000400;361;['README.md'];openbmc/bmcweb;new
1000397;openbmc/bmcweb;1000678;361;['README.md'];openbmc/bmcweb;new
1000397;openbmc/bmcweb;1000677;361;['README.md'];openbmc/bmcweb;new
1000397;openbmc/bmcweb;1000020;361;['README.md'];openbmc/bmcweb;new
1000397;openbmc/bmcweb;1000388;361;['README.md'];openbmc/bmcweb;new
