Author,Project/Subproject,Change_Size,Final Reviewers,All Reviewers,File Info,Subject,Status
1001202,openbmc/estoraged,336,"[1000593, 1000388]","[1000188, 1000388, 1000593, 1000873, 1000885, 1001202]","['include/estoraged.hpp', 'meson.build', 'src/erase/erase.cpp', 'src/erase/meson.build', 'src/erase/verifyDriveGeometry.cpp', 'src/estoraged.cpp', 'src/meson.build', 'src/test/erase/verifyGeometry_test.cpp', 'src/test/estoraged_test.cpp', 'xyz/openbmc_project/eStoraged.errors.yaml', 'xyz/openbmc_project/eStoraged.interface.yaml', 'xyz/openbmc_project/eStoraged/meson.build']",Switch to new D-Bus interface,closed
1000869,openbmc/dbus-sensors,216,"[1001049, 1000153]","[1000000, 1000009, 1000153, 1000163, 1000166, 1000212, 1000223, 1000546, 1000559, 1000866, 1000873, 1001049]","['include/sensor.hpp', 'src/Thresholds.cpp', 'include/Thresholds.hpp']",Refactoring threshold properties code.,closed
1000000,openbmc/openbmc,1,[1000000],"[1000000, 1000002, 1000004, 1000153, 1000212, 1000873]",['meta-facebook/conf/machine/include/facebook.inc'],meta-facebook: enable allow-root-login,closed
1000940,openbmc/openbmc,27,[1000940],"[1000000, 1000002, 1000004, 1000153, 1000873, 1000940, 1000974, 1000994]","['meta-ampere/meta-common/recipes-ac01/packagegroups/packagegroup-ampere-apps.bb', 'meta-ampere/meta-jade/conf/machine/mtjade.conf', 'meta-ampere/meta-jade/recipes-phosphor/gpio/phosphor-gpio-monitor/obmc/gpio/phosphor-power-supply-0.conf', 'meta-ampere/meta-jade/recipes-phosphor/gpio/phosphor-gpio-monitor/obmc/gpio/phosphor-power-supply-1.conf', 'meta-ampere/meta-jade/recipes-phosphor/gpio/phosphor-gpio-monitor_%.bbappend']","Revert ""meta-ampere: mtjade: support PSU present detection via GPIO""",closed
1000940,openbmc/openbmc,92,"[1000994, 1000940]","[1000000, 1000002, 1000004, 1000153, 1000873, 1000940, 1000974, 1000994]","['meta-ampere/meta-common/recipes-phosphor/inventory/inventory-cleanup.bb', 'meta-ampere/meta-common/recipes-phosphor/inventory/inventory-cleanup/inventory-cleanup.yaml', 'meta-ampere/meta-jade/recipes-phosphor/inventory/phosphor-inventory-manager/associations.json', 'meta-ampere/meta-jade/recipes-phosphor/inventory/phosphor-inventory-manager_%.bbappend']",meta-ampere: redfish: remove Chassis chassis instance,closed
1000900,openbmc/bmcweb,1688,[1000153],"[1000020, 1000153, 1000276, 1000678, 1000873]","['redfish-core/include/event_service_manager.hpp', 'redfish-core/include/utils/fw_utils.hpp', 'redfish-core/lib/account_service.hpp', 'redfish-core/lib/chassis.hpp', 'redfish-core/lib/health.hpp', 'redfish-core/lib/hypervisor_system.hpp', 'redfish-core/lib/led.hpp', 'redfish-core/lib/log_services.hpp', 'redfish-core/lib/managers.hpp', 'redfish-core/lib/metric_report.hpp', 'redfish-core/lib/network_protocol.hpp', 'redfish-core/lib/power.hpp', 'redfish-core/lib/processor.hpp', 'redfish-core/lib/redfish_util.hpp', 'redfish-core/lib/roles.hpp', 'redfish-core/lib/sensors.hpp', 'redfish-core/lib/storage.hpp', 'redfish-core/lib/systems.hpp', 'redfish-core/lib/update_service.hpp']",Using sdbusplus::asio::getProperty,closed
1000206,openbmc/phosphor-post-code-manager,26,[1000218],"[1000206, 1000218, 1000873]",['README.md'],post-code-manager: Add documentation,closed
1000397,openbmc/bmcweb,361,"[1000163, 1000400, 1000678, 1000677, 1000020, 1000388, 1000276, 1000873, 1000153, 1001049, 1000056, 1000397]","[1000163, 1000400, 1000678, 1000677, 1000020, 1000388, 1000276, 1000873, 1000153, 1001049, 1000056, 1000397]",['README.md'],Implement SubProcessors for processor core,new
1000879,openbmc/phosphor-host-ipmid,24,"[1000163, 1000003, 1000022, 1000005, 1000873, 1000056]","[1000163, 1000003, 1000022, 1000005, 1000873, 1000056]",['README.md'],chassis: use xyz.openbmc_project.Control.Host.NMI interface for NMI,new
1001162,openbmc/dbus-sensors,54,"[1000163, 1000166, 1001049, 1000521, 1000873, 1000153, 1000520, 1000559]","[1000163, 1000166, 1001049, 1000521, 1000873, 1000153, 1000520, 1000559]",['README.md'],psusensor: attempt to reassign fd if reading returns ENODEV,new
