Author;Project/Subproject;Reviewer;Change_Size;File Info;Subject;Status
1000116;ci-management;1000116;18;['jjb/pipeline/voltha/master/software-upgrades.groovy', 'jjb/pipeline/voltha/voltha-2.8/software-upgrades.groovy'];ci-management;closed
1000116;ci-management;1000116;3;['jjb/voltha-scale.yaml'];ci-management;closed
1000116;ci-management;1000116;2;['jjb/pipeline/voltha/voltha-2.8/voltha-scale-test.groovy'];ci-management;closed
1000816;voltha-openolt-adapter;1000007;20;['jjb/pipeline/voltha/voltha-2.8/voltha-scale-test.groovy'];voltha-openolt-adapter;new
1000816;voltha-openolt-adapter;1000405;20;['jjb/pipeline/voltha/voltha-2.8/voltha-scale-test.groovy'];voltha-openolt-adapter;new
1000816;voltha-openolt-adapter;1000116;20;['jjb/pipeline/voltha/voltha-2.8/voltha-scale-test.groovy'];voltha-openolt-adapter;new
1000816;voltha-openolt-adapter;1000218;20;['jjb/pipeline/voltha/voltha-2.8/voltha-scale-test.groovy'];voltha-openolt-adapter;new
1000816;voltha-openolt-adapter;1000025;20;['jjb/pipeline/voltha/voltha-2.8/voltha-scale-test.groovy'];voltha-openolt-adapter;new
1000816;voltha-openolt-adapter;1000127;20;['jjb/pipeline/voltha/voltha-2.8/voltha-scale-test.groovy'];voltha-openolt-adapter;new
1000116;voltha-docs;1000116;44;['VERSION', 'git_refs', 'overview/troubleshooting.rst', 'release_notes/voltha_2.9.rst'];voltha-docs;closed
1000116;voltha-helm-charts;1000116;14;['.gitreview', 'VERSION', 'voltha-infra/Chart.yaml', 'voltha-infra/values.yaml', 'voltha-stack/Chart.yaml'];voltha-helm-charts;closed
1000726;voltha-openonu-adapter-go;1000116;10;['VERSION', 'internal/pkg/onuadaptercore/omci_onu_upgrade.go'];voltha-openonu-adapter-go;closed
1000116;voltha-onos;1000116;20;['Dockerfile.voltha-onos', 'VERSION', 'dependencies.xml'];voltha-onos;closed
1000025;kafka-onos;1000116;2;['pom.xml'];kafka-onos;closed
1000025;kafka-onos;1000116;2;['pom.xml'];kafka-onos;closed
1000116;kafka-onos;1000116;18;['pom.xml', 'src/main/java/org/opencord/kafka/impl/KafkaIntegration.java'];kafka-onos;closed
1000025;bng;1000116;6;['api/pom.xml', 'app/pom.xml', 'pom.xml'];bng;closed
1000025;bng;1000116;6;['api/pom.xml', 'app/pom.xml', 'pom.xml'];bng;closed
1000671;voltha-openonu-adapter-go;1000116;14;['VERSION', 'internal/pkg/core/openonu.go'];voltha-openonu-adapter-go;closed
1000671;voltha-openonu-adapter-go;1000666;14;['VERSION', 'internal/pkg/core/openonu.go'];voltha-openonu-adapter-go;closed
1000025;pppoeagent;1000116;8;['api/pom.xml', 'app/pom.xml', 'pom.xml'];pppoeagent;closed
1000116;bng;1000116;6;['pom.xml'];bng;closed
1000025;igmpproxy;1000116;8;['api/pom.xml', 'app/pom.xml', 'pom.xml'];igmpproxy;closed
1000025;pppoeagent;1000116;8;['api/pom.xml', 'app/pom.xml', 'pom.xml'];pppoeagent;closed
1000025;olt;1000116;16;['api/pom.xml', 'app/pom.xml', 'impl/pom.xml', 'pom.xml', 'web/pom.xml'];olt;closed
1000025;dhcpl2relay;1000116;8;['api/pom.xml', 'app/pom.xml', 'pom.xml'];dhcpl2relay;closed
1000025;olt;1000116;16;['api/pom.xml', 'app/pom.xml', 'impl/pom.xml', 'pom.xml', 'web/pom.xml'];olt;closed
1000025;igmpproxy;1000116;8;['api/pom.xml', 'app/pom.xml', 'pom.xml'];igmpproxy;closed
1000025;dhcpl2relay;1000116;8;['api/pom.xml', 'app/pom.xml', 'pom.xml'];dhcpl2relay;closed
1000025;mcast;1000116;8;['api/pom.xml', 'app/pom.xml', 'pom.xml'];mcast;closed
1000116;pppoeagent;1000116;4;['pom.xml'];pppoeagent;closed
1000116;olt;1000116;6;['README.md', 'impl/pom.xml', 'web/pom.xml'];olt;closed
1000025;mcast;1000116;8;['api/pom.xml', 'app/pom.xml', 'pom.xml'];mcast;closed
1000007;dhcpl2relay;1000116;4;['pom.xml'];dhcpl2relay;closed
1000116;igmpproxy;1000116;2;['app/pom.xml'];igmpproxy;closed
1000025;aaa;1000116;8;['api/pom.xml', 'app/pom.xml', 'pom.xml'];aaa;closed
1000025;aaa;1000116;8;['api/pom.xml', 'app/pom.xml', 'pom.xml'];aaa;closed
1000025;mac-learning;1000116;8;['api/pom.xml', 'app/pom.xml', 'pom.xml'];mac-learning;closed
1000007;mcast;1000116;4;['pom.xml'];mcast;closed
1000007;aaa;1000116;4;['pom.xml'];aaa;closed
1000007;olt;1000116;4;['pom.xml'];olt;closed
1000025;sadis;1000116;8;['api/pom.xml', 'app/pom.xml', 'pom.xml'];sadis;closed
1000025;olttopology;1000116;8;['api/pom.xml', 'app/pom.xml', 'pom.xml'];olttopology;closed
1000671;voltha-openonu-adapter-go;1000116;149;['VERSION', 'internal/pkg/onuadaptercore/file_download_manager.go', 'internal/pkg/onuadaptercore/omci_onu_upgrade.go', 'internal/pkg/onuadaptercore/openonu.go'];voltha-openonu-adapter-go;closed
1000025;olttopology;1000116;8;['api/pom.xml', 'app/pom.xml', 'pom.xml'];olttopology;closed
1000025;mac-learning;1000116;8;['api/pom.xml', 'app/pom.xml', 'pom.xml'];mac-learning;closed
1000025;pppoeagent;1000116;8;['api/pom.xml', 'app/pom.xml', 'pom.xml'];pppoeagent;closed
1000671;voltha-openonu-adapter-go;1000116;55;['VERSION', 'internal/pkg/onuadaptercore/onu_image_status.go'];voltha-openonu-adapter-go;closed
1000671;voltha-openonu-adapter-go;1000666;55;['VERSION', 'internal/pkg/onuadaptercore/onu_image_status.go'];voltha-openonu-adapter-go;closed
1000116;mac-learning;1000116;2;['pom.xml'];mac-learning;closed
1000025;sadis;1000116;8;['api/pom.xml', 'app/pom.xml', 'pom.xml'];sadis;closed
1000116;olttopology;1000116;2;['pom.xml'];olttopology;closed
1000025;mac-learning;1000116;8;['api/pom.xml', 'app/pom.xml', 'pom.xml'];mac-learning;closed
1000007;igmpproxy;1000116;2;['pom.xml'];igmpproxy;closed
1000116;sadis;1000116;10;['pom.xml', 'api/pom.xml', 'app/pom.xml'];sadis;closed
1000116;ci-management;1000007;24;['jjb/pipeline/voltha/voltha-2.8/physical-build.groovy', 'jjb/pipeline/voltha/voltha-2.9/physical-build.groovy'];ci-management;closed
1000116;ci-management;1000116;24;['jjb/pipeline/voltha/voltha-2.8/physical-build.groovy', 'jjb/pipeline/voltha/voltha-2.9/physical-build.groovy'];ci-management;closed
