Author,Project/Subproject,Change_Size,Final Reviewers,All Reviewers,File Info,Subject,Status
1000116,ci-management,18,[1000116],"[1000007, 1000025, 1000116, 1000643, 1000741]","['jjb/pipeline/voltha/master/software-upgrades.groovy', 'jjb/pipeline/voltha/voltha-2.8/software-upgrades.groovy']",Allowing for custom flags in software upgrade job,closed
1000116,ci-management,3,[1000116],"[1000025, 1000116]",['jjb/voltha-scale.yaml'],Using new voltha-onos 5.0.4 in 2.8 scale jobs,closed
1000116,ci-management,2,[1000116],"[1000007, 1000025, 1000116]",['jjb/pipeline/voltha/voltha-2.8/voltha-scale-test.groovy'],fixing number of ONOS instances in 2.8 scale jobs,closed
1000816,voltha-openolt-adapter,20,"[1000007, 1000405, 1000116, 1000218, 1000025, 1000127]","[1000007, 1000405, 1000116, 1000218, 1000025, 1000127]",['jjb/pipeline/voltha/voltha-2.8/voltha-scale-test.groovy'],[VOL-4499] flow resource cleanup after childDeviceLost,new
1000116,voltha-docs,44,[1000116],"[1000007, 1000025, 1000116]","['VERSION', 'git_refs', 'overview/troubleshooting.rst', 'release_notes/voltha_2.9.rst']",Update to ONOS 2.5.5 and minor release fixes,closed
1000116,voltha-helm-charts,14,[1000116],"[1000007, 1000025, 1000116, 1000127]","['.gitreview', 'VERSION', 'voltha-infra/Chart.yaml', 'voltha-infra/values.yaml', 'voltha-stack/Chart.yaml']",Updating to official 5.0.4 release of voltha-onos,closed
1000726,voltha-openonu-adapter-go,10,[1000116],"[1000003, 1000025, 1000116, 1000127, 1000666, 1000671]","['VERSION', 'internal/pkg/onuadaptercore/omci_onu_upgrade.go']",VOL-4504 removal of DEVICE_BUSY from the image failure reason in code,closed
1000116,voltha-onos,20,[1000116],"[1000025, 1000116]","['Dockerfile.voltha-onos', 'VERSION', 'dependencies.xml']",Releasing official voltha-onos for 2.9 with ONOS 2.5.5,closed
1000025,kafka-onos,2,[1000116],"[1000025, 1000116]",['pom.xml'],Starting snapshot 2.9.0-SNAPSHOT with API version 2.9.0-SNAPSHOT,closed
1000025,kafka-onos,2,[1000116],"[1000025, 1000116]",['pom.xml'],Release app version 2.8.0 with API version 2.8.0,closed
1000116,kafka-onos,18,[1000116],"[1000007, 1000025, 1000116]","['pom.xml', 'src/main/java/org/opencord/kafka/impl/KafkaIntegration.java']",Updating to ONOS 2.5.5 and minor logging,closed
1000025,bng,6,[1000116],"[1000025, 1000116]","['api/pom.xml', 'app/pom.xml', 'pom.xml']",Starting snapshot 2.3.0-SNAPSHOT with API version 2.3.0-SNAPSHOT,closed
1000025,bng,6,[1000116],"[1000025, 1000116]","['api/pom.xml', 'app/pom.xml', 'pom.xml']",Release app version 2.2.0 with API version 2.2.0,closed
1000671,voltha-openonu-adapter-go,14,"[1000116, 1000666]","[1000025, 1000056, 1000116, 1000127, 1000666]","['VERSION', 'internal/pkg/core/openonu.go']",[VOL-4452] openonuAdapterGo - delete requests for objects of an already deleted ONU should be acknowledged positively,closed
1000025,pppoeagent,8,[1000116],"[1000025, 1000116]","['api/pom.xml', 'app/pom.xml', 'pom.xml']",Starting snapshot 1.2.1-SNAPSHOT with API version 1.2.1-SNAPSHOT,closed
1000116,bng,6,[1000116],"[1000007, 1000025, 1000116]",['pom.xml'],"Updating to ONOS 2.5.5 APIs, sadis 5.5.1 and olt 5.0.0",closed
1000025,igmpproxy,8,[1000116],"[1000025, 1000116]","['api/pom.xml', 'app/pom.xml', 'pom.xml']",Starting snapshot 2.5.0-SNAPSHOT with API version 2.5.0-SNAPSHOT,closed
1000025,pppoeagent,8,[1000116],"[1000025, 1000116]","['api/pom.xml', 'app/pom.xml', 'pom.xml']",Release app version 1.2.0 with API version 1.2.0,closed
1000025,olt,16,[1000116],"[1000025, 1000116]","['api/pom.xml', 'app/pom.xml', 'impl/pom.xml', 'pom.xml', 'web/pom.xml']",Starting snapshot 5.1.0-SNAPSHOT with API version 5.1.0-SNAPSHOT,closed
1000025,dhcpl2relay,8,[1000116],"[1000025, 1000116]","['api/pom.xml', 'app/pom.xml', 'pom.xml']",Starting snapshot 2.7.0-SNAPSHOT with API version 2.7.0-SNAPSHOT,closed
1000025,olt,16,[1000116],"[1000007, 1000025, 1000116]","['api/pom.xml', 'app/pom.xml', 'impl/pom.xml', 'pom.xml', 'web/pom.xml']",Release app version 5.0.0 with API version 5.0.0,closed
1000025,igmpproxy,8,[1000116],"[1000025, 1000116]","['api/pom.xml', 'app/pom.xml', 'pom.xml']",Release app version 2.4.0 with API version 2.4.0,closed
1000025,dhcpl2relay,8,[1000116],"[1000025, 1000116]","['api/pom.xml', 'app/pom.xml', 'pom.xml']",Release app version 2.6.0 with API version 2.6.0,closed
1000025,mcast,8,[1000116],"[1000025, 1000116]","['api/pom.xml', 'app/pom.xml', 'pom.xml']",Starting snapshot 2.6.0-SNAPSHOT with API version 2.6.0-SNAPSHOT,closed
1000116,pppoeagent,4,[1000116],"[1000007, 1000025, 1000116]",['pom.xml'],"Updating to ONOS 2.5.5 APIs, sadis 5.5.1",closed
1000116,olt,6,[1000116],"[1000007, 1000025, 1000116]","['README.md', 'impl/pom.xml', 'web/pom.xml']",Parametrizing API version for release,closed
1000025,mcast,8,[1000116],"[1000025, 1000116]","['api/pom.xml', 'app/pom.xml', 'pom.xml']",Release app version 2.5.0 with API version 2.5.0,closed
1000007,dhcpl2relay,4,[1000116],"[1000025, 1000116]",['pom.xml'],Moving the app to depend on ONOS 2.5.4 and released Sadis app (5.5.0),closed
1000116,igmpproxy,2,[1000116],"[1000007, 1000025, 1000116]",['app/pom.xml'],upgrading to sadis API 5.5.1,closed
1000025,aaa,8,[1000116],"[1000025, 1000116]","['api/pom.xml', 'app/pom.xml', 'pom.xml']",Starting snapshot 2.6.0-SNAPSHOT with API version 2.6.0-SNAPSHOT,closed
1000025,aaa,8,[1000116],"[1000025, 1000116]","['api/pom.xml', 'app/pom.xml', 'pom.xml']",Release app version 2.5.0 with API version 2.5.0,closed
1000025,mac-learning,8,[1000116],"[1000025, 1000116]","['api/pom.xml', 'app/pom.xml', 'pom.xml']",Starting snapshot 1.2.1-SNAPSHOT with API version 1.2.1-SNAPSHOT,closed
1000007,mcast,4,[1000116],"[1000025, 1000116]",['pom.xml'],Updating the app to depend on ONOS 2.5.5 APIs and sadis version 5.5.1,closed
1000007,aaa,4,[1000116],"[1000025, 1000116]",['pom.xml'],Moving the app to depend on ONOS 2.5.5 and released Sadis app (5.5.1),closed
1000007,olt,4,[1000116],"[1000025, 1000116]",['pom.xml'],Moving the app to depend on released ONOS 2.5.5 and Sadis app (5.5.0),closed
1000025,sadis,8,[1000116],"[1000025, 1000116]","['api/pom.xml', 'app/pom.xml', 'pom.xml']",Starting snapshot 5.6.0-SNAPSHOT with API version 5.6.0-SNAPSHOT,closed
1000025,olttopology,8,[1000116],"[1000025, 1000116]","['api/pom.xml', 'app/pom.xml', 'pom.xml']",Starting snapshot 1.2.1-SNAPSHOT with API version 1.2.1-SNAPSHOT,closed
1000671,voltha-openonu-adapter-go,149,[1000116],"[1000007, 1000025, 1000116, 1000127, 1000643, 1000666]","['VERSION', 'internal/pkg/onuadaptercore/file_download_manager.go', 'internal/pkg/onuadaptercore/omci_onu_upgrade.go', 'internal/pkg/onuadaptercore/openonu.go']","[VOL-4450] ONU upgrade to multiple ONU devices control insufficient, possibly leads to adapter crash",closed
1000025,olttopology,8,[1000116],"[1000025, 1000116]","['api/pom.xml', 'app/pom.xml', 'pom.xml']",Release app version 1.2.0 with API version 1.2.0,closed
1000025,mac-learning,8,[1000116],"[1000025, 1000116]","['api/pom.xml', 'app/pom.xml', 'pom.xml']",Release app version 1.2.0 with API version 1.2.0,closed
1000025,pppoeagent,8,[1000116],"[1000025, 1000116]","['api/pom.xml', 'app/pom.xml', 'pom.xml']",Starting snapshot 1.2.0-SNAPSHOT with API version 1.2.0-SNAPSHOT,closed
1000671,voltha-openonu-adapter-go,55,"[1000116, 1000666]","[1000025, 1000116, 1000127, 1000607, 1000643, 1000666]","['VERSION', 'internal/pkg/onuadaptercore/onu_image_status.go']",[VOL-4523] ONU SW download fails if the already present stdby image is NOT valid,closed
1000116,mac-learning,2,[1000116],"[1000007, 1000025, 1000116]",['pom.xml'],Updating to ONOS 2.5.5 APIs,closed
1000025,sadis,8,[1000116],"[1000025, 1000116]","['api/pom.xml', 'app/pom.xml', 'pom.xml']",Release app version 5.5.1 with API version 5.5.1,closed
1000116,olttopology,2,[1000116],"[1000007, 1000025, 1000116]",['pom.xml'],"Updating to ONOS 2.5.5 APIs, sadis 5.5.1",closed
1000025,mac-learning,8,[1000116],"[1000025, 1000116]","['api/pom.xml', 'app/pom.xml', 'pom.xml']",Starting snapshot 1.2.0-SNAPSHOT with API version 1.2.0-SNAPSHOT,closed
1000007,igmpproxy,2,[1000116],"[1000025, 1000116]",['pom.xml'],Updating the app to depend on ONOS 2.5.5 APIs,closed
1000116,sadis,10,[1000116],"[1000007, 1000025, 1000116]","['pom.xml', 'api/pom.xml', 'app/pom.xml']",Moving to offically released onos-2.5.5,closed
