Author;Project/Subproject;Reviewer;Change_Size;File Info;Subject;Status
649;controller;649;70;['akka/pom.xml', 'akka/repackaged-akka-jar/pom.xml', 'artifacts/pom.xml', 'benchmark/pom.xml', 'bundle-parent/pom.xml', 'docs/pom.xml', 'features/features-controller-experimental/pom.xml', 'features/features-controller-testing/pom.xml', 'features/features-controller/pom.xml', 'features/pom.xml', 'features/single-feature-parent/pom.xml', 'jolokia/pom.xml', 'karaf/pom.xml', 'opendaylight/blueprint/pom.xml', 'opendaylight/config/netty-event-executor-config/pom.xml', 'opendaylight/config/netty-threadgroup-config/pom.xml', 'opendaylight/config/netty-timer-config/pom.xml', 'opendaylight/config/pom.xml', 'opendaylight/config/threadpool-config-api/pom.xml', 'opendaylight/config/threadpool-config-impl/pom.xml', 'opendaylight/md-sal/mdsal-it-base/pom.xml', 'opendaylight/md-sal/mdsal-it-parent/pom.xml', 'opendaylight/md-sal/parent/pom.xml', 'opendaylight/md-sal/pom.xml', 'opendaylight/md-sal/sal-clustering-config/pom.xml', 'opendaylight/md-sal/samples/clustering-test-app/configuration/pom.xml', 'opendaylight/md-sal/samples/clustering-test-app/pom.xml', 'opendaylight/md-sal/samples/pom.xml', 'pom.xml'];controller;closed
649;mdsal;649;874;['artifacts/pom.xml', 'binding/binding-parent/pom.xml', 'binding/mdsal-binding-api/pom.xml', 'binding/mdsal-binding-dom-adapter/pom.xml', 'binding/mdsal-binding-dom-codec-api/pom.xml', 'binding/mdsal-binding-dom-codec-osgi/pom.xml', 'binding/mdsal-binding-dom-codec-spi/pom.xml', 'binding/mdsal-binding-dom-codec/pom.xml', 'binding/mdsal-binding-generator/pom.xml', 'binding/mdsal-binding-java-api-generator/pom.xml', 'binding/mdsal-binding-model-api/pom.xml', 'binding/mdsal-binding-model-ri/pom.xml', 'binding/mdsal-binding-runtime-api/pom.xml', 'binding/mdsal-binding-runtime-osgi/pom.xml', 'binding/mdsal-binding-runtime-spi/pom.xml', 'binding/mdsal-binding-spec-util/pom.xml', 'binding/mdsal-binding-spi/pom.xml', 'binding/mdsal-binding-test-model/pom.xml', 'binding/mdsal-binding-test-utils/pom.xml', 'binding/mdsal-binding-util/pom.xml', 'binding/pom.xml', 'binding/yang-binding/pom.xml', 'common/mdsal-common-api/pom.xml', 'common/pom.xml', 'docs/pom.xml', 'dom/dom-parent/pom.xml', 'dom/mdsal-dom-api/pom.xml', 'dom/mdsal-dom-broker/pom.xml', 'dom/mdsal-dom-inmemory-datastore-benchmark/pom.xml', 'dom/mdsal-dom-inmemory-datastore/pom.xml', 'dom/mdsal-dom-schema-osgi/pom.xml', 'dom/mdsal-dom-spi/pom.xml', 'dom/pom.xml', 'dom/unified-html-generator/pom.xml', 'entityownership/mdsal-eos-binding-adapter/pom.xml', 'entityownership/mdsal-eos-binding-api/pom.xml', 'entityownership/mdsal-eos-common-api/pom.xml', 'entityownership/mdsal-eos-common-spi/pom.xml', 'entityownership/mdsal-eos-dom-api/pom.xml', 'entityownership/mdsal-eos-dom-simple/pom.xml', 'entityownership/pom.xml', 'features/feature-parent/pom.xml', 'features/features-mdsal-experimental/pom.xml', 'features/features-mdsal/pom.xml', 'features/odl-mdsal-binding-api/pom.xml', 'features/odl-mdsal-binding-base/pom.xml', 'features/odl-mdsal-binding-dom-adapter/pom.xml', 'features/odl-mdsal-binding-runtime-api/pom.xml', 'features/odl-mdsal-binding-runtime/pom.xml', 'features/odl-mdsal-binding/pom.xml', 'features/odl-mdsal-common/pom.xml', 'features/odl-mdsal-dom-api/pom.xml', 'features/odl-mdsal-dom-broker/pom.xml', 'features/odl-mdsal-dom-runtime/pom.xml', 'features/odl-mdsal-dom/pom.xml', 'features/odl-mdsal-eos-binding/pom.xml', 'features/odl-mdsal-eos-common/pom.xml', 'features/odl-mdsal-eos-dom/pom.xml', 'features/odl-mdsal-exp-yanglib-api/pom.xml', 'features/odl-mdsal-exp-yanglib-rfc7895/pom.xml', 'features/odl-mdsal-exp-yanglib-rfc8525/pom.xml', 'features/odl-mdsal-model-draft-clemm-netmod-yang-network-topo-01-minimal/pom.xml', 'features/odl-mdsal-model-odl-l2-types/pom.xml', 'features/odl-mdsal-model-rfc6991/pom.xml', 'features/odl-mdsal-model-rfc7223/pom.xml', 'features/odl-mdsal-model-rfc7224-20180703/pom.xml', 'features/odl-mdsal-model-rfc7224/pom.xml', 'features/odl-mdsal-model-rfc7277/pom.xml', 'features/odl-mdsal-model-rfc7895/pom.xml', 'features/odl-mdsal-model-rfc7952/pom.xml', 'features/odl-mdsal-model-rfc8294/pom.xml', 'features/odl-mdsal-model-rfc8342/pom.xml', 'features/odl-mdsal-model-rfc8343/pom.xml', 'features/odl-mdsal-model-rfc8344/pom.xml', 'features/odl-mdsal-model-rfc8345-non-nmda/pom.xml', 'features/odl-mdsal-model-rfc8345/pom.xml', 'features/odl-mdsal-model-rfc8346-non-nmda/pom.xml', 'features/odl-mdsal-model-rfc8346/pom.xml', 'features/odl-mdsal-model-rfc8348-non-nmda/pom.xml', 'features/odl-mdsal-model-rfc8348/pom.xml', 'features/odl-mdsal-model-rfc8349/pom.xml', 'features/odl-mdsal-model-rfc8519/pom.xml', 'features/odl-mdsal-model-rfc8520/pom.xml', 'features/odl-mdsal-model-rfc8525/pom.xml', 'features/odl-mdsal-model-rfc8528/pom.xml', 'features/odl-mdsal-model-rfc8529/pom.xml', 'features/odl-mdsal-model-rfc8530/pom.xml', 'features/odl-mdsal-model-rfc8542/pom.xml', 'features/odl-mdsal-model-rfc8776/pom.xml', 'features/odl-mdsal-model-rfc8795-non-nmda/pom.xml', 'features/odl-mdsal-model-rfc8795/pom.xml', 'features/odl-mdsal-replicate-common/pom.xml', 'features/odl-mdsal-replicate-netty/pom.xml', 'features/odl-mdsal-rfc8294-netty/pom.xml', 'features/odl-mdsal-singleton-common/pom.xml', 'features/odl-mdsal-singleton-dom/pom.xml', 'features/odl-mdsal-trace/pom.xml', 'features/pom.xml', 'karaf/pom.xml', 'model/general-entity/pom.xml', 'model/iana/iana-hardware/pom.xml', 'model/iana/iana-if-type/pom.xml', 'model/iana/iana-routing-types/pom.xml', 'model/iana/pom.xml', 'model/iana/rfc7224-20180703-iana-if-type/pom.xml', 'model/ietf/ietf-topology/pom.xml', 'model/ietf/ietf-type-util/pom.xml', 'model/ietf/pom.xml', 'model/ietf/rfc6991-ietf-inet-types/pom.xml', 'model/ietf/rfc6991-ietf-yang-types/pom.xml', 'model/ietf/rfc6991/pom.xml', 'model/ietf/rfc7223/pom.xml', 'model/ietf/rfc7277/pom.xml', 'model/ietf/rfc7895/pom.xml', 'model/ietf/rfc7952/pom.xml', 'model/ietf/rfc8294-ietf-routing-types/pom.xml', 'model/ietf/rfc8294/pom.xml', 'model/ietf/rfc8342-ietf-datastores/pom.xml', 'model/ietf/rfc8342-ietf-origin/pom.xml', 'model/ietf/rfc8342/pom.xml', 'model/ietf/rfc8343/pom.xml', 'model/ietf/rfc8344/pom.xml', 'model/ietf/rfc8345-ietf-network-state/pom.xml', 'model/ietf/rfc8345-ietf-network-topology-state/pom.xml', 'model/ietf/rfc8345-ietf-network-topology/pom.xml', 'model/ietf/rfc8345-ietf-network/pom.xml', 'model/ietf/rfc8345/pom.xml', 'model/ietf/rfc8346-ietf-l3-unicast-topology-state/pom.xml', 'model/ietf/rfc8346-ietf-l3-unicast-topology/pom.xml', 'model/ietf/rfc8346/pom.xml', 'model/ietf/rfc8348-ietf-hardware-state/pom.xml', 'model/ietf/rfc8348-ietf-hardware/pom.xml', 'model/ietf/rfc8348/pom.xml', 'model/ietf/rfc8349-ietf-ipv4-unicast-routing/pom.xml', 'model/ietf/rfc8349-ietf-ipv6-unicast-routing/pom.xml', 'model/ietf/rfc8349-ietf-routing/pom.xml', 'model/ietf/rfc8349/pom.xml', 'model/ietf/rfc8519-ietf-access-control-list/pom.xml', 'model/ietf/rfc8519-ietf-ethertypes/pom.xml', 'model/ietf/rfc8519-ietf-packet-fields/pom.xml', 'model/ietf/rfc8519/pom.xml', 'model/ietf/rfc8520-ietf-acldns/pom.xml', 'model/ietf/rfc8520-ietf-mud/pom.xml', 'model/ietf/rfc8520/pom.xml', 'model/ietf/rfc8525/pom.xml', 'model/ietf/rfc8528/pom.xml', 'model/ietf/rfc8529/pom.xml', 'model/ietf/rfc8530/pom.xml', 'model/ietf/rfc8542-ietf-dc-fabric-topology/pom.xml', 'model/ietf/rfc8542-ietf-dc-fabric-types/pom.xml', 'model/ietf/rfc8542/pom.xml', 'model/ietf/rfc8776-ietf-te-packet-types/pom.xml', 'model/ietf/rfc8776-ietf-te-types/pom.xml', 'model/ietf/rfc8776/pom.xml', 'model/ietf/rfc8795-ietf-te-topology-state/pom.xml', 'model/ietf/rfc8795-ietf-te-topology/pom.xml', 'model/ietf/rfc8795/pom.xml', 'model/l2-types/pom.xml', 'model/pom.xml', 'model/yang-ext/pom.xml', 'netty/mdsal-rfc8294-netty/pom.xml', 'netty/pom.xml', 'pom.xml', 'replicate/mdsal-replicate-common/pom.xml', 'replicate/mdsal-replicate-netty/pom.xml', 'replicate/pom.xml', 'singleton-service/mdsal-singleton-common-api/pom.xml', 'singleton-service/mdsal-singleton-dom-impl/pom.xml', 'singleton-service/pom.xml', 'trace/mdsal-trace-api/pom.xml', 'trace/mdsal-trace-cli/pom.xml', 'trace/mdsal-trace-impl/pom.xml', 'trace/pom.xml', 'yanglib/mdsal-yanglib-api/pom.xml', 'yanglib/mdsal-yanglib-rfc7895/pom.xml', 'yanglib/mdsal-yanglib-rfc8525/pom.xml', 'yanglib/pom.xml'];mdsal;closed
649;netconf;649;58;['artifacts/pom.xml', 'features/netconf-connector/features-netconf-connector/pom.xml', 'features/netconf-connector/pom.xml', 'features/netconf/features-netconf-testing/pom.xml', 'features/netconf/features-netconf/pom.xml', 'features/netconf/pom.xml', 'features/parent/pom.xml', 'features/pom.xml', 'features/restconf/features-restconf/pom.xml', 'features/restconf/pom.xml', 'features/yanglib/features-yanglib/pom.xml', 'features/yanglib/pom.xml', 'karaf/pom.xml', 'netconf/models/pom.xml', 'netconf/netconf-config/pom.xml', 'netconf/pom.xml', 'netconf/shaded-exificient-jar/pom.xml', 'netconf/shaded-exificient/pom.xml', 'netconf/shaded-sshd-jar/pom.xml', 'netconf/shaded-sshd/pom.xml', 'netconf/tools/pom.xml', 'parent/pom.xml', 'pom.xml', 'restconf/pom.xml', 'restconf/restconf-models/pom.xml', 'restconf/sal-rest-connector-config/pom.xml'];netconf;closed
649;mdsal;649;276;['binding/mdsal-binding-generator/src/main/java/org/opendaylight/mdsal/binding/generator/impl/reactor/AbstractCompositeGenerator.java', 'binding/mdsal-binding-generator/src/main/java/org/opendaylight/mdsal/binding/generator/impl/reactor/AbstractExplicitGenerator.java', 'binding/mdsal-binding-generator/src/main/java/org/opendaylight/mdsal/binding/generator/impl/reactor/GeneratorContext.java', 'binding/mdsal-binding-generator/src/main/java/org/opendaylight/mdsal/binding/generator/impl/reactor/GeneratorReactor.java', 'binding/mdsal-binding-generator/src/main/java/org/opendaylight/mdsal/binding/generator/impl/reactor/ModuleAugmentGenerator.java', 'binding/mdsal-binding-generator/src/main/java/org/opendaylight/mdsal/binding/generator/impl/reactor/UsesAugmentGenerator.java', 'binding/mdsal-binding-generator/src/test/java/org/opendaylight/mdsal/binding/generator/impl/Mdsal715Test.java', 'binding/mdsal-binding-generator/src/test/resources/mdsal715/test-module-1.yang', 'binding/mdsal-binding-generator/src/test/resources/mdsal715/test-module-2.yang', 'binding/mdsal-binding-generator/src/test/resources/mdsal715/test-module-3.yang', 'binding/mdsal-binding-generator/src/test/resources/mdsal715/test-module-4.yang'];mdsal;closed
649;mdsal;649;276;['binding/mdsal-binding-generator/src/main/java/org/opendaylight/mdsal/binding/generator/impl/reactor/AbstractCompositeGenerator.java', 'binding/mdsal-binding-generator/src/main/java/org/opendaylight/mdsal/binding/generator/impl/reactor/AbstractExplicitGenerator.java', 'binding/mdsal-binding-generator/src/main/java/org/opendaylight/mdsal/binding/generator/impl/reactor/GeneratorContext.java', 'binding/mdsal-binding-generator/src/main/java/org/opendaylight/mdsal/binding/generator/impl/reactor/GeneratorReactor.java', 'binding/mdsal-binding-generator/src/main/java/org/opendaylight/mdsal/binding/generator/impl/reactor/ModuleAugmentGenerator.java', 'binding/mdsal-binding-generator/src/main/java/org/opendaylight/mdsal/binding/generator/impl/reactor/UsesAugmentGenerator.java', 'binding/mdsal-binding-generator/src/test/java/org/opendaylight/mdsal/binding/generator/impl/Mdsal715Test.java', 'binding/mdsal-binding-generator/src/test/resources/mdsal715/test-module-1.yang', 'binding/mdsal-binding-generator/src/test/resources/mdsal715/test-module-2.yang', 'binding/mdsal-binding-generator/src/test/resources/mdsal715/test-module-3.yang', 'binding/mdsal-binding-generator/src/test/resources/mdsal715/test-module-4.yang', 'binding/mdsal-binding-generator/src/test/resources/mdsal715/iana-if-type@2021-06-21.yang', 'binding/mdsal-binding-generator/src/test/resources/mdsal715/ietf-inet-types@2013-07-15.yang', 'binding/mdsal-binding-generator/src/test/resources/mdsal715/ietf-interfaces@2018-02-20.yang', 'binding/mdsal-binding-generator/src/test/resources/mdsal715/ietf-yang-types@2013-07-15.yang', 'binding/mdsal-binding-generator/src/test/resources/mdsal715/openconfig-aaa-radius.yang', 'binding/mdsal-binding-generator/src/test/resources/mdsal715/openconfig-aaa-tacacs.yang', 'binding/mdsal-binding-generator/src/test/resources/mdsal715/openconfig-aaa-types.yang', 'binding/mdsal-binding-generator/src/test/resources/mdsal715/openconfig-aaa.yang', 'binding/mdsal-binding-generator/src/test/resources/mdsal715/openconfig-acl.yang', 'binding/mdsal-binding-generator/src/test/resources/mdsal715/openconfig-aft-types.yang', 'binding/mdsal-binding-generator/src/test/resources/mdsal715/openconfig-aft.yang', 'binding/mdsal-binding-generator/src/test/resources/mdsal715/openconfig-alarm-types.yang', 'binding/mdsal-binding-generator/src/test/resources/mdsal715/openconfig-alarms.yang', 'binding/mdsal-binding-generator/src/test/resources/mdsal715/openconfig-bfd.yang', 'binding/mdsal-binding-generator/src/test/resources/mdsal715/openconfig-bgp-evpn-ext.yang', 'binding/mdsal-binding-generator/src/test/resources/mdsal715/openconfig-bgp-ext.yang', 'binding/mdsal-binding-generator/src/test/resources/mdsal715/openconfig-bgp-policy.yang', 'binding/mdsal-binding-generator/src/test/resources/mdsal715/openconfig-bgp-types.yang', 'binding/mdsal-binding-generator/src/test/resources/mdsal715/openconfig-bgp.yang', 'binding/mdsal-binding-generator/src/test/resources/mdsal715/openconfig-extensions.yang', 'binding/mdsal-binding-generator/src/test/resources/mdsal715/openconfig-if-aggregate.yang', 'binding/mdsal-binding-generator/src/test/resources/mdsal715/openconfig-if-ethernet-ext.yang', 'binding/mdsal-binding-generator/src/test/resources/mdsal715/openconfig-if-ethernet-ext2.yang', 'binding/mdsal-binding-generator/src/test/resources/mdsal715/openconfig-if-ethernet.yang', 'binding/mdsal-binding-generator/src/test/resources/mdsal715/openconfig-if-ip-ext.yang', 'binding/mdsal-binding-generator/src/test/resources/mdsal715/openconfig-if-ip.yang', 'binding/mdsal-binding-generator/src/test/resources/mdsal715/openconfig-if-poe.yang', 'binding/mdsal-binding-generator/src/test/resources/mdsal715/openconfig-if-tunnel.yang', 'binding/mdsal-binding-generator/src/test/resources/mdsal715/openconfig-if-types-ext.yang', 'binding/mdsal-binding-generator/src/test/resources/mdsal715/openconfig-if-types.yang', 'binding/mdsal-binding-generator/src/test/resources/mdsal715/openconfig-igmp-types.yang', 'binding/mdsal-binding-generator/src/test/resources/mdsal715/openconfig-igmp.yang', 'binding/mdsal-binding-generator/src/test/resources/mdsal715/openconfig-inet-types.yang', 'binding/mdsal-binding-generator/src/test/resources/mdsal715/openconfig-infra.yang', 'binding/mdsal-binding-generator/src/test/resources/mdsal715/openconfig-interfaces-ext.yang', 'binding/mdsal-binding-generator/src/test/resources/mdsal715/openconfig-interfaces.yang', 'binding/mdsal-binding-generator/src/test/resources/mdsal715/openconfig-isis-lsdb-types.yang', 'binding/mdsal-binding-generator/src/test/resources/mdsal715/openconfig-isis-lsp.yang', 'binding/mdsal-binding-generator/src/test/resources/mdsal715/openconfig-isis-routing.yang', 'binding/mdsal-binding-generator/src/test/resources/mdsal715/openconfig-isis-types.yang', 'binding/mdsal-binding-generator/src/test/resources/mdsal715/openconfig-isis.yang', 'binding/mdsal-binding-generator/src/test/resources/mdsal715/openconfig-kdump.yang', 'binding/mdsal-binding-generator/src/test/resources/mdsal715/openconfig-lacp.yang', 'binding/mdsal-binding-generator/src/test/resources/mdsal715/openconfig-lldp-ext.yang', 'binding/mdsal-binding-generator/src/test/resources/mdsal715/openconfig-lldp-types.yang', 'binding/mdsal-binding-generator/src/test/resources/mdsal715/openconfig-lldp.yang', 'binding/mdsal-binding-generator/src/test/resources/mdsal715/openconfig-local-routing.yang', 'binding/mdsal-binding-generator/src/test/resources/mdsal715/openconfig-mclag.yang', 'binding/mdsal-binding-generator/src/test/resources/mdsal715/openconfig-messages.yang', 'binding/mdsal-binding-generator/src/test/resources/mdsal715/openconfig-mpls-igp.yang', 'binding/mdsal-binding-generator/src/test/resources/mdsal715/openconfig-mpls-ldp.yang', 'binding/mdsal-binding-generator/src/test/resources/mdsal715/openconfig-mpls-rsvp.yang', 'binding/mdsal-binding-generator/src/test/resources/mdsal715/openconfig-mpls-sr.yang', 'binding/mdsal-binding-generator/src/test/resources/mdsal715/openconfig-mpls-static.yang', 'binding/mdsal-binding-generator/src/test/resources/mdsal715/openconfig-mpls-te.yang', 'binding/mdsal-binding-generator/src/test/resources/mdsal715/openconfig-mpls-types.yang', 'binding/mdsal-binding-generator/src/test/resources/mdsal715/openconfig-mpls.yang', 'binding/mdsal-binding-generator/src/test/resources/mdsal715/openconfig-network-instance-types.yang', 'binding/mdsal-binding-generator/src/test/resources/mdsal715/openconfig-network-instance.yang', 'binding/mdsal-binding-generator/src/test/resources/mdsal715/openconfig-ospf-types.yang', 'binding/mdsal-binding-generator/src/test/resources/mdsal715/openconfig-ospfv2-area-interface.yang', 'binding/mdsal-binding-generator/src/test/resources/mdsal715/openconfig-ospfv2-area.yang', 'binding/mdsal-binding-generator/src/test/resources/mdsal715/openconfig-ospfv2-common.yang', 'binding/mdsal-binding-generator/src/test/resources/mdsal715/openconfig-ospfv2-ext.yang', 'binding/mdsal-binding-generator/src/test/resources/mdsal715/openconfig-ospfv2-lsdb.yang', 'binding/mdsal-binding-generator/src/test/resources/mdsal715/openconfig-ospfv2.yang', 'binding/mdsal-binding-generator/src/test/resources/mdsal715/openconfig-packet-match-types.yang', 'binding/mdsal-binding-generator/src/test/resources/mdsal715/openconfig-packet-match.yang', 'binding/mdsal-binding-generator/src/test/resources/mdsal715/openconfig-pf-forwarding-policies.yang', 'binding/mdsal-binding-generator/src/test/resources/mdsal715/openconfig-pf-interfaces.yang', 'binding/mdsal-binding-generator/src/test/resources/mdsal715/openconfig-pf-path-groups.yang', 'binding/mdsal-binding-generator/src/test/resources/mdsal715/openconfig-pim-types.yang', 'binding/mdsal-binding-generator/src/test/resources/mdsal715/openconfig-pim.yang', 'binding/mdsal-binding-generator/src/test/resources/mdsal715/openconfig-platform-ext.yang', 'binding/mdsal-binding-generator/src/test/resources/mdsal715/openconfig-platform-port.yang', 'binding/mdsal-binding-generator/src/test/resources/mdsal715/openconfig-platform-transceiver.yang', 'binding/mdsal-binding-generator/src/test/resources/mdsal715/openconfig-platform-types.yang', 'binding/mdsal-binding-generator/src/test/resources/mdsal715/openconfig-platform.yang', 'binding/mdsal-binding-generator/src/test/resources/mdsal715/openconfig-policy-forwarding.yang', 'binding/mdsal-binding-generator/src/test/resources/mdsal715/openconfig-policy-types.yang', 'binding/mdsal-binding-generator/src/test/resources/mdsal715/openconfig-port-group.yang', 'binding/mdsal-binding-generator/src/test/resources/mdsal715/openconfig-procmon.yang', 'binding/mdsal-binding-generator/src/test/resources/mdsal715/openconfig-rib-bgp-types.yang', 'binding/mdsal-binding-generator/src/test/resources/mdsal715/openconfig-rib-bgp.yang', 'binding/mdsal-binding-generator/src/test/resources/mdsal715/openconfig-routing-policy.yang', 'binding/mdsal-binding-generator/src/test/resources/mdsal715/openconfig-segment-routing.yang', 'binding/mdsal-binding-generator/src/test/resources/mdsal715/openconfig-spanning-tree-ext.yang', 'binding/mdsal-binding-generator/src/test/resources/mdsal715/openconfig-spanning-tree-types.yang', 'binding/mdsal-binding-generator/src/test/resources/mdsal715/openconfig-spanning-tree.yang', 'binding/mdsal-binding-generator/src/test/resources/mdsal715/openconfig-switch-resource.yang', 'binding/mdsal-binding-generator/src/test/resources/mdsal715/openconfig-system-ext.yang', 'binding/mdsal-binding-generator/src/test/resources/mdsal715/openconfig-system-logging.yang', 'binding/mdsal-binding-generator/src/test/resources/mdsal715/openconfig-system-management.yang', 'binding/mdsal-binding-generator/src/test/resources/mdsal715/openconfig-system-terminal.yang', 'binding/mdsal-binding-generator/src/test/resources/mdsal715/openconfig-system.yang', 'binding/mdsal-binding-generator/src/test/resources/mdsal715/openconfig-systemd-coredump.yang', 'binding/mdsal-binding-generator/src/test/resources/mdsal715/openconfig-tpcm.yang', 'binding/mdsal-binding-generator/src/test/resources/mdsal715/openconfig-transport-types.yang', 'binding/mdsal-binding-generator/src/test/resources/mdsal715/openconfig-types.yang', 'binding/mdsal-binding-generator/src/test/resources/mdsal715/openconfig-vlan-types.yang', 'binding/mdsal-binding-generator/src/test/resources/mdsal715/openconfig-vlan.yang', 'binding/mdsal-binding-generator/src/test/resources/mdsal715/openconfig-vxlan.yang', 'binding/mdsal-binding-generator/src/test/resources/mdsal715/openconfig-yang-types.yang'];mdsal;closed
649;aaa;649;102;['aaa-authn-api/pom.xml', 'aaa-cert/pom.xml', 'aaa-cli-jar/pom.xml', 'aaa-cli/pom.xml', 'aaa-encrypt-service/api/pom.xml', 'aaa-encrypt-service/impl/pom.xml', 'aaa-encrypt-service/pom.xml', 'aaa-filterchain/pom.xml', 'aaa-password-service/api/pom.xml', 'aaa-password-service/impl/pom.xml', 'aaa-password-service/pom.xml', 'aaa-shiro/api/pom.xml', 'aaa-shiro/impl/pom.xml', 'aaa-shiro/pom.xml', 'aaa-shiro/repackaged-shiro-jar/pom.xml', 'aaa-shiro/repackaged-shiro/pom.xml', 'artifacts/pom.xml', 'dependency-check/pom.xml', 'docs/pom.xml', 'features/features-aaa/pom.xml', 'features/odl-aaa-api/pom.xml', 'features/odl-aaa-cert/pom.xml', 'features/odl-aaa-cli/pom.xml', 'features/odl-aaa-encryption-service/pom.xml', 'features/odl-aaa-password-service/pom.xml', 'features/odl-aaa-shiro/pom.xml', 'features/odl-aaa-web/pom.xml', 'features/odl-apache-shiro/pom.xml', 'features/pom.xml', 'karaf/pom.xml', 'parent/pom.xml', 'pom.xml', 'web/api/pom.xml', 'web/impl-jetty/pom.xml', 'web/impl-osgi/pom.xml', 'web/pom.xml', 'web/servlet-api/pom.xml', 'web/servlet-jersey2/pom.xml', 'web/testutils/pom.xml'];aaa;closed
649;controller;649;182;['akka/pom.xml', 'akka/repackaged-akka-jar/pom.xml', 'akka/repackaged-akka/pom.xml', 'artifacts/pom.xml', 'benchmark/api/pom.xml', 'benchmark/dsbenchmark/pom.xml', 'benchmark/ntfbenchmark/pom.xml', 'benchmark/pom.xml', 'benchmark/rpcbenchmark/pom.xml', 'bundle-parent/pom.xml', 'docs/pom.xml', 'features/features-controller-experimental/pom.xml', 'features/features-controller-testing/pom.xml', 'features/features-controller/pom.xml', 'features/odl-clustering-test-app/pom.xml', 'features/odl-controller-akka/pom.xml', 'features/odl-controller-blueprint/pom.xml', 'features/odl-controller-exp-messagebus/pom.xml', 'features/odl-controller-exp-netty-config/pom.xml', 'features/odl-controller-mdsal-common/pom.xml', 'features/odl-controller-model-topology/pom.xml', 'features/odl-controller-scala/pom.xml', 'features/odl-jolokia/pom.xml', 'features/odl-mdsal-benchmark/pom.xml', 'features/odl-mdsal-broker-local/pom.xml', 'features/odl-mdsal-broker/pom.xml', 'features/odl-mdsal-clustering-commons/pom.xml', 'features/odl-mdsal-distributed-datastore/pom.xml', 'features/odl-mdsal-model-inventory/pom.xml', 'features/odl-mdsal-remoterpc-connector/pom.xml', 'features/odl-toaster/pom.xml', 'features/pom.xml', 'features/single-feature-parent/pom.xml', 'jolokia/pom.xml', 'karaf/pom.xml', 'model/model-inventory/pom.xml', 'model/model-topology/pom.xml', 'model/pom.xml', 'opendaylight/blueprint/pom.xml', 'opendaylight/config/netty-event-executor-config/pom.xml', 'opendaylight/config/netty-threadgroup-config/pom.xml', 'opendaylight/config/netty-timer-config/pom.xml', 'opendaylight/config/pom.xml', 'opendaylight/config/threadpool-config-api/pom.xml', 'opendaylight/config/threadpool-config-impl/pom.xml', 'opendaylight/md-sal/cds-access-api/pom.xml', 'opendaylight/md-sal/cds-access-client/pom.xml', 'opendaylight/md-sal/cds-dom-api/pom.xml', 'opendaylight/md-sal/cds-mgmt-api/pom.xml', 'opendaylight/md-sal/mdsal-it-base/pom.xml', 'opendaylight/md-sal/mdsal-it-parent/pom.xml', 'opendaylight/md-sal/messagebus-api/pom.xml', 'opendaylight/md-sal/messagebus-impl/pom.xml', 'opendaylight/md-sal/messagebus-spi/pom.xml', 'opendaylight/md-sal/messagebus-util/pom.xml', 'opendaylight/md-sal/parent/pom.xml', 'opendaylight/md-sal/pom.xml', 'opendaylight/md-sal/sal-akka-raft-example/pom.xml', 'opendaylight/md-sal/sal-akka-raft/pom.xml', 'opendaylight/md-sal/sal-akka-segmented-journal/pom.xml', 'opendaylight/md-sal/sal-binding-it/pom.xml', 'opendaylight/md-sal/sal-cluster-admin-api/pom.xml', 'opendaylight/md-sal/sal-cluster-admin-impl/pom.xml', 'opendaylight/md-sal/sal-clustering-commons/pom.xml', 'opendaylight/md-sal/sal-clustering-config/pom.xml', 'opendaylight/md-sal/sal-common-util/pom.xml', 'opendaylight/md-sal/sal-distributed-datastore/pom.xml', 'opendaylight/md-sal/sal-distributed-eos/pom.xml', 'opendaylight/md-sal/sal-dummy-distributed-datastore/pom.xml', 'opendaylight/md-sal/sal-remoterpc-connector/pom.xml', 'opendaylight/md-sal/sal-test-model/pom.xml', 'opendaylight/md-sal/samples/clustering-test-app/configuration/pom.xml', 'opendaylight/md-sal/samples/clustering-test-app/model/pom.xml', 'opendaylight/md-sal/samples/clustering-test-app/pom.xml', 'opendaylight/md-sal/samples/clustering-test-app/provider/pom.xml', 'opendaylight/md-sal/samples/pom.xml', 'opendaylight/md-sal/samples/toaster-consumer/pom.xml', 'opendaylight/md-sal/samples/toaster-it/pom.xml', 'opendaylight/md-sal/samples/toaster-provider/pom.xml', 'opendaylight/md-sal/samples/toaster/pom.xml', 'pom.xml'];controller;closed
649;aaa;649;68;['aaa-encrypt-service/pom.xml', 'aaa-password-service/pom.xml', 'aaa-shiro/pom.xml', 'aaa-shiro/repackaged-shiro-jar/pom.xml', 'artifacts/pom.xml', 'docs/pom.xml', 'features/features-aaa/pom.xml', 'features/odl-aaa-api/pom.xml', 'features/odl-aaa-cert/pom.xml', 'features/odl-aaa-cli/pom.xml', 'features/odl-aaa-encryption-service/pom.xml', 'features/odl-aaa-password-service/pom.xml', 'features/odl-aaa-shiro/pom.xml', 'features/odl-aaa-web/pom.xml', 'features/odl-apache-shiro/pom.xml', 'features/pom.xml', 'karaf/pom.xml', 'parent/pom.xml', 'pom.xml', 'web/pom.xml', 'web/testutils/pom.xml'];aaa;closed
9054;aaa;649;4;['docs/dev-guide.rst', 'docs/user-guide.rst'];aaa;closed
649;odlparent;649;4;['odlparent/pom.xml'];odlparent;closed
