Author;Project/Subproject;Reviewer;Change_Size;File Info;Subject;Status
14200;openstack/kayobe;14826;4;['ansible/ip-routing.yml', 'ansible/snat.yml'];openstack/kayobe;closed
14200;openstack/kayobe;22629;4;['ansible/ip-routing.yml', 'ansible/snat.yml'];openstack/kayobe;closed
14200;openstack/kayobe;16198;4;['ansible/ip-routing.yml', 'ansible/snat.yml'];openstack/kayobe;closed
7730;x/stackalytics;8863;8;['etc/default_data.json'];x/stackalytics;closed
14200;openstack/kayobe;23871;13;['ansible/kolla-ansible.yml', 'ansible/roles/kolla-ansible/defaults/main.yml', 'ansible/roles/kolla-ansible/templates/globals.yml.j2', 'ansible/roles/kolla-ansible/tests/test-extras.yml', 'releasenotes/notes/inspector-dhcp-range-netmask-bb46eb7df77587a4.yaml'];openstack/kayobe;closed
14200;openstack/kayobe;14826;13;['ansible/kolla-ansible.yml', 'ansible/roles/kolla-ansible/defaults/main.yml', 'ansible/roles/kolla-ansible/templates/globals.yml.j2', 'ansible/roles/kolla-ansible/tests/test-extras.yml', 'releasenotes/notes/inspector-dhcp-range-netmask-bb46eb7df77587a4.yaml'];openstack/kayobe;closed
14200;openstack/kayobe;22629;13;['ansible/kolla-ansible.yml', 'ansible/roles/kolla-ansible/defaults/main.yml', 'ansible/roles/kolla-ansible/templates/globals.yml.j2', 'ansible/roles/kolla-ansible/tests/test-extras.yml', 'releasenotes/notes/inspector-dhcp-range-netmask-bb46eb7df77587a4.yaml'];openstack/kayobe;closed
14200;openstack/kayobe;16198;13;['ansible/kolla-ansible.yml', 'ansible/roles/kolla-ansible/defaults/main.yml', 'ansible/roles/kolla-ansible/templates/globals.yml.j2', 'ansible/roles/kolla-ansible/tests/test-extras.yml', 'releasenotes/notes/inspector-dhcp-range-netmask-bb46eb7df77587a4.yaml'];openstack/kayobe;closed
5314;openstack/cinder-specs;22348;10;['ansible/kolla-ansible.yml', 'ansible/roles/kolla-ansible/defaults/main.yml', 'ansible/roles/kolla-ansible/templates/globals.yml.j2', 'ansible/roles/kolla-ansible/tests/test-extras.yml', 'releasenotes/notes/inspector-dhcp-range-netmask-bb46eb7df77587a4.yaml'];openstack/cinder-specs;new
5314;openstack/cinder-specs;13425;10;['ansible/kolla-ansible.yml', 'ansible/roles/kolla-ansible/defaults/main.yml', 'ansible/roles/kolla-ansible/templates/globals.yml.j2', 'ansible/roles/kolla-ansible/tests/test-extras.yml', 'releasenotes/notes/inspector-dhcp-range-netmask-bb46eb7df77587a4.yaml'];openstack/cinder-specs;new
