Author,Project/Subproject,Change_Size,Final Reviewers,All Reviewers,File Info,Subject,Status
14200,openstack/kayobe,4,"[14826, 22629, 16198]","[14826, 16198, 22348, 22629]","['ansible/ip-routing.yml', 'ansible/snat.yml']",Limit ip-routing and snat to seed hosts only,closed
7730,x/stackalytics,8,[8863],"[8863, 22348]",['etc/default_data.json'],update compagny association sahid.ferdjaoui,closed
14200,openstack/kayobe,13,"[23871, 14826, 22629, 16198]","[14826, 16198, 22348, 22629, 23871]","['ansible/kolla-ansible.yml', 'ansible/roles/kolla-ansible/defaults/main.yml', 'ansible/roles/kolla-ansible/templates/globals.yml.j2', 'ansible/roles/kolla-ansible/tests/test-extras.yml', 'releasenotes/notes/inspector-dhcp-range-netmask-bb46eb7df77587a4.yaml']",Add support for Ironic inspection through DHCP-relay,closed
5314,openstack/cinder-specs,10,"[22348, 13425]","[22348, 13425]","['ansible/kolla-ansible.yml', 'ansible/roles/kolla-ansible/defaults/main.yml', 'ansible/roles/kolla-ansible/templates/globals.yml.j2', 'ansible/roles/kolla-ansible/tests/test-extras.yml', 'releasenotes/notes/inspector-dhcp-range-netmask-bb46eb7df77587a4.yaml']",Update redirects,new
27900,openstack/openstacksdk,423,"[22348, 16708]","[22348, 16708]","['ansible/kolla-ansible.yml', 'ansible/roles/kolla-ansible/defaults/main.yml', 'ansible/roles/kolla-ansible/templates/globals.yml.j2', 'ansible/roles/kolla-ansible/tests/test-extras.yml', 'releasenotes/notes/inspector-dhcp-range-netmask-bb46eb7df77587a4.yaml']",Rework caching,new
14200,openstack/kolla-ansible,14,"[22348, 32029, 33855, 23871, 30568, 14826, 30491, 16198]","[22348, 32029, 33855, 23871, 30568, 14826, 30491, 16198]","['ansible/kolla-ansible.yml', 'ansible/roles/kolla-ansible/defaults/main.yml', 'ansible/roles/kolla-ansible/templates/globals.yml.j2', 'ansible/roles/kolla-ansible/tests/test-extras.yml', 'releasenotes/notes/inspector-dhcp-range-netmask-bb46eb7df77587a4.yaml']",Fix usage of Subject Alternative Name for TLS,new
6926,openstack/tripleo-heat-templates,23,"[14985, 14250, 8833]","[8833, 14250, 14985, 22348, 23181]","['deployment/heat/heat-base-puppet.yaml', 'deployment/keystone/keystone-container-puppet.yaml', 'deployment/nova/nova-base-puppet.yaml']",[Victoria-Only] Fix hiera condition for cache_backend,closed
34255,starlingx/openstack-armada-app,4,"[33390, 33594, 15435]","[15435, 22348, 33390, 33594]",['stx-openstack-helm/stx-openstack-helm/manifests/manifest.yaml'],Modify description of IRQ metadata on OpenStack UI,closed
28410,starlingx/tools,4,"[28410, 15435]","[15435, 22348, 28410]",['toCOPY/builder-constraints.txt'],Lock platformdirs to version 2.4.0 to retain python 2.7 support,closed
33631,starlingx/distcloud-client,166,"[22348, 33631, 24, 15435, 28459, 30852]","[22348, 33631, 24, 15435, 28459, 30852]",['toCOPY/builder-constraints.txt'],Add debian package folder for distcloud-client,new
