Author;Project/Subproject;Reviewer;Change_Size;File Info;Subject;Status
1000232;device_mediatek_sepolicy_vndr;1000232;1;['bsp/non_plat/hal_drm_widevine.te'];device_mediatek_sepolicy_vndr;closed
1000232;device_mediatek_sepolicy_vndr;1000232;1;['bsp/non_plat/hal_drm_widevine.te'];device_mediatek_sepolicy_vndr;closed
1000126;manifest;1000126;2;['snippets/pixel-caf.xml'];manifest;closed
1000000;frameworks_base;1000000;73;['packages/SettingsLib/res/values/strings_ba.xml', 'packages/SettingsLib/res/values/custom_strings.xml', 'packages/SettingsLib/res/values/custom_arrays.xml', 'packages/SettingsLib/res/values/strings.xml'];frameworks_base;closed
1000463;frameworks_base;1000000;51;['core/java/android/bluetooth/le/ScanResult.java'];frameworks_base;closed
1000463;frameworks_base;1000000;13;['core/java/android/bluetooth/BluetoothCodecConfig.java'];frameworks_base;closed
1000463;frameworks_base;1000000;4;['core/java/android/bluetooth/BluetoothCodecConfig.java'];frameworks_base;closed
1000463;frameworks_base;1000000;7;['core/java/android/bluetooth/BluetoothHeadset.java'];frameworks_base;closed
1000463;frameworks_base;1000000;39;['core/java/android/bluetooth/BluetoothDevice.java'];frameworks_base;closed
1000463;frameworks_base;1000000;188;['core/java/android/bluetooth/BluetoothClass.java', 'packages/SettingsLib/src/com/android/settingslib/bluetooth/CachedBluetoothDevice.java', 'packages/SettingsLib/src/com/android/settingslib/bluetooth/BluetoothEventManager.java', 'packages/SettingsLib/src/com/android/settingslib/bluetooth/BluetoothUtils.java', 'packages/SettingsLib/res/values/strings.xml', 'packages/SettingsLib/res/drawable/ic_adv_audio.xml'];frameworks_base;closed
1000463;frameworks_base;1000000;264;['packages/SettingsLib/res/values/strings_ba.xml', 'packages/SettingsLib/src/com/android/settingslib/bluetooth/LocalBluetoothProfileManager.java', 'core/java/android/bluetooth/BluetoothProfile.java', 'packages/SettingsLib/src/com/android/settingslib/bluetooth/CachedBluetoothDevice.java', 'packages/SettingsLib/src/com/android/settingslib/bluetooth/BluetoothEventManager.java', 'core/java/android/bluetooth/BluetoothAdapter.java'];frameworks_base;closed
1000463;frameworks_base;1000000;5;['core/java/android/bluetooth/BluetoothAdapter.java'];frameworks_base;closed
1000463;frameworks_base;1000000;4;['core/java/android/bluetooth/BluetoothAdapter.java'];frameworks_base;closed
1000463;frameworks_base;1000000;67;['core/java/android/bluetooth/BluetoothDeviceGroup.java', 'core/java/android/bluetooth/BluetoothAdapter.java'];frameworks_base;closed
1000463;frameworks_base;1000000;52;['packages/SettingsLib/src/com/android/settingslib/bluetooth/DeviceGroupClientProfile.java', 'core/java/android/bluetooth/BluetoothDeviceGroup.java'];frameworks_base;closed
1000463;frameworks_base;1000000;14;['core/java/android/bluetooth/BluetoothDevice.java'];frameworks_base;closed
1000463;frameworks_base;1000000;97;['core/java/android/bluetooth/BluetoothProfile.java', 'core/java/android/bluetooth/BluetoothAdapter.java', 'services/core/java/com/android/server/BluetoothModeChangeHelper.java'];frameworks_base;closed
1000463;frameworks_base;1000000;1570;['packages/SettingsLib/src/com/android/settingslib/bluetooth/DeviceGroupClientProfile.java', 'core/java/android/bluetooth/BluetoothDeviceGroup.java', 'core/java/android/bluetooth/DeviceGroup.java', 'core/java/android/bluetooth/BluetoothGroupCallback.java', 'packages/SettingsLib/src/com/android/settingslib/bluetooth/LocalBluetoothProfileManager.java', 'core/java/android/bluetooth/BluetoothProfile.java', 'packages/SettingsLib/src/com/android/settingslib/bluetooth/BluetoothEventManager.java', 'packages/SettingsLib/src/com/android/settingslib/bluetooth/BluetoothCallback.java', 'core/java/android/bluetooth/BluetoothAdapter.java'];frameworks_base;closed
1000463;frameworks_base;1000000;8;['core/java/android/bluetooth/BluetoothDevice.java', 'core/java/android/bluetooth/BluetoothHeadset.java'];frameworks_base;closed
1000463;frameworks_base;1000000;78;['core/java/android/bluetooth/le/PeriodicAdvertisingManager.java', 'core/java/android/bluetooth/le/PeriodicAdvertisingCallback.java'];frameworks_base;closed
1000463;frameworks_base;1000000;17;['core/java/android/bluetooth/BluetoothCodecConfig.java'];frameworks_base;closed
1000463;frameworks_base;1000000;8;['media/java/android/media/AudioSystem.java'];frameworks_base;closed
1000463;frameworks_base;1000000;45;['packages/SettingsLib/src/com/android/settingslib/bluetooth/BluetoothEventManager.java', 'packages/SettingsLib/src/com/android/settingslib/bluetooth/BluetoothCallback.java'];frameworks_base;closed
1000463;frameworks_base;1000000;3;['services/core/java/com/android/server/audio/AudioService.java'];frameworks_base;closed
1000463;frameworks_base;1000000;15;['services/core/java/com/android/server/audio/AudioDeviceInventory.java'];frameworks_base;closed
1000463;frameworks_base;1000000;1;['services/core/java/com/android/server/audio/AudioDeviceInventory.java'];frameworks_base;closed
1000463;frameworks_base;1000000;10;['services/core/java/com/android/server/audio/BtHelper.java'];frameworks_base;closed
1000463;frameworks_base;1000000;4;['core/java/android/bluetooth/le/AdvertiseData.java'];frameworks_base;closed
1000463;frameworks_base;1000000;2;['core/java/android/bluetooth/BluetoothHeadset.java'];frameworks_base;closed
1000463;frameworks_base;1000000;39;['packages/SettingsLib/res/values/arrays.xml', 'packages/SettingsLib/src/com/android/settingslib/bluetooth/A2dpProfile.java', 'packages/SettingsLib/tests/robotests/src/com/android/settingslib/bluetooth/A2dpProfileTest.java', 'packages/SettingsLib/res/values-en-rGB/arrays.xml', 'packages/SettingsLib/res/values/custom_arrays.xml', 'packages/SettingsLib/res/values/cm_arrays.xml'];frameworks_base;closed
