Author;Project/Subproject;Reviewer;Change_Size;File Info;Subject;Closed At;status
1266229;Shopify/active_shipping;249488;5;['CHANGELOG.md', 'lib/active_shipping/version.rb'];Shopify/active_shipping;2017-07-21T20:43:28Z;closed
249488;Shopify/active_shipping;84159;60;['CHANGELOG.md', 'CONTRIBUTING.md', 'README.md', 'active_shipping.gemspec', 'lib/active_shipping/version.rb'];Shopify/active_shipping;2017-05-30T15:46:20Z;closed
249488;Shopify/active_shipping;624456;17;['lib/active_shipping/location.rb', 'test/unit/location_test.rb', 'lib/active_shipping/location.rb', 'test/unit/location_test.rb'];Shopify/active_shipping;2017-05-30T13:28:50Z;closed
249488;Shopify/active_shipping;150352;2;['lib/active_shipping/version.rb'];Shopify/active_shipping;2017-05-29T13:22:07Z;closed
249488;Shopify/active_shipping;624456;19;['active_shipping.gemspec', 'lib/active_shipping/package.rb', 'lib/active_shipping/package_item.rb', 'test/unit/package_item_test.rb', 'lib/active_shipping/carriers/canada_post.rb', 'lib/active_shipping/carriers/canada_post_pws.rb', 'lib/active_shipping/package.rb', 'lib/active_shipping/package_item.rb'];Shopify/active_shipping;2017-05-25T17:47:25Z;closed
26002;Shopify/active_shipping;13390421;8;['CHANGELOG.md', 'lib/active_shipping/version.rb'];Shopify/active_shipping;2017-05-15T14:49:07Z;closed
19192189;Shopify/response_bank;47848;201;['Gemfile.lock', 'README.md', 'lib/response_bank.rb', 'lib/response_bank/middleware.rb', 'test/response_cache_handler_test.rb'];Shopify/response_bank;2021-08-04T12:54:09Z;closed
19192189;Shopify/response_bank;561827;201;['Gemfile.lock', 'README.md', 'lib/response_bank.rb', 'lib/response_bank/middleware.rb', 'test/response_cache_handler_test.rb'];Shopify/response_bank;2021-08-04T12:54:09Z;closed
249488;Shopify/response_bank;6456191;6;['lib/response_bank.rb', 'lib/response_bank/response_cache_handler.rb'];Shopify/response_bank;2020-03-11T18:44:47Z;closed
249488;Shopify/response_bank;8122246;14;['lib/response_bank.rb', 'lib/response_bank/middleware.rb', 'lib/response_bank/response_cache_handler.rb'];Shopify/response_bank;2020-03-11T17:26:34Z;closed
