Author;Project/Subproject;Reviewer;Change_Size;File Info;Subject;Status
586;dci-rhel-agent;405;4;['dci-rhel-agent/dci-rhel-agent.yml'];dci-rhel-agent;closed
586;ansible-role-dci-rhel-certification;405;9;['tasks/main.yml', 'meta/main.yml', 'ansible-role-dci-rhel-certification.spec', 'molecule/default/converge.yml', '.ansible-lint', 'requirements.txt', 'tox.ini'];ansible-role-dci-rhel-certification;closed
586;ansible-role-dci-rhel-certification;166;9;['tasks/main.yml', 'meta/main.yml', 'ansible-role-dci-rhel-certification.spec', 'molecule/default/converge.yml', '.ansible-lint', 'requirements.txt', 'tox.ini'];ansible-role-dci-rhel-certification;closed
800;dci-openshift-app-agent;667;8;['plays/scripts/get-logs'];dci-openshift-app-agent;closed
800;dci-openshift-app-agent;789;8;['plays/scripts/get-logs'];dci-openshift-app-agent;closed
405;dci-ui;405;776;['src/analytics/TasksDurationPerJob/TasksDurationPerJobPage.tsx', 'src/analytics/TasksDurationPerJob/tasksDurationPerJob.test.ts', 'src/analytics/TasksDurationPerJob/tasksDurationPerJob.ts', 'src/analytics/TasksDurationPerJob/tasks_per_job.png', 'src/types.ts'];dci-ui;closed
667;dci-openshift-agent;648;65;['src/analytics/TasksDurationPerJob/TasksDurationPerJobPage.tsx', 'src/analytics/TasksDurationPerJob/tasksDurationPerJob.test.ts', 'src/analytics/TasksDurationPerJob/tasksDurationPerJob.ts', 'src/analytics/TasksDurationPerJob/tasks_per_job.png', 'src/types.ts'];dci-openshift-agent;new
667;dci-openshift-agent;458;65;['src/analytics/TasksDurationPerJob/TasksDurationPerJobPage.tsx', 'src/analytics/TasksDurationPerJob/tasksDurationPerJob.test.ts', 'src/analytics/TasksDurationPerJob/tasksDurationPerJob.ts', 'src/analytics/TasksDurationPerJob/tasks_per_job.png', 'src/types.ts'];dci-openshift-agent;new
667;dci-openshift-agent;630;65;['src/analytics/TasksDurationPerJob/TasksDurationPerJobPage.tsx', 'src/analytics/TasksDurationPerJob/tasksDurationPerJob.test.ts', 'src/analytics/TasksDurationPerJob/tasksDurationPerJob.ts', 'src/analytics/TasksDurationPerJob/tasks_per_job.png', 'src/types.ts'];dci-openshift-agent;new
724;dci-openshift-agent;789;15;['README.md', 'roles/oc-setup/tasks/config.yml', 'roles/oc-setup/tasks/install.yml'];dci-openshift-agent;closed
724;dci-openshift-agent;800;15;['README.md', 'roles/oc-setup/tasks/config.yml', 'roles/oc-setup/tasks/install.yml'];dci-openshift-agent;closed
800;dci-openshift-agent;938;16;['dci-openshift-agent.yml', 'plays/get-logs.yml', 'plays/upload-log.yml'];dci-openshift-agent;closed
800;dci-openshift-agent;724;16;['dci-openshift-agent.yml', 'plays/get-logs.yml', 'plays/upload-log.yml'];dci-openshift-agent;closed
800;dci-openshift-agent;800;16;['dci-openshift-agent.yml', 'plays/get-logs.yml', 'plays/upload-log.yml'];dci-openshift-agent;closed
938;dci-openshift-app-agent;800;13;['roles/pyxis/tasks/submit_test_results.yml', 'roles/pyxis/templates/test_results.json.j2'];dci-openshift-app-agent;closed
724;dci-openshift-agent;724;113;['README.md', 'group_vars/all', 'plays/tests.yml', 'roles/redhat-tests/tasks/csi-tests.yml', 'roles/redhat-tests/tasks/main.yml', 'roles/redhat-tests/tasks/conformance.yml', 'roles/redhat-tests/README.md', 'roles/ocp-on-libvirt/templates/hosts.j2', 'plays/cnf-tests-mirror.yml', 'roles/redhat-tests/defaults/main.yml'];dci-openshift-agent;closed
