Author;Project/Subproject;Reviewer;Change_Size;File Info;Subject;Closed At;status
16359713;tensorflow/tensorflow;323199;32;['RELEASE.md'];tensorflow/tensorflow;2022-04-01T17:52:50Z;closed
76823502;tensorflow/tensorflow;323199;2;['README.md'];tensorflow/tensorflow;2022-04-01T16:01:03Z;closed
70280935;tensorflow/tensorflow;7523982;47;['tensorflow/compiler/xla/service/gpu/tests/BUILD', 'tensorflow/compiler/xla/service/gpu/tests/BUILD', 'tensorflow/compiler/xla/service/gpu/tests/gpu_atomic_test.cc', 'tensorflow/compiler/xla/service/gpu/tests/gpu_kernel_tiling_test.cc', 'tensorflow/compiler/mlir/tfrt/transforms/lmhlo_to_gpu/kernel_ops_pattern.cc'];tensorflow/tensorflow;2022-04-05T13:01:33Z;closed
27521767;tensorflow/tensorflow;38085909;326;['tensorflow/core/graph/mkl_graph_util.h', 'tensorflow/core/graph/mkl_testlib.cc', 'tensorflow/core/graph/mkl_testlib.h', 'tensorflow/core/kernels/mkl/BUILD', 'tensorflow/core/kernels/mkl/mkl_softmax_op.cc', 'tensorflow/core/kernels/mkl/onednn_nn_ops_benchmark.cc', 'tensorflow/core/ops/mkl_nn_ops.cc', 'tensorflow/core/ops/nn_ops.cc'];tensorflow/tensorflow;2022-03-28T21:32:33Z;closed
