Author;Project/Subproject;Reviewer;Change_Size;File Info;Subject;Closed At;status
10837495;twbs/icons;98681;41;['bootstrap-icons.svg', 'docs/content/icons/ticket-perforated-fill.md', 'docs/content/icons/ticket-perforated.md', 'font/bootstrap-icons.css', 'font/bootstrap-icons.json', 'font/bootstrap-icons.scss', 'font/index.html', 'icons/ticket-perforated-fill.svg', 'icons/ticket-perforated.svg', 'docs/assets/js/application.js', 'docs/layouts/icons/single.html'];twbs/icons;2021-12-03T20:11:42Z;closed
49699333;twbs/icons;349621;84;['package-lock.json', 'package.json'];twbs/icons;2021-12-01T12:19:53Z;closed
49699333;twbs/icons;349621;214;['package-lock.json', 'package.json'];twbs/icons;2021-12-01T12:19:56Z;closed
49699333;twbs/icons;349621;32;['package-lock.json', 'package.json'];twbs/icons;2021-12-01T12:19:57Z;closed
49699333;twbs/icons;349621;16;['package-lock.json', 'package.json'];twbs/icons;2021-12-01T12:19:57Z;closed
49699333;twbs/icons;349621;46;['package-lock.json', 'package.json'];twbs/icons;2021-12-01T12:19:57Z;closed
49699333;twbs/icons;349621;16;['package-lock.json', 'package.json'];twbs/icons;2021-12-01T12:19:57Z;closed
349621;twbs/icons;98681;25;['.stylelintrc', 'docs/assets/scss/_syntax.scss', 'package-lock.json', 'package.json', 'build/build-pages.js', 'build/build-svgs.js', 'package-lock.json', 'package.json'];twbs/icons;2021-12-01T12:19:04Z;closed
349621;twbs/icons;98681;191;['package-lock.json', 'package.json'];twbs/icons;2021-11-08T17:05:00Z;closed
349621;twbs/icons;98681;26;['docs/assets/scss/docs.scss', 'docs/layouts/partials/stylesheet.html'];twbs/icons;2021-11-01T04:55:50Z;closed
895831;twbs/bootstrap;2890570;43;['js/src/offcanvas.js', 'scss/_offcanvas.scss', 'site/content/docs/5.1/components/navs-tabs.md', '.cspell.json', 'site/content/docs/5.1/components/carousel.md', 'js/src/offcanvas.js', 'scss/_offcanvas.scss', 'js/tests/unit/offcanvas.spec.js', 'js/tests/unit/offcanvas.spec.js'];twbs/bootstrap;None;open
895831;twbs/bootstrap;22406063;43;['js/src/offcanvas.js', 'scss/_offcanvas.scss', 'site/content/docs/5.1/components/navs-tabs.md', '.cspell.json', 'site/content/docs/5.1/components/carousel.md', 'js/src/offcanvas.js', 'scss/_offcanvas.scss', 'js/tests/unit/offcanvas.spec.js', 'js/tests/unit/offcanvas.spec.js'];twbs/bootstrap;None;open
22406063;twbs/bootstrap;349621;5;['js/src/dom/event-handler.js', 'js/tests/helpers/fixture.js', 'js/tests/unit/offcanvas.spec.js', 'js/tests/unit/util/backdrop.spec.js', 'js/src/dom/event-handler.js'];twbs/bootstrap;None;open
