Author;Project/Subproject;Reviewer;Change_Size;File Info;Subject;Status
1000038;Unlegacy-Android/android_device_samsung_espresso;1000038;114;['audio/audio_hw.c', 'audio/tiny_hw_espresso10wifi.xml', 'audio/tiny_hw_espressowifi.xml', 'rootdir/init.espresso.rc'];Unlegacy-Android/android_device_samsung_espresso;closed
1000038;Unlegacy-Android/android_device_samsung_espresso;1000038;114;['audio/audio_hw.c', 'audio/tiny_hw_espresso10wifi.xml', 'audio/tiny_hw_espressowifi.xml', 'rootdir/init.espresso.rc'];Unlegacy-Android/android_device_samsung_espresso;closed
1000038;Unlegacy-Android/android_device_samsung_espresso3g;1000038;113;['audio/tiny_hw_espresso.xml', 'audio/tiny_hw_espresso10.xml'];Unlegacy-Android/android_device_samsung_espresso3g;closed
1000038;Unlegacy-Android/android_device_samsung_espresso3g;1000038;113;['audio/tiny_hw_espresso.xml', 'audio/tiny_hw_espresso10.xml'];Unlegacy-Android/android_device_samsung_espresso3g;closed
1000038;Unlegacy-Android/android_device_samsung_espresso;1000038;114;['audio/audio_hw.c', 'audio/tiny_hw_espresso10wifi.xml', 'audio/tiny_hw_espressowifi.xml', 'rootdir/init.espresso.rc'];Unlegacy-Android/android_device_samsung_espresso;closed
1000038;Unlegacy-Android/android_kernel_ti_omap4;1000038;96;['arch/arm/mach-omap2/board-espresso-connector.c', 'drivers/input/keyboard/sec_dock_keyboard.c', 'drivers/misc/30pin_con.c'];Unlegacy-Android/android_kernel_ti_omap4;closed
1000038;Unlegacy-Android/android_device_samsung_espresso3g;1000038;113;['audio/tiny_hw_espresso.xml', 'audio/tiny_hw_espresso10.xml'];Unlegacy-Android/android_device_samsung_espresso3g;closed
1000217;Unlegacy-Android/android_kernel_nvidia_tegra3;1000217;212;['audio/tiny_hw_espresso.xml', 'audio/tiny_hw_espresso10.xml'];Unlegacy-Android/android_kernel_nvidia_tegra3;new
1000217;Unlegacy-Android/android_kernel_nvidia_tegra3;1000217;236;['audio/tiny_hw_espresso.xml', 'audio/tiny_hw_espresso10.xml'];Unlegacy-Android/android_kernel_nvidia_tegra3;new
1000223;Unlegacy-Android/android_kernel_nvidia_tegra3;1000223;4;['drivers/video/backlight/pwm_bl.c'];Unlegacy-Android/android_kernel_nvidia_tegra3;closed
1000038;Unlegacy-Android/android_bionic;1000038;0;['libc/zoneinfo/tzdata'];Unlegacy-Android/android_bionic;closed
1000002;Unlegacy-Android/android_kernel_ti_omap4;1000038;4;['arch/arm/plat-omap/android-display.c'];Unlegacy-Android/android_kernel_ti_omap4;closed
1000002;Unlegacy-Android/android_kernel_ti_omap4;1000002;8;['arch/arm/configs/espresso_defconfig', 'arch/arm/configs/tuna_defconfig', 'arch/arm/configs/espresso_kitkat_defconfig', 'arch/arm/configs/tuna_kitkat_defconfig'];Unlegacy-Android/android_kernel_ti_omap4;closed
1000002;Unlegacy-Android/android_kernel_ti_omap4;1000038;8;['arch/arm/configs/espresso_defconfig', 'arch/arm/configs/tuna_defconfig', 'arch/arm/configs/espresso_kitkat_defconfig', 'arch/arm/configs/tuna_kitkat_defconfig'];Unlegacy-Android/android_kernel_ti_omap4;closed
1000002;Unlegacy-Android/android_kernel_ti_omap4;1000002;2;['drivers/gpu/ion/omap/omap_tiler_heap.c'];Unlegacy-Android/android_kernel_ti_omap4;closed
1000002;Unlegacy-Android/android_kernel_ti_omap4;1000038;2;['drivers/gpu/ion/omap/omap_tiler_heap.c'];Unlegacy-Android/android_kernel_ti_omap4;closed
1000002;Unlegacy-Android/android_kernel_ti_omap4;1000002;45;['drivers/rpmsg/rpmsg_omx.c', 'include/linux/rpmsg_omx.h'];Unlegacy-Android/android_kernel_ti_omap4;closed
1000002;Unlegacy-Android/android_kernel_ti_omap4;1000038;45;['drivers/rpmsg/rpmsg_omx.c', 'include/linux/rpmsg_omx.h'];Unlegacy-Android/android_kernel_ti_omap4;closed
1000002;Unlegacy-Android/android_kernel_ti_omap4;1000002;2;['drivers/rpmsg/rpmsg_omx.c'];Unlegacy-Android/android_kernel_ti_omap4;closed
1000002;Unlegacy-Android/android_kernel_ti_omap4;1000038;2;['drivers/rpmsg/rpmsg_omx.c'];Unlegacy-Android/android_kernel_ti_omap4;closed
1000003;Unlegacy-Android/android_hardware_ti_omap4;1000002;9;['drivers/rpmsg/rpmsg_omx.c'];Unlegacy-Android/android_hardware_ti_omap4;new
1000003;Unlegacy-Android/android_hardware_ti_omap4;1000038;9;['drivers/rpmsg/rpmsg_omx.c'];Unlegacy-Android/android_hardware_ti_omap4;new
1000003;Unlegacy-Android/android_hardware_ti_omap4;1000037;9;['drivers/rpmsg/rpmsg_omx.c'];Unlegacy-Android/android_hardware_ti_omap4;new
