Author,Project/Subproject,Change_Size,Final Reviewers,All Reviewers,File Info,Subject,Status
1000038,Unlegacy-Android/android_device_samsung_espresso,114,[1000038],[1000038],"['audio/audio_hw.c', 'audio/tiny_hw_espresso10wifi.xml', 'audio/tiny_hw_espressowifi.xml', 'rootdir/init.espresso.rc']",Changes for working lineout via the keyboard- and desktop dock,closed
1000038,Unlegacy-Android/android_device_samsung_espresso,114,[1000038],[1000038],"['audio/audio_hw.c', 'audio/tiny_hw_espresso10wifi.xml', 'audio/tiny_hw_espressowifi.xml', 'rootdir/init.espresso.rc']",Changes for working lineout via the keyboard- and desktop dock,closed
1000038,Unlegacy-Android/android_device_samsung_espresso3g,113,[1000038],[1000038],"['audio/tiny_hw_espresso.xml', 'audio/tiny_hw_espresso10.xml']",Fixed the lineout via the keyboard- and desktop dock,closed
1000038,Unlegacy-Android/android_device_samsung_espresso3g,113,[1000038],[1000038],"['audio/tiny_hw_espresso.xml', 'audio/tiny_hw_espresso10.xml']",Fixed the lineout via the keyboard- and desktop dock,closed
1000038,Unlegacy-Android/android_device_samsung_espresso,114,[1000038],"[1000002, 1000038]","['audio/audio_hw.c', 'audio/tiny_hw_espresso10wifi.xml', 'audio/tiny_hw_espressowifi.xml', 'rootdir/init.espresso.rc']",Changes for working lineout via the keyboard- and desktop dock,closed
1000038,Unlegacy-Android/android_kernel_ti_omap4,96,[1000038],"[1000002, 1000038]","['arch/arm/mach-omap2/board-espresso-connector.c', 'drivers/input/keyboard/sec_dock_keyboard.c', 'drivers/misc/30pin_con.c']",Fix driver crash fix for the keyboard- and desktop dock,closed
1000038,Unlegacy-Android/android_device_samsung_espresso3g,113,[1000038],"[1000002, 1000038]","['audio/tiny_hw_espresso.xml', 'audio/tiny_hw_espresso10.xml']",Fixed the lineout via the keyboard- and desktop dock,closed
1000217,Unlegacy-Android/android_kernel_nvidia_tegra3,212,[1000217],[1000217],"['audio/tiny_hw_espresso.xml', 'audio/tiny_hw_espresso10.xml']",video: tegra: host: Remove 32 sync point limit,new
1000217,Unlegacy-Android/android_kernel_nvidia_tegra3,236,[1000217],[1000217],"['audio/tiny_hw_espresso.xml', 'audio/tiny_hw_espresso10.xml']",video: tegra: host: Clean up BUG_ON()s and resources,new
1000223,Unlegacy-Android/android_kernel_nvidia_tegra3,4,[1000223],"[1000002, 1000223]",['drivers/video/backlight/pwm_bl.c'],pwm_bl: add missing EDP framework ifdefs,closed
1000038,Unlegacy-Android/android_bionic,0,[1000038],[1000038],['libc/zoneinfo/tzdata'],Update Android to tzdb 2020a [N-MR2 branch],closed
1000002,Unlegacy-Android/android_kernel_ti_omap4,4,[1000038],[1000038],['arch/arm/plat-omap/android-display.c'],OMAP: android-display: update tiler1d slot size calculation for newer DDKs,closed
1000002,Unlegacy-Android/android_kernel_ti_omap4,8,"[1000002, 1000038]","[1000002, 1000003, 1000038]","['arch/arm/configs/espresso_defconfig', 'arch/arm/configs/tuna_defconfig', 'arch/arm/configs/espresso_kitkat_defconfig', 'arch/arm/configs/tuna_kitkat_defconfig']","tuna, espresso: disable OMAPLFB, enable SW_SYNC",closed
1000002,Unlegacy-Android/android_kernel_ti_omap4,2,"[1000002, 1000038]","[1000002, 1000003, 1000038]",['drivers/gpu/ion/omap/omap_tiler_heap.c'],ion: omap: [TEMP] Force page-aligned Tiler allocations,closed
1000002,Unlegacy-Android/android_kernel_ti_omap4,45,"[1000002, 1000038]","[1000002, 1000003, 1000038]","['drivers/rpmsg/rpmsg_omx.c', 'include/linux/rpmsg_omx.h']",omap: rpmsg-omx: Switch to new PVR API,closed
1000002,Unlegacy-Android/android_kernel_ti_omap4,2,"[1000002, 1000038]","[1000002, 1000003, 1000038]",['drivers/rpmsg/rpmsg_omx.c'],"Revert ""rpmsg: omx: return correct handle count in 'OMX_IOCPVRREGISTER'""",closed
1000003,Unlegacy-Android/android_hardware_ti_omap4,9,"[1000002, 1000038, 1000037]","[1000002, 1000038, 1000037]",['drivers/rpmsg/rpmsg_omx.c'],pvr-km/init: Load PVR kernel modules from root,new
1000003,Unlegacy-Android/android_hardware_ti_omap4,12,"[1000002, 1000038, 1000037]","[1000002, 1000038, 1000037]",['drivers/rpmsg/rpmsg_omx.c'],"Revert ""domx: add board config for LOW_SECURE_HEAP""",new
1000003,Unlegacy-Android/android_hardware_ti_omap4,4,"[1000002, 1000038, 1000037]","[1000002, 1000038, 1000037]",['drivers/rpmsg/rpmsg_omx.c'],libtiutils: [TEMP] LOCAL_CLANG_CFLAGS for Pie building,new
1000003,Unlegacy-Android/android_hardware_ti_omap4,6,"[1000002, 1000038, 1000037]","[1000002, 1000038, 1000037]",['drivers/rpmsg/rpmsg_omx.c'],tf_daemon: [TEMP] LOCAL_CLANG_CFLAGS for Pie building,new
1000003,Unlegacy-Android/android_hardware_ti_omap4,8,"[1000002, 1000038, 1000037]","[1000002, 1000038, 1000037]",['drivers/rpmsg/rpmsg_omx.c'],domx: [TEMP] LOCAL_[CLANG_]CFLAGS for Pie building,new
1000003,Unlegacy-Android/android_hardware_ti_omap4,4,"[1000002, 1000038, 1000037]","[1000002, 1000038, 1000037]",['drivers/rpmsg/rpmsg_omx.c'],pvrsrvinit: Use LOCAL_SHARED_LIBRARIES for prebuilts,new
1000003,Unlegacy-Android/android_hardware_ti_omap4,2,"[1000002, 1000038, 1000037]","[1000002, 1000038, 1000037]",['drivers/rpmsg/rpmsg_omx.c'],SkLibTiJpeg_Test: Use libhwui.so instead of libskia.so,new
1000003,Unlegacy-Android/android_hardware_ti_omap4,36,"[1000003, 1000002, 1000038, 1000037]","[1000003, 1000002, 1000038, 1000037]",['drivers/rpmsg/rpmsg_omx.c'],domx: Change default ION allocations to use TILER1D,new
1000003,Unlegacy-Android/android_hardware_ti_omap4,4,"[1000003, 1000002, 1000038, 1000037]","[1000003, 1000002, 1000038, 1000037]",['drivers/rpmsg/rpmsg_omx.c'],omx_rpc: fix fd validity check,new
1000003,Unlegacy-Android/android_hardware_ti_omap4,32,"[1000003, 1000002, 1000038, 1000037]","[1000003, 1000002, 1000038, 1000037]",['drivers/rpmsg/rpmsg_omx.c'],proxy: camera: improve fd handling,new
1000003,Unlegacy-Android/android_hardware_ti_omap4,11,"[1000003, 1000002, 1000038, 1000037]","[1000003, 1000002, 1000038, 1000037]",['drivers/rpmsg/rpmsg_omx.c'],memplugin: fix bufferFd data type,new
